,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
0,2017-01-17,62%,38%,62,38,24,0
1,2017-01-16,62%,37%,62,37,25,1
2,2017-01-13,60%,38%,60,38,22,2
3,2017-01-12,61%,38%,61,38,23,1
4,2017-01-11,59%,39%,59,39,20,2
5,2017-01-10,60%,39%,60,39,21,1
6,2017-01-09,58%,40%,58,40,18,2
7,2017-01-06,58%,41%,58,41,17,1
8,2017-01-05,58%,41%,58,41,17,1
9,2017-01-04,57%,42%,57,42,15,1
10,2017-01-03,57%,42%,57,42,15,1
11,2016-12-30,55%,45%,55,45,10,0
12,2016-12-29,54%,46%,54,46,8,0
13,2016-12-28,55%,45%,55,45,10,0
14,2016-12-27,55%,44%,55,44,11,1
15,2016-12-23,56%,43%,56,43,13,1
16,2016-12-22,54%,44%,54,44,10,2
17,2016-12-21,54%,44%,54,44,10,2
18,2016-12-20,55%,44%,55,44,11,1
19,2016-12-19,57%,42%,57,42,15,1
20,2016-12-16,58%,40%,58,40,18,2
21,2016-12-15,58%,40%,58,40,18,2
22,2016-12-14,58%,41%,58,41,17,1
23,2016-12-13,57%,42%,57,42,15,1
24,2016-12-12,56%,43%,56,43,13,1
25,2016-12-09,56%,43%,56,43,13,1
26,2016-12-08,56%,43%,56,43,13,1
27,2016-12-07,56%,43%,56,43,13,1
28,2016-12-06,55%,43%,55,43,12,2
29,2016-12-05,54%,44%,54,44,10,2
30,2016-12-02,54%,45%,54,45,9,1
31,2016-12-01,54%,44%,54,44,10,2
32,2016-11-30,56%,43%,56,43,13,1
33,2016-11-29,55%,43%,55,43,12,2
34,2016-11-28,55%,43%,55,43,12,2
35,2016-11-23,53%,45%,53,45,8,2
36,2016-11-22,53%,45%,53,45,8,2
37,2016-11-21,53%,45%,53,45,8,2
38,2016-11-18,54%,45%,54,45,9,1
39,2016-11-17,54%,45%,54,45,9,1
40,2016-11-16,55%,44%,55,44,11,1
41,2016-11-15,55%,44%,55,44,11,1
42,2016-11-14,53%,45%,53,45,8,2
43,2016-11-11,54%,45%,54,45,9,1
44,2016-11-10,56%,43%,56,43,13,1
45,2016-11-09,56%,43%,56,43,13,1
46,2016-11-08,54%,45%,54,45,9,1
47,2016-11-07,52%,47%,52,47,5,1
48,2016-11-04,52%,46%,52,46,6,2
49,2016-11-03,52%,46%,52,46,6,2
50,2016-11-02,54%,45%,54,45,9,1
51,2016-11-01,53%,45%,53,45,8,2
52,2016-10-31,54%,44%,54,44,10,2
53,2016-10-28,54%,44%,54,44,10,2
54,2016-10-27,55%,44%,55,44,11,1
55,2016-10-26,55%,45%,55,45,10,0
56,2016-10-25,54%,44%,54,44,10,2
57,2016-10-24,52%,46%,52,46,6,2
58,2016-10-21,52%,46%,52,46,6,2
59,2016-10-20,49%,50%,49,50,-1,1
60,2016-10-19,50%,48%,50,48,2,2
