,Date,Total Approve,Total Disapprove,Relative Approval,Neutral
0,2021-01-19,51,48,3,1
1,2021-01-18,48,51,-3,1
2,2021-01-15,48,52,-4,0
3,2021-01-13,46,53,-7,1
4,2021-01-12,49,50,-1,1
5,2021-01-11,48,51,-3,1
6,2021-01-08,48,50,-2,2
7,2021-01-07,49,50,-1,1
8,2021-01-06,47,51,-4,2
9,2021-01-05,47,51,-4,2
10,2020-12-31,45,54,-9,1
11,2020-12-30,47,52,-5,1
12,2020-12-29,47,52,-5,1
13,2020-12-23,45,52,-7,3
14,2020-12-22,45,53,-8,2
15,2020-12-21,46,52,-6,2
16,2020-12-18,48,50,-2,2
17,2020-12-17,51,48,3,1
18,2020-12-16,48,51,-3,1
19,2020-12-15,47,52,-5,1
20,2020-12-14,46,52,-6,2
21,2020-12-11,49,49,0,2
22,2020-12-10,49,49,0,2
23,2020-12-09,50,49,1,1
24,2020-12-08,49,50,-1,1
25,2020-12-07,48,50,-2,2
26,2020-12-04,49,50,-1,1
27,2020-12-03,50,48,2,2
28,2020-12-02,50,48,2,2
29,2020-12-01,49,49,0,2
30,2020-11-30,49,49,0,2
31,2020-11-25,49,49,0,2
32,2020-11-24,48,50,-2,2
33,2020-11-23,48,50,-2,2
34,2020-11-20,47,51,-4,2
35,2020-11-19,49,50,-1,1
36,2020-11-18,51,48,3,1
37,2020-11-17,52,46,6,2
38,2020-11-16,52,47,5,1
39,2020-11-13,52,47,5,1
40,2020-11-12,52,47,5,1
41,2020-11-11,53,46,7,1
42,2020-11-10,52,47,5,1
43,2020-11-09,52,47,5,1
44,2020-11-06,50,48,2,2
45,2020-11-05,48,50,-2,2
46,2020-11-04,49,50,-1,1
47,2020-11-03,49,50,-1,1
48,2020-11-02,52,48,4,0
49,2020-10-30,51,48,3,1
50,2020-10-29,52,47,5,1
51,2020-10-28,52,47,5,1
52,2020-10-27,51,48,3,1
53,2020-10-26,52,46,6,2
54,2020-10-23,51,48,3,1
55,2020-10-22,52,48,4,0
56,2020-10-21,49,50,-1,1
57,2020-10-20,49,50,-1,1
58,2020-10-19,48,50,-2,2
59,2020-10-16,48,50,-2,2
60,2020-10-15,47,51,-4,2
61,2020-10-14,47,51,-4,2
62,2020-10-13,48,51,-3,1
63,2020-10-12,49,50,-1,1
64,2020-10-09,46,52,-6,2
65,2020-10-08,45,53,-8,2
66,2020-10-07,44,54,-10,2
67,2020-10-06,45,54,-9,1
68,2020-10-05,46,53,-7,1
69,2020-10-02,46,53,-7,1
70,2020-10-01,49,51,-2,0
71,2020-09-30,46,53,-7,1
72,2020-09-29,47,52,-5,1
73,2020-09-28,46,53,-7,1
74,2020-09-25,52,48,4,0
75,2020-09-24,52,48,4,0
