Date,Date,y-o-y % OECD Consumption Change,WTI Real Price (GDP Deflated)
1Q 2001,2001,1.56,34.91
2Q 2001,2001,0.27,33.67
3Q 2001,2001,-0.62,32.1
4Q 2001,2001,-0.84,24.52
1Q 2002,2002,-1.33,25.86
2Q 2002,2002,-0.35,31.27
3Q 2002,2002,0.23,33.53
4Q 2002,2002,1.91,33.3
1Q 2003,2003,2.53,39.89
2Q 2003,2003,1.79,33.84
3Q 2003,2003,0.68,35.09
4Q 2003,2003,0.87,36
1Q 2004,2004,1.12,40.49
2Q 2004,2004,1.66,43.56
3Q 2004,2004,2.22,49.53
4Q 2004,2004,1.86,53.97
1Q 2005,2005,1.56,55.52
2Q 2005,2005,1.26,58.66
3Q 2005,2005,0.54,69.28
4Q 2005,2005,-0.47,65.12
1Q 2006,2006,-0.39,68.24
2Q 2006,2006,-0.56,75.29
3Q 2006,2006,-0.33,74.83
4Q 2006,2006,-0.21,63.33
1Q 2007,2007,-1.46,60.76
2Q 2007,2007,0.18,67.55
3Q 2007,2007,-0.19,77.88
4Q 2007,2007,0.12,93.33
1Q 2008,2008,-1.85,100.39
2Q 2008,2008,-2.05,126.52
3Q 2008,2008,-4.88,119.99
4Q 2008,2008,-5.56,59.42
1Q 2009,2009,-4.7,43.67
2Q 2009,2009,-5.79,60.42
3Q 2009,2009,-3.4,68.96
4Q 2009,2009,-2.63,76.71
1Q 2010,2010,-1.21,79.34
2Q 2010,2010,1.75,77.98
3Q 2010,2010,3.61,75.95
4Q 2010,2010,1.78,84.61
1Q 2011,2011,0.26,92.93
2Q 2011,2011,-1.98,100.07
3Q 2011,2011,-1.27,87.32
4Q 2011,2011,-1.96,91.68
1Q 2012,2012,-1.48,99.71
2Q 2012,2012,0.33,89.99
3Q 2012,2012,-2.05,88.36
4Q 2012,2012,-0.78,84.02
1Q 2013,2013,-1.09,89.7
2Q 2013,2013,0.23,89.17
3Q 2013,2013,0.77,99.8
4Q 2013,2013,0.39,91.43
1Q 2014,2014,0.16,92.16
2Q 2014,2014,-1.57,95.97
3Q 2014,2014,-0.87,90.47
4Q 2014,2014,-0.26,67.63
1Q 2015,2015,1.85,44.79
2Q 2015,2015,1.92,53.15
3Q 2015,2015,2.45,42.66
4Q 2015,2015,0.38,38.43
1Q 2016,2016,0.27,30.58
2Q 2016,2016,0.87,41.41
3Q 2016,2016,0.61,40.73
4Q 2016,2016,1.84,44.42
1Q 2017,2017,0.33,46.4
2Q 2017,2017,2.34,43.09
3Q 2017,2017,0.96,42.9
4Q 2017,2017,1.5,48.91
1Q 2018,2018,2.07,55.34
2Q 2018,2018,0.12,59.42
3Q 2018,2018,0.97,60.57
4Q 2018,2018,-0.73,51.54
1Q 2019,2019,-0.23,47.28
2Q 2019,2019,0.14,51.35
3Q 2019,2019,0.28,48.16
4Q 2019,2019,0.29,48.41
1Q 2020,2020,-4.63,38.45
2Q 2020,2020,-20.49,23.8
3Q 2020,2020,-12.46,34.5
4Q 2020,2020,-10.24,35.66
1Q 2021,2021,-6.88,48.23
2Q 2021,2021,17.21,54.15
3Q 2021,2021,8.23,56.93
4Q 2021,2021,8.84,61.24
1Q 2022,2022,7.96,74.01
2Q 2022,2022,2.84,83.08
3Q 2022,2022,0.7,80.64
4Q 2022,2022,-0.45,75.56
1Q 2023,2023,0.81,71.35
2Q 2023,2023,0.59,68.98
3Q 2023,2023,0.45,68.03
4Q 2023,2023,0.19,68.34
