Location,Full Date,Month,Year,Oil,Gas,Misc,Total,,,,,,,,,,,,,,
Ardmore Woodford,2/4/2011,February,2011,1,2,0,3,,,,,,,,,,,,,,
Ardmore Woodford,2/11/2011,February,2011,1,3,0,4,,,,,,,,,,,,,,
Ardmore Woodford,2/18/2011,February,2011,1,3,0,4,,,,,,,,,,,,,,
Ardmore Woodford,2/25/2011,February,2011,1,3,0,4,,,,,,,,,,,,,,
Ardmore Woodford,3/4/2011,March,2011,3,5,0,8,,,,,,,,,,,,,,
Ardmore Woodford,3/11/2011,March,2011,2,4,0,6,,,,,,,,,,,,,,
Ardmore Woodford,3/18/2011,March,2011,1,4,0,5,,,,,,,,,,,,,,
Ardmore Woodford,3/25/2011,March,2011,1,4,0,5,,,,,,,,,,,,,,
Ardmore Woodford,4/1/2011,April,2011,1,3,0,4,,,,,,,,,,,,,,
Ardmore Woodford,4/8/2011,April,2011,2,4,0,6,,,,,,,,,,,,,,
Ardmore Woodford,4/15/2011,April,2011,4,5,0,9,,,,,,,,,,,,,,
Ardmore Woodford,4/22/2011,April,2011,4,5,0,9,,,,,,,,,,,,,,
Ardmore Woodford,4/29/2011,April,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,5/6/2011,May,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,5/13/2011,May,2011,2,6,0,8,,,,,,,,,,,,,,
Ardmore Woodford,5/20/2011,May,2011,2,6,0,8,,,,,,,,,,,,,,
Ardmore Woodford,5/27/2011,May,2011,2,6,0,8,,,,,,,,,,,,,,
Ardmore Woodford,6/3/2011,June,2011,2,6,0,8,,,,,,,,,,,,,,
Ardmore Woodford,6/10/2011,June,2011,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,6/17/2011,June,2011,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,6/24/2011,June,2011,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,7/1/2011,July,2011,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,7/8/2011,July,2011,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,7/15/2011,July,2011,3,7,0,10,,,,,,,,,,,,,,
Ardmore Woodford,7/22/2011,July,2011,3,7,0,10,,,,,,,,,,,,,,
Ardmore Woodford,7/29/2011,July,2011,3,6,0,9,,,,,,,,,,,,,,
Ardmore Woodford,8/5/2011,August,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,8/12/2011,August,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,8/19/2011,August,2011,3,7,0,10,,,,,,,,,,,,,,
Ardmore Woodford,8/26/2011,August,2011,3,6,0,9,,,,,,,,,,,,,,
Ardmore Woodford,9/2/2011,September,2011,3,7,0,10,,,,,,,,,,,,,,
Ardmore Woodford,9/9/2011,September,2011,4,7,0,11,,,,,,,,,,,,,,
Ardmore Woodford,9/16/2011,September,2011,3,7,0,10,,,,,,,,,,,,,,
Ardmore Woodford,9/23/2011,September,2011,3,8,0,11,,,,,,,,,,,,,,
Ardmore Woodford,9/30/2011,September,2011,4,7,0,11,,,,,,,,,,,,,,
Ardmore Woodford,10/7/2011,October,2011,5,7,0,12,,,,,,,,,,,,,,
Ardmore Woodford,10/14/2011,October,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,10/21/2011,October,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,10/28/2011,October,2011,5,6,0,11,,,,,,,,,,,,,,
Ardmore Woodford,11/4/2011,November,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,11/11/2011,November,2011,6,6,0,12,,,,,,,,,,,,,,
Ardmore Woodford,11/18/2011,November,2011,3,5,0,8,,,,,,,,,,,,,,
Ardmore Woodford,11/25/2011,November,2011,4,7,0,11,,,,,,,,,,,,,,
Ardmore Woodford,12/2/2011,December,2011,4,8,0,12,,,,,,,,,,,,,,
Ardmore Woodford,12/9/2011,December,2011,4,8,0,12,,,,,,,,,,,,,,
Ardmore Woodford,12/16/2011,December,2011,4,6,0,10,,,,,,,,,,,,,,
Ardmore Woodford,12/23/2011,December,2011,4,5,0,9,,,,,,,,,,,,,,
Ardmore Woodford,12/30/2011,December,2011,4,5,0,9,,,,,,,,,,,,,,
Ardmore Woodford,1/6/2012,January,2012,4,5,0,9,,,,,,,,,,,,,,
Ardmore Woodford,1/13/2012,January,2012,3,5,0,8,,,,,,,,,,,,,,
Ardmore Woodford,1/20/2012,January,2012,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,1/27/2012,January,2012,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,2/3/2012,February,2012,2,7,0,9,,,,,,,,,,,,,,
Ardmore Woodford,2/10/2012,February,2012,2,6,0,8,,,,,,,,,,,,,,
Ardmore Woodford,2/17/2012,February,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,2/24/2012,February,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,3/2/2012,March,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,3/9/2012,March,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,3/16/2012,March,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,3/23/2012,March,2012,0,7,0,7,,,,,,,,,,,,,,
Ardmore Woodford,3/30/2012,March,2012,1,9,0,10,,,,,,,,,,,,,,
Ardmore Woodford,4/5/2012,April,2012,1,9,0,10,,,,,,,,,,,,,,
Ardmore Woodford,4/13/2012,April,2012,1,9,0,10,,,,,,,,,,,,,,
Ardmore Woodford,4/20/2012,April,2012,1,9,0,10,,,,,,,,,,,,,,
Ardmore Woodford,4/27/2012,April,2012,1,9,0,10,,,,,,,,,,,,,,
Ardmore Woodford,5/4/2012,May,2012,0,9,0,9,,,,,,,,,,,,,,
Ardmore Woodford,5/11/2012,May,2012,0,9,0,9,,,,,,,,,,,,,,
Ardmore Woodford,5/18/2012,May,2012,0,9,0,9,,,,,,,,,,,,,,
