U.S. Crude Oil Proved Reserves
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RCRR01NUS_1&f=A
16:50:49 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Crude Oil Proved Reserves Million Barrels
2020,35835
2019,44191
2018,43824
2017,39160
2016,32773
2015,32318
2014,36385
2013,33371
2012,30529
2011,26544
2010,23267
2009,20682
2008,19121
2007,21317
2006,20972
2005,21757
2004,21371
2003,21891
2002,22677
2001,22446
2000,22045
1999,21765
1998,21034
1997,22546
1996,22017
1995,22351
1994,22457
1993,22957
1992,23745
1991,24682
1990,26254
1989,26501
1988,26825
1987,27256
1986,26889
1985,28416
1984,28446
1983,27735
1982,27858
1981,29426
1980,29805
1979,29810
1978,31355
1977,31780
1976,30942
1975,32682
1974,32250
1973,35300
1972,36339
1971,38063
1970,39001
1969,29632
1968,30707
1967,31377
1966,31452
1965,31352
1964,30991
1963,30970
1962,31389
1961,31759
1960,31613
1959,31719
1958,30536
1957,30300
1956,30435
1955,30012
1954,29561
1953,28945
1952,27961
1951,27468
1950,25268
1949,24649
1948,23280
1947,21488
1946,20874
1945,20827
1944,20453
1943,20064
1942,20083
1941,19559
1940,19025
1939,18483
1938,17348
1937,15507
1936,13063
1935,12400
1934,12177
1933,12000
1932,12300
1931,13000
1930,13600
1929,13200
1928,11000
1927,10500
1926,8800
1925,8500
1924,7500
1923,7600
1922,7600
1921,7800
1920,7200
1919,6700
1918,6200
1917,5900
1916,5900
1915,5500
1914,5400
1913,5500
1912,5400
1911,5000
1910,4500
1909,4200
1908,4000
1907,3900
1906,3800
1905,3800
1904,3600
1903,3400
1902,3200
1901,3000
1900,2900
1899,2500
