month,us_prod
1920-01-15,34008
1920-02-15,33193
1920-03-15,36171
1920-04-15,34945
1920-05-15,36622
1920-06-15,36663
1920-07-15,37746
1920-08-15,38906
1920-09-15,37521
1920-10-15,39584
1920-11-15,38609
1920-12-15,38961
1921-01-15,38138
1921-02-15,35524
1921-03-15,41105
1921-04-15,40233
1921-05-15,42189
1921-06-15,40548
1921-07-15,40461
1921-08-15,41109
1921-09-15,36763
1921-10-15,35832
1921-11-15,38108
1921-12-15,42173
1922-01-15,43696
1922-02-15,41314
1922-03-15,47188
1922-04-15,45167
1922-05-15,47002
1922-06-15,46087
1922-07-15,47134
1922-08-15,47059
1922-09-15,45805
1922-10-15,48410
1922-11-15,48027
1922-12-15,50642
1923-01-15,52527
1923-02-15,48588
1923-03-15,56969
1923-04-15,59008
1923-05-15,62377
1923-06-15,62845
1923-07-15,65925
1923-08-15,66422
1923-09-15,65306
1923-10-15,67506
1923-11-15,65388
1923-12-15,59546
1924-01-15,57273
1924-02-15,55889
1924-03-15,60141
1924-04-15,59830
1924-05-15,61834
1924-06-15,59583
1924-07-15,61932
1924-08-15,62398
1924-09-15,60376
1924-10-15,60469
1924-11-15,56782
1924-12-15,57433
1925-01-15,53802
1925-02-15,48571
1925-03-15,53597
1925-04-15,51914
1925-05-15,53367
1925-06-15,51915
1925-07-15,52138
1925-08-15,52198
1925-09-15,51559
1925-10-15,51769
1925-11-15,49921
1925-12-15,49622
1926-01-15,59981
1926-02-15,54892
1926-03-15,60880
1926-04-15,60371
1926-05-15,62822
1926-06-15,61789
1926-07-15,65168
1926-08-15,67009
1926-09-15,65782
1926-10-15,69664
1926-11-15,69891
1926-12-15,72625
1927-01-15,71758
1927-02-15,68122
1927-03-15,75514
1927-04-15,73132
1927-05-15,76845
1927-06-15,75303
1927-07-15,78780
1927-08-15,78788
1927-09-15,75909
1927-10-15,77534
1927-11-15,74493
1927-12-15,74951
1928-01-15,72793
1928-02-15,68565
1928-03-15,74528
1928-04-15,72393
1928-05-15,75277
1928-06-15,72676
1928-07-15,75584
1928-08-15,77807
1928-09-15,76484
1928-10-15,79751
1928-11-15,76123
1928-12-15,79493
1929-01-15,82054
1929-02-15,75456
1929-03-15,82463
1929-04-15,80412
1929-05-15,84499
1929-06-15,83407
1929-07-15,91309
1929-08-15,92165
1929-09-15,87453
1929-10-15,88430
1929-11-15,78758
1929-12-15,80917
1930-01-15,79633
1930-02-15,74290
1930-03-15,78226
1930-04-15,77483
1930-05-15,80528
1930-06-15,77060
1930-07-15,76922
1930-08-15,74831
1930-09-15,71216
1930-10-15,72893
1930-11-15,67957
1930-12-15,66972
1931-01-15,65737
1931-02-15,60540
1931-03-15,69429
1931-04-15,72860
1931-05-15,76822
1931-06-15,75011
1931-07-15,78210
1931-08-15,68014
1931-09-15,64378
1931-10-15,73297
1931-11-15,73456
1931-12-15,73327
1932-01-15,67014
1932-02-15,62512
1932-03-15,67456
1932-04-15,67915
1932-05-15,68854
1932-06-15,65144
1932-07-15,66655
1932-08-15,66568
1932-09-15,65518
1932-10-15,65598
1932-11-15,63630
1932-12-15,58295
1933-01-15,65159
1933-02-15,61252
1933-03-15,75185
1933-04-15,65709
1933-05-15,86638
1933-06-15,84386
1933-07-15,85321
1933-08-15,85485
1933-09-15,78321
1933-10-15,76077
1933-11-15,69966
1933-12-15,72157
1934-01-15,72017
1934-02-15,65383
1934-03-15,75426
1934-04-15,75645
1934-05-15,79966
1934-06-15,79636
1934-07-15,81339
1934-08-15,79105
1934-09-15,75759
1934-10-15,76593
1934-11-15,72399
1934-12-15,74797
1935-01-15,78715
1935-02-15,72763
1935-03-15,81488
1935-04-15,78427
1935-05-15,82454
1935-06-15,82338
1935-07-15,85485
1935-08-15,84816
1935-09-15,84109
1935-10-15,88160
1935-11-15,86476
1935-12-15,88711
1936-01-15,88820
1936-02-15,82120
1936-03-15,90568
1936-04-15,90479
1936-05-15,93739
1936-06-15,90185
1936-07-15,92075
1936-08-15,95090
1936-09-15,90972
1936-10-15,95795
1936-11-15,91018
1936-12-15,97652
1937-01-15,98567
1937-02-15,93173
1937-03-15,106724
1937-04-15,104979
1937-05-15,110911
1937-06-15,105812
1937-07-15,110721
1937-08-15,115090
1937-09-15,109980
1937-10-15,110911
1937-11-15,104206
1937-12-15,106579
1938-01-15,106007
1938-02-15,94662
1938-03-15,106524
1938-04-15,102702
1938-05-15,98674
1938-06-15,94277
1938-07-15,102898
1938-08-15,106165
1938-09-15,98661
1938-10-15,101830
1938-11-15,98567
1938-12-15,102287
1939-01-15,102490
1939-02-15,93475
1939-03-15,106768
1939-04-15,105510
1939-05-15,110541
1939-06-15,104607
1939-07-15,110937
1939-08-15,80865
1939-09-15,108168
1939-10-15,114198
1939-11-15,111887
1939-12-15,114810
1940-01-15,117227
1940-02-15,108399
1940-03-15,121560
1940-04-15,119000
1940-05-15,123854
1940-06-15,119302
1940-07-15,127493
1940-08-15,130633
1940-09-15,130407
1940-10-15,136503
1940-11-15,133646
1940-12-15,135152
1941-01-15,110647
1941-02-15,100791
1941-03-15,112817
1941-04-15,111080
1941-05-15,116976
1941-06-15,115027
1941-07-15,118251
1941-08-15,121354
1941-09-15,119446
1941-10-15,126145
1941-11-15,123355
1941-12-15,128293
1942-01-15,128262
1942-02-15,113961
1942-03-15,114473
1942-04-15,105053
1942-05-15,110192
1942-06-15,108595
1942-07-15,111782
1942-08-15,120429
1942-09-15,115801
1942-10-15,120311
1942-11-15,116101
1942-12-15,120519
1943-01-15,117372
1943-02-15,108487
1943-03-15,121648
1943-04-15,119100
1943-05-15,123957
1943-06-15,120111
1943-07-15,127629
1943-08-15,130796
1943-09-15,130564
1943-10-15,136837
1943-11-15,133824
1943-12-15,135288
1944-01-15,135682
1944-02-15,128842
1944-03-15,136814
1944-04-15,133588
1944-05-15,141189
1944-06-15,137263
1944-07-15,141438
1944-08-15,145407
1944-09-15,142985
1944-10-15,146911
1944-11-15,142463
1944-12-15,145322
1945-01-15,147446
1945-02-15,133463
1945-03-15,148935
1945-04-15,144219
1945-05-15,151180
1945-06-15,145783
1945-07-15,151803
1945-08-15,151198
1945-09-15,132690
1945-10-15,132800
1945-11-15,135511
1945-12-15,138627
1946-01-15,143368
1946-02-15,132129
1946-03-15,136835
1946-04-15,140196
1946-05-15,148334
1946-06-15,146890
1946-07-15,152586
1946-08-15,149910
1946-09-15,143708
1946-10-15,148323
1946-11-15,144674
1946-12-15,146471
1947-01-15,144823
1947-02-15,134696
1947-03-15,152178
1947-04-15,149410
1947-05-15,156055
1947-06-15,153058
1947-07-15,159366
1947-08-15,160448
1947-09-15,157665
1947-10-15,165032
1947-11-15,158701
1947-12-15,165555
1948-01-15,164098
1948-02-15,155577
1948-03-15,167868
1948-04-15,164726
1948-05-15,170705
1948-06-15,166448
1948-07-15,171369
1948-08-15,173015
1948-09-15,163244
1948-10-15,174972
1948-11-15,170777
1948-12-15,177386
1949-01-15,167016
1949-02-15,150682
1949-03-15,162399
1949-04-15,150343
1949-05-15,154250
1949-06-15,147283
1949-07-15,145530
1949-08-15,148356
1949-09-15,148286
1949-10-15,155469
1949-11-15,156496
1949-12-15,155830
1950-01-15,152935
1950-02-15,139127
1950-03-15,151301
1950-04-15,149147
1950-05-15,159558
1950-06-15,161305
1950-07-15,170058
1950-08-15,176192
1950-09-15,176698
1950-10-15,183011
1950-11-15,176782
1950-12-15,177460
1951-01-15,183437
1951-02-15,166163
1951-03-15,187774
1951-04-15,183860
1951-05-15,191601
1951-06-15,184064
1951-07-15,190626
1951-08-15,193537
1951-09-15,188016
1951-10-15,198163
1951-11-15,188499
1951-12-15,191971
1952-01-15,192848
1952-02-15,184818
1952-03-15,197121
1952-04-15,192936
1952-05-15,157748
1952-06-15,185692
1952-07-15,188985
1952-08-15,192768
1952-09-15,195603
1952-10-15,201581
1952-11-15,193832
1952-12-15,205904
1953-01-15,203211
1953-02-15,183183
1953-03-15,202024
1953-04-15,191953
1953-05-15,198117
1953-06-15,197630
1953-07-15,204711
1953-08-15,204490
1953-09-15,196571
1953-10-15,193726
1953-11-15,188116
1953-12-15,193350
1954-01-15,193437
1954-02-15,178644
1954-03-15,201763
1954-04-15,198502
1954-05-15,200627
1954-06-15,194974
1954-07-15,194098
1954-08-15,190388
1954-09-15,184325
1954-10-15,189724
1954-11-15,190372
1954-12-15,198134
1955-01-15,209601
1955-02-15,191342
1955-03-15,213453
1955-04-15,206668
1955-05-15,207067
1955-06-15,197844
1955-07-15,205614
1955-08-15,206619
1955-09-15,202037
1955-10-15,211866
1955-11-15,210454
1955-12-15,221863
1956-01-15,223125
1956-02-15,209078
1956-03-15,225645
1956-04-15,214412
1956-05-15,218942
1956-06-15,213010
1956-07-15,219770
1956-08-15,223035
1956-09-15,211585
1956-10-15,215570
1956-11-15,214438
1956-12-15,228673
1957-01-15,231631
1957-02-15,214967
1957-03-15,238490
1957-04-15,226392
1957-05-15,230466
1957-06-15,213302
1957-07-15,212781
1957-08-15,210150
1957-09-15,206777
1957-10-15,212055
1957-11-15,205249
1957-12-15,214641
1958-01-15,213280
1958-02-15,190947
1958-03-15,194580
1958-04-15,189014
1958-05-15,193205
1958-06-15,190172
1958-07-15,203701
1958-08-15,215030
1958-09-15,212642
1958-10-15,215887
1958-11-15,209252
1958-12-15,221277
1959-01-15,223926
1959-02-15,201435
1959-03-15,222839
1959-04-15,217685
1959-05-15,223806
1959-06-15,212489
1959-07-15,210311
1959-08-15,209733
1959-09-15,205700
1959-10-15,214248
1959-11-15,209449
1959-12-15,222969
1960-01-15,224140
1960-02-15,209986
1960-03-15,220977
1960-04-15,211132
1960-05-15,212296
1960-06-15,208161
1960-07-15,212645
1960-08-15,215145
1960-09-15,209119
1960-10-15,215687
1960-11-15,213992
1960-12-15,221653
