,Date,Total Approve,Total Disapprove,Relative Approval,Neutral
0,7/8/2022,37,61,-24,2
1,7/7/2022,41,58,-17,1
2,7/6/2022,41,58,-17,1
3,7/1/2022,41,58,-17,1
4,6/30/2022,40,59,-19,1
5,6/29/2022,39,59,-20,2
6,6/28/2022,40,58,-18,2
7,6/27/2022,41,58,-17,1
8,6/24/2022,40,58,-18,2
9,6/23/2022,40,59,-19,1
10,6/22/2022,39,59,-20,2
11,6/21/2022,40,59,-19,1
12,6/20/2022,41,58,-17,1
13,6/17/2022,42,57,-15,1
14,6/16/2022,42,58,-16,0
15,6/15/2022,40,58,-18,2
16,6/14/2022,38,61,-23,1
17,6/13/2022,38,60,-22,2
18,6/10/2022,39,59,-20,2
19,6/9/2022,40,58,-18,2
20,6/8/2022,41,57,-16,2
21,6/7/2022,41,57,-16,2
22,6/6/2022,41,57,-16,2
23,6/3/2022,40,58,-18,2
24,6/2/2022,41,57,-16,2
25,6/1/2022,42,56,-14,2
26,5/31/2022,43,55,-12,2
27,5/30/2022,43,55,-12,2
28,5/27/2022,43,55,-12,2
29,5/26/2022,42,56,-14,2
30,5/25/2022,43,56,-13,1
31,5/24/2022,42,57,-15,1
32,5/23/2022,42,57,-15,1
33,5/20/2022,40,58,-18,2
34,5/19/2022,41,57,-16,2
35,5/18/2022,43,55,-12,2
36,5/17/2022,44,55,-11,1
37,5/16/2022,42,56,-14,2
38,5/13/2022,41,57,-16,2
39,5/12/2022,40,58,-18,2
40,5/11/2022,40,59,-19,1
41,5/10/2022,41,57,-16,2
42,5/9/2022,43,55,-12,2
43,5/6/2022,45,53,-8,2
44,5/5/2022,43,55,-12,2
45,5/4/2022,42,56,-14,2
46,5/3/2022,43,55,-12,2
47,5/2/2022,44,54,-10,2
48,4/29/2022,42,55,-13,3
49,4/28/2022,42,57,-15,1
50,4/27/2022,41,58,-17,1
51,4/26/2022,41,58,-17,1
52,4/25/2022,42,57,-15,1
53,4/22/2022,41,57,-16,2
54,4/21/2022,43,56,-13,1
55,4/20/2022,43,56,-13,1
56,4/19/2022,45,53,-8,2
57,4/18/2022,44,54,-10,2
58,4/15/2022,41,57,-16,2
59,4/14/2022,40,58,-18,2
60,4/13/2022,41,58,-17,1
61,4/12/2022,41,58,-17,1
62,4/11/2022,42,57,-15,1
63,4/8/2022,41,57,-16,2
64,4/7/2022,43,55,-12,2
65,4/6/2022,42,56,-14,2
66,4/5/2022,42,56,-14,2
67,4/4/2022,42,56,-14,2
68,4/1/2022,40,58,-18,2
69,3/31/2022,42,57,-15,1
70,3/30/2022,41,58,-17,1
71,3/29/2022,43,56,-13,1
72,3/28/2022,43,56,-13,1
73,3/25/2022,42,57,-15,1
74,3/24/2022,41,58,-17,1
75,3/23/2022,42,57,-15,1
76,3/22/2022,41,58,-17,1
