Date,oil_price
Jan-75,9.48
Feb-75,10.09
Mar-75,9.91
Apr-75,9.83
May-75,9.79
Jun-75,10.33
Jul-75,10.57
Aug-75,10.81
Sep-75,10.79
Oct-75,10.85
Nov-75,11.05
Dec-75,10.98
Jan-76,10.76
Feb-76,10.54
Mar-76,10.44
Apr-76,10.63
May-76,10.66
Jun-76,10.88
Jul-76,10.97
Aug-76,10.78
Sep-76,11.08
Oct-76,11.2
Nov-76,11.26
Dec-76,11.32
Jan-77,11.64
Feb-77,11.8
Mar-77,11.88
Apr-77,11.75
May-77,11.87
Jun-77,11.98
Jul-77,11.9
Aug-77,12.01
Sep-77,12.01
Oct-77,12.12
Nov-77,12.18
Dec-77,12.27
Jan-78,12.13
Feb-78,12.19
Mar-78,12.23
Apr-78,12.2
May-78,12.35
Jun-78,12.48
Jul-78,12.45
Aug-78,12.46
Sep-78,12.57
Oct-78,12.62
Nov-78,12.76
Dec-78,12.93
Jan-79,13.11
Feb-79,13.42
Mar-79,13.7
Apr-79,14.52
May-79,15.4
Jun-79,17
Jul-79,18.58
Aug-79,19.75
Sep-79,20.14
Oct-79,20.68
Nov-79,22.04
Dec-79,23.63
Jan-80,24.81
Feb-80,26.11
Mar-80,26.88
Apr-80,27.09
May-80,27.85
Jun-80,28.8
Jul-80,28.73
Aug-80,28.7
Sep-80,28.96
Oct-80,29.56
Nov-80,29.79
Dec-80,31.39
Jan-81,34.86
Feb-81,37.28
Mar-81,37.48
Apr-81,36.58
May-81,36.11
Jun-81,35.03
Jul-81,34.7
Aug-81,34.46
Sep-81,34.11
Oct-81,34.07
Nov-81,34.33
Dec-81,34.33
Jan-82,33.95
Feb-82,33.4
Mar-82,31.81
Apr-82,30.83
May-82,31.02
Jun-82,31.74
Jul-82,31.74
Aug-82,31.45
Sep-82,31.4
Oct-82,31.98
Nov-82,32.07
Dec-82,31.29
Jan-83,30.73
Feb-83,29.49
Mar-83,28.64
Apr-83,28.33
May-83,28.64
Jun-83,28.85
Jul-83,28.75
Aug-83,28.88
Sep-83,28.97
Oct-83,29.14
Nov-83,28.85
Dec-83,28.83
Jan-84,28.67
Feb-84,28.81
Mar-84,28.81
Apr-84,28.77
May-84,28.83
Jun-84,28.77
Jul-84,28.79
Aug-84,28.69
Sep-84,28.6
Oct-84,28.56
Nov-84,28.3
Dec-84,27.97
Jan-85,27.02
Feb-85,26.49
Mar-85,26.76
Apr-85,27.03
May-85,27.12
Jun-85,26.76
Jul-85,26.59
Aug-85,26.5
Sep-85,26.45
Oct-85,26.66
Nov-85,26.86
Dec-85,26.72
Jan-86,25.63
Feb-86,19.76
Mar-86,14.8
Apr-86,13.05
May-86,13.05
Jun-86,12.83
Jul-86,11.26
Aug-86,11.93
Sep-86,13.13
Oct-86,13.05
Nov-86,13.3
Dec-86,13.84
Jan-87,16.16
Feb-87,16.83
Mar-87,17.04
Apr-87,17.44
May-87,17.85
Jun-87,18.47
Jul-87,19.13
Aug-87,19.36
Sep-87,18.57
Oct-87,18.43
Nov-87,18.02
Dec-87,17.09
Jan-88,15.68
Feb-88,15.53
Mar-88,14.84
Apr-88,15.77
May-88,16.18
Jun-88,15.65
Jul-88,14.71
Aug-88,14.34
Sep-88,13.91
Oct-88,12.96
Nov-88,12.63
Dec-88,13.98
Jan-89,15.73
Feb-89,16.32
Mar-89,17.52
Apr-89,19.22
May-89,19.03
Jun-89,18.43
Jul-89,18.18
Aug-89,17.23
Sep-89,17.66
Oct-89,18.24
Nov-89,18.39
Dec-89,19.54
Jan-90,20.64
Feb-90,20.31
Mar-90,19.14
Apr-90,17.05
May-90,16.27
Jun-90,15.11
Jul-90,16.19
Aug-90,23.55
Sep-90,30.03
Oct-90,33.14
Nov-90,30.52
Dec-90,26.09
Jan-91,22.85
Feb-91,19.03
Mar-91,17.89
Apr-91,18.46
May-91,18.7
Jun-91,17.98
Jul-91,18.57
Aug-91,18.92
Sep-91,19.17
Oct-91,20.16
Nov-91,19.72
Dec-91,17.56
Jan-92,16.5
Feb-92,16.3
Mar-92,16.56
Apr-92,17.66
May-92,18.83
Jun-92,19.99
Jul-92,20.1
Aug-92,19.56
Sep-92,19.59
Oct-92,19.49
Nov-92,18.66
Dec-92,17.43
Jan-93,17.11
Feb-93,17.64
Mar-93,18.08
Apr-93,18.42
May-93,18.16
Jun-93,17.26
Jul-93,16.1
Aug-93,15.83
Sep-93,15.59
Oct-93,15.81
Nov-93,14.51
