month,us_oil_consumption
4/22/2022,19957
3/22/2022,20512
2/22/2022,20436
1/22/2022,19731
12/21/2022,20764
11/21/2022,20595
10/21/2022,19892
9/21/2022,20224
8/21/2022,20511
7/21/2022,19894
6/21/2022,20537
5/21/2022,20094
4/21/2022,19459
3/21/2022,19204
2/21/2022,17444
1/21/2022,18595
12/20/2022,18802
11/20/2022,18743
10/20/2022,18614
9/20/2022,18415
8/20/2022,18558
7/20/2022,18381
6/20/2022,17578
5/20/2022,16078
4/20/2022,14549
3/20/2022,18463
2/20/2022,20132
1/20/2022,19933
12/19/2022,20443
11/19/2022,20736
10/19/2022,20714
9/19/2022,20248
8/19/2022,21158
7/19/2022,20735
6/19/2022,20654
5/19/2022,20387
4/19/2022,20333
3/19/2022,20176
2/19/2022,20284
1/19/2022,20615
12/18/2022,20327
11/18/2022,20774
10/18/2022,20786
9/18/2022,20084
8/18/2022,21356
7/18/2022,20671
6/18/2022,20770
5/18/2022,20251
4/18/2022,20038
3/18/2022,20731
2/18/2022,19693
1/18/2022,20564
12/17/2022,20319
11/17/2022,20310
10/17/2022,19971
9/17/2022,19629
8/17/2022,20274
7/17/2022,20125
6/17/2022,20565
5/17/2022,20047
4/17/2022,19621
3/17/2022,20057
2/17/2022,19146
1/17/2022,19290
12/16/2022,19986
11/16/2022,19686
10/16/2022,19684
9/16/2022,19775
8/16/2022,20262
7/16/2022,19754
6/16/2022,19832
5/16/2022,19326
4/16/2022,19346
3/16/2022,19753
2/16/2022,19841
1/16/2022,19063
12/15/2022,19596
11/15/2022,19105
10/15/2022,19470
9/15/2022,19436
8/15/2022,19927
7/15/2022,20119
6/15/2022,19846
5/15/2022,19322
4/15/2022,19261
3/15/2022,19349
2/15/2022,19674
1/15/2022,19273
12/14/2022,19494
11/14/2022,19394
10/14/2022,19701
9/14/2022,19204
8/14/2022,19372
7/14/2022,19247
6/14/2022,18878
5/14/2022,18601
4/14/2022,18834
3/14/2022,18452
2/14/2022,18905
1/14/2022,19103
12/13/2022,19006
11/13/2022,19488
10/13/2022,19323
9/13/2022,19282
8/13/2022,19140
7/13/2022,19260
6/13/2022,18816
5/13/2022,18733
4/13/2022,18594
3/13/2022,18547
2/13/2022,18654
1/13/2022,18736
12/12/2022,18130
11/12/2022,18528
10/12/2022,18708
9/12/2022,18081
8/12/2022,19140
7/12/2022,18540
6/12/2022,18873
5/12/2022,18575
4/12/2022,18163
3/12/2022,18130
2/12/2022,18622
1/12/2022,18299
12/11/2022,18769
11/11/2022,19059
10/11/2022,18817
9/11/2022,18887
8/11/2022,19363
7/11/2022,18710
6/11/2022,19187
5/11/2022,18429
4/11/2022,18582
3/11/2022,19189
2/11/2022,18817
1/11/2022,18934
12/10/2022,19733
11/10/2022,18965
10/10/2022,18928
9/10/2022,19465
8/10/2022,19663
7/10/2022,19291
6/10/2022,19562
5/10/2022,18874
4/10/2022,19066
3/10/2022,19080
2/10/2022,18831
1/10/2022,18649
12/9/2022,19237
11/9/2022,18753
10/9/2022,18803
9/9/2022,18594
8/9/2022,18949
7/9/2022,18626
6/9/2022,18828
5/9/2022,18211
4/9/2022,18672
3/9/2022,18719
2/9/2022,18822
1/9/2022,19040
12/8/2022,19142
11/8/2022,19052
10/8/2022,19698
9/8/2022,17839
8/8/2022,19272
7/8/2022,19557
6/8/2022,19678
5/8/2022,19798
4/8/2022,19815
3/8/2022,19831
2/8/2022,20029
1/8/2022,20247
12/7/2022,20719
11/7/2022,20535
10/7/2022,20476
9/7/2022,20415
8/7/2022,21025
7/7/2022,20747
6/7/2022,20723
5/7/2022,20620
4/7/2022,20536
3/7/2022,20536
2/7/2022,21309
1/7/2022,20567
12/6/2022,20795
11/6/2022,20669
10/6/2022,20769
9/6/2022,20559
8/6/2022,21434
7/6/2022,20740
6/6/2022,20982
5/6/2022,20457
4/6/2022,20201
3/6/2022,20608
2/6/2022,20577
1/6/2022,20436
12/5/2022,21495
11/5/2022,20623
10/5/2022,20253
9/5/2022,20142
8/5/2022,21666
7/5/2022,20939
6/5/2022,21198
5/5/2022,20606
4/5/2022,20137
3/5/2022,21009
2/5/2022,20830
