month,us_oil_consumption
1963-01-15,12294
1963-02-15,11940
1963-03-15,10240
1963-04-15,9794
1963-05-15,9805
1963-06-15,9586
1963-07-15,9943
1963-08-15,10135
1963-09-15,9965
1963-10-15,10121
1963-11-15,10426
1963-12-15,12423
1964-01-15,12175
1964-02-15,11370
1964-03-15,10709
1964-04-15,10632
1964-05-15,9766
1964-06-15,10439
1964-07-15,10279
1964-08-15,10040
1964-09-15,10483
1964-10-15,10800
1964-11-15,10640
1964-12-15,12455
1965-01-15,12017
1965-02-15,12307
1965-03-15,11971
1965-04-15,11151
1965-05-15,10232
1965-06-15,10713
1965-07-15,10523
1965-08-15,10666
1965-09-15,10650
1965-10-15,10971
1965-11-15,11566
1965-12-15,12925
1966-01-15,12569
1966-02-15,13010
1966-03-15,12060
1966-04-15,11501
1966-05-15,10900
1966-06-15,11669
1966-07-15,10826
1966-08-15,11515
1966-09-15,11236
1966-10-15,11432
1966-11-15,12396
1966-12-15,13173
1967-01-15,12871
1967-02-15,13232
1967-03-15,13083
1967-04-15,11353
1967-05-15,11736
1967-06-15,11794
1967-07-15,11337
1967-08-15,11790
1967-09-15,11329
1967-10-15,12292
1967-11-15,13300
1967-12-15,13260
1968-01-15,15325
1968-02-15,14714
1968-03-15,13378
1968-04-15,12617
1968-05-15,12274
1968-06-15,12462
1968-07-15,12646
1968-08-15,12766
1968-09-15,12599
1968-10-15,13249
1968-11-15,13665
1968-12-15,15034
1969-01-15,15932
1969-02-15,15099
1969-03-15,14187
1969-04-15,13490
1969-05-15,13015
1969-06-15,13094
1969-07-15,13305
1969-08-15,13389
1969-09-15,13787
1969-10-15,13821
1969-11-15,14352
1969-12-15,16206
1970-01-15,16859
1970-02-15,16168
1970-03-15,15346
1970-04-15,14018
1970-05-15,13175
1970-06-15,13921
1970-07-15,13963
1970-08-15,13930
1970-09-15,13856
1970-10-15,14285
1970-11-15,14522
1970-12-15,16388
1971-01-15,16466
1971-02-15,16681
1971-03-15,15724
1971-04-15,14929
1971-05-15,13677
1971-06-15,14632
1971-07-15,14176
1971-08-15,14237
1971-09-15,14494
1971-10-15,14504
1971-11-15,15954
1971-12-15,17192
1972-01-15,16735
1972-02-15,17861
1972-03-15,16870
1972-04-15,15529
1972-05-15,14801
1972-06-15,15615
1972-07-15,14821
1972-08-15,15936
1972-09-15,15489
1972-10-15,16455
1972-11-15,17610
1972-12-15,18738
1973-01-15,18712
1973-02-15,19094
1973-03-15,17216
1973-04-15,15920
1973-05-15,16625
1973-06-15,16481
1973-07-15,16372
1973-08-15,17498
1973-09-15,16656
1973-10-15,17202
1973-11-15,18492
1973-12-15,17538
1974-01-15,17285
1974-02-15,17365
1974-03-15,16103
1974-04-15,15928
1974-05-15,15725
1974-06-15,16117
1974-07-15,16348
1974-08-15,16549
1974-09-15,16023
1974-10-15,17050
1974-11-15,17351
1974-12-15,18012
1975-01-15,18003
1975-02-15,17084
1975-03-15,16315
1975-04-15,16048
1975-05-15,15155
1975-06-15,15610
1975-07-15,15739
1975-08-15,15806
1975-09-15,15767
1975-10-15,16376
1975-11-15,15777
1975-12-15,18185
1976-01-15,18646
1976-02-15,17509
1976-03-15,17302
1976-04-15,16671
1976-05-15,15977
1976-06-15,16824
1976-07-15,16606
1976-08-15,16642
1976-09-15,16836
1976-10-15,17090
1976-11-15,18846
1976-12-15,20559
1977-01-15,20504
