,basins,period,value,size
46,DJ-Niobrara,2022-04-01,421,4.21
71,DJ-Niobrara,2022-04-01,112,1.12
125,DJ-Niobrara,2022-03-01,434,4.34
137,DJ-Niobrara,2022-03-01,842,8.42
190,DJ-Niobrara,2022-02-01,829,8.29
194,DJ-Niobrara,2022-02-01,114,1.14
239,DJ-Niobrara,2022-02-01,4,0.04
292,DJ-Niobrara,2022-01-01,408,4.08
302,DJ-Niobrara,2022-01-01,4,0.04
462,DJ-Niobrara,2021-11-01,418,4.18
565,DJ-Niobrara,2021-10-01,417,4.17
649,DJ-Niobrara,2021-09-01,103,1.03
664,DJ-Niobrara,2021-09-01,789,7.89
744,DJ-Niobrara,2021-08-01,782,7.82
792,DJ-Niobrara,2021-07-01,236,2.36
1005,DJ-Niobrara,2021-05-01,406,4.06
1106,DJ-Niobrara,2021-03-01,224,2.24
1163,DJ-Niobrara,2021-03-01,4,0.04
1182,DJ-Niobrara,2021-02-01,4,0.04
1215,DJ-Niobrara,2021-02-01,729,7.29
1236,DJ-Niobrara,2021-02-01,85,0.85
1307,DJ-Niobrara,2021-01-01,758,7.58
1342,DJ-Niobrara,2021-01-01,91,0.91
1363,DJ-Niobrara,2020-12-01,5,0.05
1437,DJ-Niobrara,2020-11-01,84,0.84
1485,DJ-Niobrara,2020-11-01,392,3.92
1498,DJ-Niobrara,2020-11-01,5,0.05
1605,DJ-Niobrara,2020-09-01,418,4.18
1671,DJ-Niobrara,2020-09-01,244,2.44
1763,DJ-Niobrara,2020-08-01,5,0.05
1803,DJ-Niobrara,2020-07-01,4,0.04
1906,DJ-Niobrara,2020-06-01,450,4.5
1975,DJ-Niobrara,2020-05-01,469,4.69
1995,DJ-Niobrara,2020-05-01,164,1.64
2015,DJ-Niobrara,2020-05-01,70,0.7
2121,DJ-Niobrara,2020-03-01,286,2.86
2182,DJ-Niobrara,2020-03-01,518,5.18
2222,DJ-Niobrara,2020-02-01,528,5.28
2223,DJ-Niobrara,2020-02-01,95,0.95
2319,DJ-Niobrara,2020-01-01,993,9.93
2349,DJ-Niobrara,2020-01-01,541,5.41
2420,DJ-Niobrara,2019-12-01,5,0.05
2475,DJ-Niobrara,2019-11-01,578,5.78
2581,DJ-Niobrara,2019-10-01,295,2.95
2629,DJ-Niobrara,2019-09-01,984,9.84
2669,DJ-Niobrara,2019-09-01,534,5.34
2706,DJ-Niobrara,2019-08-01,973,9.73
2720,DJ-Niobrara,2019-08-01,5,0.05
2737,DJ-Niobrara,2019-08-01,535,5.35
2888,DJ-Niobrara,2019-06-01,967,9.67
2897,DJ-Niobrara,2019-06-01,104,1.04
2928,DJ-Niobrara,2019-06-01,270,2.7
2964,DJ-Niobrara,2019-05-01,278,2.78
3034,DJ-Niobrara,2019-04-01,105,1.05
3149,DJ-Niobrara,2019-03-01,264,2.64
3273,DJ-Niobrara,2019-02-01,924,9.24
3317,DJ-Niobrara,2019-01-01,101,1.01
3409,DJ-Niobrara,2018-12-01,100,1.0
3465,DJ-Niobrara,2018-11-01,6,0.06
3575,DJ-Niobrara,2018-10-01,6,0.06
3598,DJ-Niobrara,2018-10-01,105,1.05
3643,DJ-Niobrara,2018-09-01,108,1.08
3898,DJ-Niobrara,2018-06-01,807,8.07
3943,DJ-Niobrara,2018-06-01,6,0.06
3946,DJ-Niobrara,2018-06-01,93,0.93
4074,DJ-Niobrara,2018-04-01,446,4.46
4102,DJ-Niobrara,2018-04-01,235,2.35
4196,DJ-Niobrara,2018-03-01,6,0.06
4249,DJ-Niobrara,2018-02-01,103,1.03
4347,DJ-Niobrara,2018-01-01,5,0.05
4363,DJ-Niobrara,2018-01-01,432,4.32
4391,DJ-Niobrara,2017-12-01,226,2.26
4392,DJ-Niobrara,2017-12-01,436,4.36
4467,DJ-Niobrara,2017-11-01,226,2.26
4499,DJ-Niobrara,2017-11-01,6,0.06
4544,DJ-Niobrara,2017-10-01,98,0.98
4568,DJ-Niobrara,2017-10-01,6,0.06
4792,DJ-Niobrara,2017-07-01,704,7.04
4818,DJ-Niobrara,2017-07-01,6,0.06
4821,DJ-Niobrara,2017-07-01,205,2.05
4856,DJ-Niobrara,2017-07-01,95,0.95
4908,DJ-Niobrara,2017-06-01,202,2.02
39,DJ-Niobrara,2017-05-01,6,0.06
129,DJ-Niobrara,2017-04-01,327,3.27
142,DJ-Niobrara,2017-04-01,204,2.04
231,DJ-Niobrara,2017-03-01,661,6.61
292,DJ-Niobrara,2017-02-01,294,2.94
322,DJ-Niobrara,2017-02-01,633,6.33
359,DJ-Niobrara,2017-01-01,185,1.85
452,DJ-Niobrara,2016-12-01,301,3.01
464,DJ-Niobrara,2016-12-01,634,6.34
490,DJ-Niobrara,2016-12-01,6,0.06
520,DJ-Niobrara,2016-11-01,85,0.85
539,DJ-Niobrara,2016-11-01,6,0.06
668,DJ-Niobrara,2016-10-01,6,0.06
744,DJ-Niobrara,2016-09-01,320,3.2
789,DJ-Niobrara,2016-08-01,189,1.89
817,DJ-Niobrara,2016-08-01,654,6.54
857,DJ-Niobrara,2016-07-01,6,0.06
1005,DJ-Niobrara,2016-06-01,645,6.45
1053,DJ-Niobrara,2016-05-01,197,1.97
1156,DJ-Niobrara,2016-04-01,83,0.83
1163,DJ-Niobrara,2016-04-01,674,6.74
1175,DJ-Niobrara,2016-04-01,318,3.18
1256,DJ-Niobrara,2016-03-01,678,6.78
1313,DJ-Niobrara,2016-02-01,6,0.06
1315,DJ-Niobrara,2016-02-01,84,0.84
1425,DJ-Niobrara,2016-01-01,6,0.06
1593,DJ-Niobrara,2015-11-01,733,7.33
1605,DJ-Niobrara,2015-10-01,94,0.94
1713,DJ-Niobrara,2015-09-01,743,7.43
1773,DJ-Niobrara,2015-08-01,100,1.0
1802,DJ-Niobrara,2015-08-01,7,0.07
1929,DJ-Niobrara,2015-07-01,101,1.01
1939,DJ-Niobrara,2015-06-01,103,1.03
1959,DJ-Niobrara,2015-06-01,7,0.07
2050,DJ-Niobrara,2015-05-01,8,0.08
2098,DJ-Niobrara,2015-05-01,767,7.67
2156,DJ-Niobrara,2015-04-01,8,0.08
2182,DJ-Niobrara,2015-04-01,336,3.36
