,basins,period,value
272,Fayetteville,2022-01-01,0
369,Fayetteville,2021-12-01,12
632,Fayetteville,2021-09-01,12
1020,Fayetteville,2021-04-01,11
1237,Fayetteville,2021-02-01,10
1299,Fayetteville,2021-01-01,11
1339,Fayetteville,2021-01-01,0
1365,Fayetteville,2020-12-01,11
1816,Fayetteville,2020-07-01,0
1879,Fayetteville,2020-06-01,0
2128,Fayetteville,2020-03-01,0
2363,Fayetteville,2019-12-01,1
2466,Fayetteville,2019-11-01,14
2625,Fayetteville,2019-09-01,14
2687,Fayetteville,2019-09-01,1
2762,Fayetteville,2019-08-01,13
3077,Fayetteville,2019-04-01,1
3212,Fayetteville,2019-02-01,13
3685,Fayetteville,2018-09-01,14
3875,Fayetteville,2018-06-01,1
3998,Fayetteville,2018-05-01,1
4206,Fayetteville,2018-02-01,14
4547,Fayetteville,2017-10-01,14
4629,Fayetteville,2017-09-01,1
4750,Fayetteville,2017-08-01,1
0,Fayetteville,2017-05-01,1
31,Fayetteville,2017-05-01,15
180,Fayetteville,2017-03-01,1
220,Fayetteville,2017-03-01,15
555,Fayetteville,2016-11-01,15
562,Fayetteville,2016-11-01,1
677,Fayetteville,2016-09-01,1
1271,Fayetteville,2016-02-01,16
1412,Fayetteville,2016-01-01,16
1498,Fayetteville,2015-12-01,1
1528,Fayetteville,2015-11-01,1
1639,Fayetteville,2015-10-01,1
1815,Fayetteville,2015-08-01,1
1949,Fayetteville,2015-06-01,1
2116,Fayetteville,2015-04-01,17
2242,Fayetteville,2015-03-01,1
2412,Fayetteville,2015-01-01,18
2625,Fayetteville,2014-10-01,19
3001,Fayetteville,2014-06-01,19
3050,Fayetteville,2014-05-01,1
3333,Fayetteville,2014-02-01,18
3520,Fayetteville,2013-12-01,1
3813,Fayetteville,2013-08-01,18
3898,Fayetteville,2013-07-01,18
4035,Fayetteville,2013-05-01,18
4365,Fayetteville,2013-02-01,1
4629,Fayetteville,2012-10-01,18
4755,Fayetteville,2012-09-01,18
131,Fayetteville,2012-05-01,1
612,Fayetteville,2011-11-01,1
694,Fayetteville,2011-10-01,1
954,Fayetteville,2011-07-01,1
1140,Fayetteville,2011-05-01,1
1163,Fayetteville,2011-05-01,16
1307,Fayetteville,2011-03-01,1
1407,Fayetteville,2011-02-01,16
1452,Fayetteville,2011-01-01,16
1537,Fayetteville,2010-12-01,1
1605,Fayetteville,2010-11-01,16
1697,Fayetteville,2010-10-01,16
1816,Fayetteville,2010-09-01,16
1975,Fayetteville,2010-07-01,1
1989,Fayetteville,2010-07-01,15
2312,Fayetteville,2010-03-01,1
2964,Fayetteville,2009-07-01,1
3005,Fayetteville,2009-07-01,16
3175,Fayetteville,2009-05-01,1
3273,Fayetteville,2009-04-01,16
3318,Fayetteville,2009-03-01,1
3479,Fayetteville,2009-01-01,16
3611,Fayetteville,2008-12-01,17
3685,Fayetteville,2008-11-01,1
3756,Fayetteville,2008-10-01,17
3788,Fayetteville,2008-09-01,16
4229,Fayetteville,2008-04-01,17
4284,Fayetteville,2008-03-01,17
