,basins,period,value
39,GOM&AK,2022-04-01,8445
91,GOM&AK,2022-03-01,7
131,GOM&AK,2022-03-01,430
142,GOM&AK,2022-03-01,69
148,GOM&AK,2022-03-01,1691
249,GOM&AK,2022-02-01,450
389,GOM&AK,2021-12-01,451
401,GOM&AK,2021-12-01,4
428,GOM&AK,2021-11-01,8352
463,GOM&AK,2021-11-01,436
506,GOM&AK,2021-10-01,7
539,GOM&AK,2021-10-01,437
543,GOM&AK,2021-10-01,428
557,GOM&AK,2021-10-01,798
558,GOM&AK,2021-10-01,4
568,GOM&AK,2021-10-01,1687
594,GOM&AK,2021-09-01,796
612,GOM&AK,2021-09-01,430
630,GOM&AK,2021-09-01,1062
651,GOM&AK,2021-09-01,7521
673,GOM&AK,2021-08-01,400
678,GOM&AK,2021-08-01,4
715,GOM&AK,2021-08-01,778
805,GOM&AK,2021-07-01,1852
817,GOM&AK,2021-07-01,371
954,GOM&AK,2021-05-01,4
1042,GOM&AK,2021-04-01,83
1053,GOM&AK,2021-04-01,4
1061,GOM&AK,2021-04-01,822
1080,GOM&AK,2021-04-01,446
1136,GOM&AK,2021-03-01,7899
1140,GOM&AK,2021-03-01,11
1150,GOM&AK,2021-03-01,830
1165,GOM&AK,2021-03-01,12
1271,GOM&AK,2021-01-01,5
1273,GOM&AK,2021-01-01,458
1390,GOM&AK,2020-12-01,76
1407,GOM&AK,2020-12-01,1778
1412,GOM&AK,2020-12-01,4
1429,GOM&AK,2020-11-01,453
1464,GOM&AK,2020-11-01,75
1593,GOM&AK,2020-10-01,78
1598,GOM&AK,2020-09-01,12
1700,GOM&AK,2020-08-01,1164
1713,GOM&AK,2020-08-01,7010
1758,GOM&AK,2020-08-01,4
1802,GOM&AK,2020-07-01,444
1809,GOM&AK,2020-07-01,7509
1858,GOM&AK,2020-06-01,12
1880,GOM&AK,2020-06-01,7247
1914,GOM&AK,2020-06-01,3
1937,GOM&AK,2020-05-01,1
1946,GOM&AK,2020-05-01,13
1989,GOM&AK,2020-05-01,814
2029,GOM&AK,2020-04-01,4
2039,GOM&AK,2020-04-01,890
2052,GOM&AK,2020-04-01,13
2096,GOM&AK,2020-04-01,8206
2106,GOM&AK,2020-03-01,470
2116,GOM&AK,2020-03-01,71
2164,GOM&AK,2020-03-01,8708
2172,GOM&AK,2020-03-01,456
2185,GOM&AK,2020-02-01,463
2259,GOM&AK,2020-02-01,13
2312,GOM&AK,2020-01-01,468
2346,GOM&AK,2020-01-01,80
2387,GOM&AK,2019-12-01,467
2465,GOM&AK,2019-11-01,470
2524,GOM&AK,2019-10-01,85
2578,GOM&AK,2019-10-01,8404
2583,GOM&AK,2019-10-01,461
2609,GOM&AK,2019-09-01,80
2619,GOM&AK,2019-09-01,5
2633,GOM&AK,2019-09-01,13
2773,GOM&AK,2019-07-01,1531
2779,GOM&AK,2019-07-01,73
2795,GOM&AK,2019-07-01,14
2835,GOM&AK,2019-07-01,434
2872,GOM&AK,2019-06-01,441
2943,GOM&AK,2019-05-01,13
2986,GOM&AK,2019-05-01,1914
3005,GOM&AK,2019-05-01,14
3016,GOM&AK,2019-05-01,65
3035,GOM&AK,2019-04-01,7995
3039,GOM&AK,2019-04-01,460
3117,GOM&AK,2019-03-01,57
3226,GOM&AK,2019-02-01,5
3250,GOM&AK,2019-02-01,941
3266,GOM&AK,2019-02-01,61
3282,GOM&AK,2019-01-01,7721
3318,GOM&AK,2019-01-01,481
3412,GOM&AK,2018-12-01,479
3432,GOM&AK,2018-12-01,1921
3434,GOM&AK,2018-12-01,5
3448,GOM&AK,2018-11-01,949
3479,GOM&AK,2018-11-01,1951
3481,GOM&AK,2018-11-01,5
3550,GOM&AK,2018-10-01,11
3553,GOM&AK,2018-10-01,7419
3573,GOM&AK,2018-10-01,487
3599,GOM&AK,2018-10-01,1752
3614,GOM&AK,2018-09-01,1798
3652,GOM&AK,2018-09-01,7399
3657,GOM&AK,2018-09-01,15
3745,GOM&AK,2018-08-01,14
3751,GOM&AK,2018-08-01,414
3757,GOM&AK,2018-08-01,13
