,basins,period,value
31,Permian_NM,2022-04-01,1507
160,Permian_NM,2022-03-01,1468
220,Permian_NM,2022-02-01,1401
359,Permian_NM,2021-12-01,1365
677,Permian_NM,2021-08-01,1378
824,Permian_NM,2021-07-01,1295
876,Permian_NM,2021-06-01,1268
1010,Permian_NM,2021-04-01,1174
1149,Permian_NM,2021-03-01,1156
1864,Permian_NM,2020-06-01,942
3223,Permian_NM,2019-02-01,827
3333,Permian_NM,2019-01-01,809
3763,Permian_NM,2018-08-01,712
4086,Permian_NM,2018-04-01,644
4185,Permian_NM,2018-03-01,615
87,Permian_NM,2017-04-01,445
302,Permian_NM,2017-02-01,442
1047,Permian_NM,2016-05-01,393
1437,Permian_NM,2015-12-01,359
2339,Permian_NM,2015-02-01,394
2633,Permian_NM,2014-10-01,371
4821,Permian_NM,2012-08-01,236
194,Permian_NM,2012-04-01,223
539,Permian_NM,2011-12-01,208
701,Permian_NM,2011-10-01,201
1053,Permian_NM,2011-06-01,193
1150,Permian_NM,2011-05-01,193
1318,Permian_NM,2011-03-01,194
1528,Permian_NM,2010-12-01,188
2366,Permian_NM,2010-02-01,179
2687,Permian_NM,2009-11-01,173
3117,Permian_NM,2009-05-01,167
3660,Permian_NM,2008-11-01,171
4090,Permian_NM,2008-06-01,161
4414,Permian_NM,2008-02-01,166
4461,Permian_NM,2008-01-01,163
4999,Permian_NM,2007-07-01,158
