,basins,period,value,size
312,Utica,2022-01-01,47,0.47
490,Utica,2021-11-01,11,0.11
576,Utica,2021-10-01,5,0.05
581,Utica,2021-10-01,1675,16.75
1051,Utica,2021-04-01,4,0.04
1122,Utica,2021-03-01,4,0.04
1156,Utica,2021-03-01,12,0.12
1281,Utica,2021-01-01,1694,16.94
1296,Utica,2021-01-01,12,0.12
1313,Utica,2021-01-01,4,0.04
1329,Utica,2021-01-01,56,0.56
1442,Utica,2020-11-01,1854,18.54
1478,Utica,2020-11-01,4,0.04
1528,Utica,2020-10-01,12,0.12
1537,Utica,2020-10-01,1837,18.37
1659,Utica,2020-09-01,1860,18.6
1844,Utica,2020-07-01,1713,17.13
2050,Utica,2020-04-01,60,0.6
2197,Utica,2020-02-01,2216,22.16
2352,Utica,2019-12-01,83,0.83
2407,Utica,2019-12-01,2297,22.97
2447,Utica,2019-11-01,83,0.83
2519,Utica,2019-11-01,14,0.14
2596,Utica,2019-10-01,83,0.83
2648,Utica,2019-09-01,5,0.05
3049,Utica,2019-04-01,15,0.15
3339,Utica,2019-01-01,64,0.64
3385,Utica,2018-12-01,2204,22.04
3411,Utica,2018-12-01,71,0.71
3477,Utica,2018-11-01,71,0.71
3672,Utica,2018-09-01,69,0.69
3779,Utica,2018-08-01,15,0.15
3956,Utica,2018-05-01,1980,19.8
4027,Utica,2018-05-01,5,0.05
4048,Utica,2018-04-01,4,0.04
4229,Utica,2018-02-01,15,0.15
4230,Utica,2018-02-01,52,0.52
4291,Utica,2018-01-01,15,0.15
4309,Utica,2018-01-01,4,0.04
4365,Utica,2018-01-01,52,0.52
4479,Utica,2017-11-01,55,0.55
4590,Utica,2017-10-01,5,0.05
4700,Utica,2017-09-01,1768,17.68
4882,Utica,2017-06-01,54,0.54
4888,Utica,2017-06-01,1694,16.94
23,Utica,2017-05-01,1670,16.7
199,Utica,2017-03-01,15,0.15
385,Utica,2017-01-01,55,0.55
407,Utica,2017-01-01,15,0.15
506,Utica,2016-11-01,5,0.05
566,Utica,2016-11-01,50,0.5
576,Utica,2016-11-01,15,0.15
678,Utica,2016-09-01,15,0.15
746,Utica,2016-09-01,5,0.05
805,Utica,2016-08-01,1611,16.11
840,Utica,2016-07-01,55,0.55
891,Utica,2016-07-01,5,0.05
954,Utica,2016-06-01,16,0.16
955,Utica,2016-06-01,5,0.05
1010,Utica,2016-05-01,5,0.05
1022,Utica,2016-05-01,62,0.62
1236,Utica,2016-03-01,15,0.15
1307,Utica,2016-02-01,5,0.05
1355,Utica,2016-01-01,69,0.69
1427,Utica,2016-01-01,16,0.16
1442,Utica,2015-12-01,1869,18.69
1452,Utica,2015-12-01,17,0.17
1477,Utica,2015-12-01,6,0.06
1763,Utica,2015-09-01,17,0.17
1844,Utica,2015-08-01,18,0.18
1865,Utica,2015-07-01,6,0.06
1906,Utica,2015-07-01,1919,19.19
2096,Utica,2015-05-01,1933,19.33
2197,Utica,2015-03-01,6,0.06
2223,Utica,2015-03-01,63,0.63
2312,Utica,2015-02-01,19,0.19
2384,Utica,2015-01-01,19,0.19
2385,Utica,2015-01-01,63,0.63
2468,Utica,2014-12-01,20,0.2
2532,Utica,2014-11-01,19,0.19
2581,Utica,2014-11-01,50,0.5
2677,Utica,2014-10-01,50,0.5
2688,Utica,2014-09-01,20,0.2
2762,Utica,2014-09-01,44,0.44
2822,Utica,2014-08-01,7,0.07
2910,Utica,2014-07-01,7,0.07
2928,Utica,2014-07-01,20,0.2
3024,Utica,2014-05-01,20,0.2
3035,Utica,2014-05-01,38,0.38
3134,Utica,2014-04-01,6,0.06
3318,Utica,2014-02-01,33,0.33
3479,Utica,2013-12-01,22,0.22
3660,Utica,2013-10-01,7,0.07
3672,Utica,2013-10-01,28,0.28
3685,Utica,2013-10-01,21,0.21
3707,Utica,2013-09-01,22,0.22
3756,Utica,2013-09-01,26,0.26
3967,Utica,2013-06-01,1384,13.84
4074,Utica,2013-05-01,18,0.18
4139,Utica,2013-04-01,1354,13.54
4219,Utica,2013-03-01,21,0.21
4234,Utica,2013-03-01,1329,13.29
4309,Utica,2013-02-01,1273,12.73
4340,Utica,2013-02-01,16,0.16
4441,Utica,2013-01-01,1269,12.69
4528,Utica,2012-12-01,14,0.14
4812,Utica,2012-08-01,6,0.06
31,Utica,2012-06-01,1136,11.36
46,Utica,2012-06-01,20,0.2
212,Utica,2012-04-01,6,0.06
272,Utica,2012-03-01,6,0.06
311,Utica,2012-03-01,1046,10.46
463,Utica,2012-01-01,1006,10.06
491,Utica,2012-01-01,6,0.06
495,Utica,2012-01-01,20,0.2
506,Utica,2011-12-01,20,0.2
744,Utica,2011-10-01,20,0.2
824,Utica,2011-09-01,894,8.94
857,Utica,2011-08-01,19,0.19
860,Utica,2011-08-01,869,8.69
881,Utica,2011-08-01,6,0.06
962,Utica,2011-07-01,842,8.42
1026,Utica,2011-06-01,13,0.13
1103,Utica,2011-05-01,780,7.8
1299,Utica,2011-03-01,784,7.84
1327,Utica,2011-03-01,5,0.05
1356,Utica,2011-02-01,712,7.12
1425,Utica,2011-02-01,20,0.2
1464,Utica,2011-01-01,5,0.05
1554,Utica,2010-12-01,20,0.2
1632,Utica,2010-11-01,754,7.54
1671,Utica,2010-11-01,13,0.13
1803,Utica,2010-09-01,20,0.2
1859,Utica,2010-08-01,19,0.19
1880,Utica,2010-08-01,5,0.05
2015,Utica,2010-07-01,5,0.05
2073,Utica,2010-06-01,13,0.13
2138,Utica,2010-05-01,675,6.75
2183,Utica,2010-05-01,5,0.05
2186,Utica,2010-04-01,18,0.18
2279,Utica,2010-03-01,13,0.13
2384,Utica,2010-02-01,13,0.13
2385,Utica,2010-02-01,20,0.2
2458,Utica,2010-01-01,20,0.2
2465,Utica,2010-01-01,586,5.86
2524,Utica,2009-12-01,598,5.98
2580,Utica,2009-12-01,13,0.13
2634,Utica,2009-11-01,615,6.15
2660,Utica,2009-11-01,13,0.13
2795,Utica,2009-09-01,13,0.13
2812,Utica,2009-09-01,17,0.17
2847,Utica,2009-09-01,5,0.05
2883,Utica,2009-08-01,16,0.16
2897,Utica,2009-08-01,596,5.96
3034,Utica,2009-06-01,13,0.13
3139,Utica,2009-05-01,17,0.17
3266,Utica,2009-04-01,17,0.17
3339,Utica,2009-03-01,566,5.66
3409,Utica,2009-02-01,13,0.13
3707,Utica,2008-10-01,6,0.06
3830,Utica,2008-09-01,571,5.71
4074,Utica,2008-06-01,5,0.05
4185,Utica,2008-05-01,534,5.34
4239,Utica,2008-04-01,5,0.05
4266,Utica,2008-04-01,17,0.17
4353,Utica,2008-03-01,5,0.05
4436,Utica,2008-02-01,5,0.05
4458,Utica,2008-01-01,511,5.11
4560,Utica,2007-12-01,5,0.05
4629,Utica,2007-11-01,5,0.05
4845,Utica,2007-09-01,5,0.05
4904,Utica,2007-08-01,15,0.15
4965,Utica,2007-07-01,15,0.15
4975,Utica,2007-07-01,5,0.05
