,basins,period,value
23,Williston,2022-04-01,894
199,Williston,2022-02-01,1074
311,Williston,2022-01-01,3
566,Williston,2021-10-01,53
658,Williston,2021-09-01,3
725,Williston,2021-08-01,1094
746,Williston,2021-08-01,50
891,Williston,2021-06-01,47
987,Williston,2021-05-01,3
1045,Williston,2021-04-01,3
1087,Williston,2021-04-01,1037
1254,Williston,2021-02-01,1016
1266,Williston,2021-01-01,3
1373,Williston,2020-12-01,48
1452,Williston,2020-11-01,1227
1632,Williston,2020-09-01,51
1773,Williston,2020-07-01,3
1859,Williston,2020-06-01,46
2034,Williston,2020-04-01,3
2073,Williston,2020-04-01,52
2097,Williston,2020-04-01,1209
2149,Williston,2020-03-01,62
2240,Williston,2020-02-01,1437
2245,Williston,2020-02-01,60
2279,Williston,2020-01-01,3
2385,Williston,2019-12-01,3
2532,Williston,2019-10-01,1498
2660,Williston,2019-09-01,60
2694,Williston,2019-08-01,1462
2843,Williston,2019-07-01,3
3000,Williston,2019-05-01,67
3134,Williston,2019-03-01,61
3289,Williston,2019-01-01,3
3436,Williston,2018-12-01,1386
3660,Williston,2018-09-01,62
3707,Williston,2018-08-01,62
3749,Williston,2018-08-01,3
4152,Williston,2018-03-01,1147
4340,Williston,2018-01-01,55
4353,Williston,2018-01-01,1163
4500,Williston,2017-11-01,4
4514,Williston,2017-11-01,55
4543,Williston,2017-10-01,55
4594,Williston,2017-10-01,4
4637,Williston,2017-09-01,1094
4820,Williston,2017-07-01,4
4903,Williston,2017-06-01,1023
7,Williston,2017-05-01,3
137,Williston,2017-04-01,1040
179,Williston,2017-03-01,4
190,Williston,2017-03-01,58
491,Williston,2016-12-01,3
543,Williston,2016-11-01,61
632,Williston,2016-10-01,61
701,Williston,2016-09-01,4
824,Williston,2016-08-01,976
953,Williston,2016-06-01,64
992,Williston,2016-06-01,4
1020,Williston,2016-05-01,64
1051,Williston,2016-05-01,1040
1133,Williston,2016-04-01,65
1165,Williston,2016-04-01,4
1327,Williston,2016-02-01,68
1347,Williston,2016-01-01,1114
1365,Williston,2016-01-01,69
1497,Williston,2015-12-01,4
1554,Williston,2015-11-01,72
1700,Williston,2015-09-01,1155
1880,Williston,2015-07-01,4
1937,Williston,2015-06-01,4
2183,Williston,2015-04-01,82
2366,Williston,2015-01-01,5
2846,Williston,2014-08-01,1127
2888,Williston,2014-07-01,1109
2964,Williston,2014-06-01,1086
2998,Williston,2014-06-01,81
3049,Williston,2014-05-01,5
3209,Williston,2014-03-01,971
3212,Williston,2014-03-01,79
3294,Williston,2014-02-01,5
3316,Williston,2014-02-01,80
3477,Williston,2013-12-01,77
3628,Williston,2013-10-01,80
3875,Williston,2013-07-01,869
3969,Williston,2013-06-01,5
4027,Williston,2013-06-01,821
4069,Williston,2013-05-01,5
4249,Williston,2013-03-01,80
4353,Williston,2013-02-01,78
4508,Williston,2012-12-01,78
4598,Williston,2012-11-01,78
4714,Williston,2012-09-01,5
4786,Williston,2012-09-01,75
64,Williston,2012-06-01,5
130,Williston,2012-05-01,71
428,Williston,2012-01-01,546
527,Williston,2011-12-01,5
658,Williston,2011-11-01,5
664,Williston,2011-11-01,509
1009,Williston,2011-06-01,65
1106,Williston,2011-05-01,65
1160,Williston,2011-05-01,362
1412,Williston,2011-02-01,67
1453,Williston,2011-01-01,66
1478,Williston,2011-01-01,4
1606,Williston,2010-11-01,70
1703,Williston,2010-10-01,5
1779,Williston,2010-09-01,71
1864,Williston,2010-08-01,328
1914,Williston,2010-08-01,5
2052,Williston,2010-06-01,4
2096,Williston,2010-06-01,313
2163,Williston,2010-05-01,4
2172,Williston,2010-05-01,69
2319,Williston,2010-03-01,276
2596,Williston,2009-12-01,242
2706,Williston,2009-10-01,5
2715,Williston,2009-10-01,72
2910,Williston,2009-08-01,232
2998,Williston,2009-07-01,228
3037,Williston,2009-06-01,77
3263,Williston,2009-04-01,5
3358,Williston,2009-03-01,195
3598,Williston,2008-12-01,83
3745,Williston,2008-10-01,86
3751,Williston,2008-10-01,203
3969,Williston,2008-07-01,5
4035,Williston,2008-06-01,86
4363,Williston,2008-03-01,143
4590,Williston,2007-12-01,5
4812,Williston,2007-09-01,94
4856,Williston,2007-09-01,126
4923,Williston,2007-08-01,95
4952,Williston,2007-08-01,124
4985,Williston,2007-07-01,5
