,basins,period,value
93,CALIFORNIA,2022-03-01,341
324,CALIFORNIA,2022-01-01,342
992,CALIFORNIA,2021-05-01,363
1085,CALIFORNIA,2021-04-01,363
1147,CALIFORNIA,2021-03-01,364
1711,CALIFORNIA,2020-08-01,380
2020,CALIFORNIA,2020-04-01,413
2284,CALIFORNIA,2020-01-01,396
2505,CALIFORNIA,2019-11-01,420
2893,CALIFORNIA,2019-06-01,438
2970,CALIFORNIA,2019-05-01,435
3552,CALIFORNIA,2018-10-01,416
3974,CALIFORNIA,2018-05-01,425
4482,CALIFORNIA,2017-11-01,470
4745,CALIFORNIA,2017-08-01,470
108,CALIFORNIA,2017-04-01,480
457,CALIFORNIA,2016-12-01,480
917,CALIFORNIA,2016-07-01,506
986,CALIFORNIA,2016-06-01,484
1147,CALIFORNIA,2016-04-01,517
1296,CALIFORNIA,2016-02-01,530
1582,CALIFORNIA,2015-11-01,545
1809,CALIFORNIA,2015-08-01,547
1858,CALIFORNIA,2015-07-01,544
2609,CALIFORNIA,2014-10-01,568
2720,CALIFORNIA,2014-09-01,568
2843,CALIFORNIA,2014-08-01,567
2893,CALIFORNIA,2014-07-01,559
3226,CALIFORNIA,2014-03-01,552
3411,CALIFORNIA,2014-01-01,553
3829,CALIFORNIA,2013-08-01,548
4090,CALIFORNIA,2013-05-01,548
4230,CALIFORNIA,2013-03-01,545
4400,CALIFORNIA,2013-01-01,534
137,CALIFORNIA,2012-05-01,539
840,CALIFORNIA,2011-08-01,535
1363,CALIFORNIA,2011-02-01,540
2069,CALIFORNIA,2010-06-01,551
2116,CALIFORNIA,2010-05-01,554
2730,CALIFORNIA,2009-10-01,560
3001,CALIFORNIA,2009-07-01,566
3946,CALIFORNIA,2008-08-01,588
