,basins,period,value,size
0,Woodford_OK,2022-04-01,418,4.18
130,Woodford_OK,2022-03-01,410,4.1
659,Woodford_OK,2021-09-01,398,3.98
672,Woodford_OK,2021-08-01,385,3.85
881,Woodford_OK,2021-06-01,391,3.91
1477,Woodford_OK,2020-11-01,452,4.52
1888,Woodford_OK,2020-06-01,459,4.59
2366,Woodford_OK,2019-12-01,602,6.02
2540,Woodford_OK,2019-10-01,617,6.17
2847,Woodford_OK,2019-07-01,588,5.88
3050,Woodford_OK,2019-04-01,601,6.01
3373,Woodford_OK,2018-12-01,597,5.97
3557,Woodford_OK,2018-10-01,566,5.66
4284,Woodford_OK,2018-01-01,527,5.27
4774,Woodford_OK,2017-08-01,462,4.62
130,Woodford_OK,2017-04-01,430,4.3
715,Woodford_OK,2016-09-01,413,4.13
1453,Woodford_OK,2015-12-01,456,4.56
1848,Woodford_OK,2015-07-01,446,4.46
2128,Woodford_OK,2015-04-01,477,4.77
2352,Woodford_OK,2015-01-01,447,4.47
3054,Woodford_OK,2014-05-01,409,4.09
3319,Woodford_OK,2014-02-01,374,3.74
3891,Woodford_OK,2013-07-01,336,3.36
4284,Woodford_OK,2013-02-01,288,2.88
4414,Woodford_OK,2013-01-01,315,3.15
4818,Woodford_OK,2012-08-01,287,2.87
4906,Woodford_OK,2012-07-01,279,2.79
142,Woodford_OK,2012-05-01,269,2.69
179,Woodford_OK,2012-04-01,256,2.56
598,Woodford_OK,2011-11-01,247,2.47
805,Woodford_OK,2011-09-01,233,2.33
992,Woodford_OK,2011-07-01,224,2.24
1215,Woodford_OK,2011-04-01,221,2.21
1429,Woodford_OK,2011-01-01,204,2.04
2147,Woodford_OK,2010-05-01,187,1.87
2407,Woodford_OK,2010-02-01,187,1.87
2669,Woodford_OK,2009-11-01,183,1.83
2773,Woodford_OK,2009-09-01,186,1.86
3223,Woodford_OK,2009-04-01,186,1.86
3373,Woodford_OK,2009-02-01,194,1.94
3583,Woodford_OK,2008-12-01,176,1.76
4631,Woodford_OK,2007-11-01,178,1.78
