period,value
2022-04-01,418
2022-03-01,410
2021-09-01,398
2021-08-01,385
2021-06-01,391
2020-11-01,452
2020-06-01,459
2019-12-01,602
2019-10-01,617
2019-07-01,588
2019-04-01,601
2018-12-01,597
2018-10-01,566
2018-01-01,527
2017-08-01,462
2017-04-01,430
2016-09-01,413
2015-12-01,456
2015-07-01,446
2015-04-01,477
2015-01-01,447
2014-05-01,409
2014-02-01,374
2013-07-01,336
2013-02-01,288
2013-01-01,315
2012-08-01,287
2012-07-01,279
2012-05-01,269
2012-04-01,256
2011-11-01,247
2011-09-01,233
2011-07-01,224
2011-04-01,221
2011-01-01,204
2010-05-01,187
2010-02-01,187
2009-11-01,183
2009-09-01,186
2009-04-01,186
2009-02-01,194
2008-12-01,176
2007-11-01,178
