,basin_name,date,rig_count,size
4760,Haynesville,2011-02-04,160,32.0
4761,Haynesville,2011-02-11,161,32.2
4762,Haynesville,2011-02-18,161,32.2
4763,Haynesville,2011-02-25,161,32.2
4764,Haynesville,2011-03-04,159,31.8
4765,Haynesville,2011-03-11,157,31.4
4766,Haynesville,2011-03-18,156,31.2
4767,Haynesville,2011-03-25,158,31.6
4768,Haynesville,2011-04-01,156,31.2
4769,Haynesville,2011-04-08,159,31.8
4770,Haynesville,2011-04-15,154,30.8
4771,Haynesville,2011-04-22,154,30.8
4772,Haynesville,2011-04-29,153,30.6
4773,Haynesville,2011-05-06,156,31.2
4774,Haynesville,2011-05-13,153,30.6
4775,Haynesville,2011-05-20,150,30.0
4776,Haynesville,2011-05-27,146,29.2
4777,Haynesville,2011-06-03,145,29.0
4778,Haynesville,2011-06-10,143,28.6
4779,Haynesville,2011-06-17,142,28.4
4780,Haynesville,2011-06-24,138,27.6
4781,Haynesville,2011-07-01,134,26.8
4782,Haynesville,2011-07-08,137,27.4
4783,Haynesville,2011-07-15,134,26.8
4784,Haynesville,2011-07-22,134,26.8
4785,Haynesville,2011-07-29,133,26.6
4786,Haynesville,2011-08-05,135,27.0
4787,Haynesville,2011-08-12,133,26.6
4788,Haynesville,2011-08-19,134,26.8
4789,Haynesville,2011-08-26,127,25.4
4790,Haynesville,2011-09-02,130,26.0
4791,Haynesville,2011-09-09,130,26.0
4792,Haynesville,2011-09-16,131,26.2
4793,Haynesville,2011-09-23,127,25.4
4794,Haynesville,2011-09-30,125,25.0
4795,Haynesville,2011-10-07,128,25.6
4796,Haynesville,2011-10-14,127,25.4
4797,Haynesville,2011-10-21,128,25.6
4798,Haynesville,2011-10-28,127,25.4
4799,Haynesville,2011-11-04,127,25.4
4800,Haynesville,2011-11-11,125,25.0
4801,Haynesville,2011-11-18,123,24.6
4802,Haynesville,2011-11-25,126,25.2
4803,Haynesville,2011-12-02,121,24.2
4804,Haynesville,2011-12-09,110,22.0
4805,Haynesville,2011-12-16,112,22.4
4806,Haynesville,2011-12-23,110,22.0
4807,Haynesville,2011-12-30,113,22.6
4808,Haynesville,2012-01-06,113,22.6
4809,Haynesville,2012-01-13,111,22.2
4810,Haynesville,2012-01-20,106,21.2
4811,Haynesville,2012-01-27,101,20.2
4812,Haynesville,2012-02-03,94,18.8
4813,Haynesville,2012-02-10,89,17.8
4814,Haynesville,2012-02-17,88,17.6
4815,Haynesville,2012-02-24,86,17.2
4816,Haynesville,2012-03-02,82,16.4
4817,Haynesville,2012-03-09,85,17.0
4818,Haynesville,2012-03-16,76,15.2
4819,Haynesville,2012-03-23,76,15.2
4820,Haynesville,2012-03-30,75,15.0
4821,Haynesville,2012-04-05,72,14.4
4822,Haynesville,2012-04-13,65,13.0
4823,Haynesville,2012-04-20,66,13.2
4824,Haynesville,2012-04-27,63,12.6
4825,Haynesville,2012-05-04,63,12.6
4826,Haynesville,2012-05-11,61,12.2
4827,Haynesville,2012-05-18,59,11.8
4828,Haynesville,2012-05-25,58,11.6
4829,Haynesville,2012-06-01,57,11.4
4830,Haynesville,2012-06-08,53,10.6
4831,Haynesville,2012-06-15,53,10.6
4832,Haynesville,2012-06-22,50,10.0
4833,Haynesville,2012-06-29,51,10.2
4834,Haynesville,2012-07-06,46,9.2
4835,Haynesville,2012-07-13,42,8.4
4836,Haynesville,2012-07-20,46,9.2
4837,Haynesville,2012-07-27,43,8.6
4838,Haynesville,2012-08-03,41,8.2
4839,Haynesville,2012-08-10,42,8.4
4840,Haynesville,2012-08-17,41,8.2
4841,Haynesville,2012-08-24,41,8.2
4842,Haynesville,2012-08-31,41,8.2
4843,Haynesville,2012-09-07,40,8.0
4844,Haynesville,2012-09-14,38,7.6
4845,Haynesville,2012-09-21,38,7.6
4846,Haynesville,2012-09-28,36,7.2
4847,Haynesville,2012-10-05,37,7.4
