,basin_name,date,rig_count,size
5950,Mississippian,2011-02-04,20,4.0
5951,Mississippian,2011-02-11,23,4.6
5952,Mississippian,2011-02-18,23,4.6
5953,Mississippian,2011-02-25,23,4.6
5954,Mississippian,2011-03-04,19,3.8
5955,Mississippian,2011-03-11,19,3.8
5956,Mississippian,2011-03-18,22,4.4
5957,Mississippian,2011-03-25,11,2.2
5958,Mississippian,2011-04-01,24,4.8
5959,Mississippian,2011-04-08,22,4.4
5960,Mississippian,2011-04-15,26,5.2
5961,Mississippian,2011-04-22,27,5.4
5962,Mississippian,2011-04-29,29,5.8
5963,Mississippian,2011-05-06,30,6.0
5964,Mississippian,2011-05-13,28,5.6
5965,Mississippian,2011-05-20,29,5.8
5966,Mississippian,2011-05-27,30,6.0
5967,Mississippian,2011-06-03,32,6.4
5968,Mississippian,2011-06-10,31,6.2
5969,Mississippian,2011-06-17,32,6.4
5970,Mississippian,2011-06-24,34,6.8
5971,Mississippian,2011-07-01,33,6.6
5972,Mississippian,2011-07-08,33,6.6
5973,Mississippian,2011-07-15,33,6.6
5974,Mississippian,2011-07-22,34,6.8
5975,Mississippian,2011-07-29,34,6.8
5976,Mississippian,2011-08-05,35,7.0
5977,Mississippian,2011-08-12,35,7.0
5978,Mississippian,2011-08-19,37,7.4
5979,Mississippian,2011-08-26,39,7.8
5980,Mississippian,2011-09-02,41,8.2
5981,Mississippian,2011-09-09,42,8.4
5982,Mississippian,2011-09-16,44,8.8
5983,Mississippian,2011-09-23,45,9.0
5984,Mississippian,2011-09-30,43,8.6
5985,Mississippian,2011-10-07,44,8.8
5986,Mississippian,2011-10-14,41,8.2
5987,Mississippian,2011-10-21,37,7.4
5988,Mississippian,2011-10-28,39,7.8
5989,Mississippian,2011-11-04,43,8.6
5990,Mississippian,2011-11-11,43,8.6
5991,Mississippian,2011-11-18,44,8.8
5992,Mississippian,2011-11-25,45,9.0
5993,Mississippian,2011-12-02,45,9.0
5994,Mississippian,2011-12-09,48,9.6
5995,Mississippian,2011-12-16,50,10.0
5996,Mississippian,2011-12-23,52,10.4
5997,Mississippian,2011-12-30,52,10.4
5998,Mississippian,2012-01-06,47,9.4
5999,Mississippian,2012-01-13,42,8.4
6000,Mississippian,2012-01-20,49,9.8
6001,Mississippian,2012-01-27,51,10.2
6002,Mississippian,2012-02-03,51,10.2
6003,Mississippian,2012-02-10,52,10.4
6004,Mississippian,2012-02-17,60,12.0
6005,Mississippian,2012-02-24,55,11.0
6006,Mississippian,2012-03-02,62,12.4
6007,Mississippian,2012-03-09,64,12.8
6008,Mississippian,2012-03-16,68,13.6
6009,Mississippian,2012-03-23,66,13.2
6010,Mississippian,2012-03-30,65,13.0
6011,Mississippian,2012-04-05,65,13.0
6012,Mississippian,2012-04-13,64,12.8
6013,Mississippian,2012-04-20,63,12.6
6014,Mississippian,2012-04-27,62,12.4
6015,Mississippian,2012-05-04,63,12.6
6016,Mississippian,2012-05-11,66,13.2
6017,Mississippian,2012-05-18,64,12.8
6018,Mississippian,2012-05-25,66,13.2
6019,Mississippian,2012-06-01,63,12.6
6020,Mississippian,2012-06-08,66,13.2
6021,Mississippian,2012-06-15,65,13.0
6022,Mississippian,2012-06-22,67,13.4
6023,Mississippian,2012-06-29,75,15.0
6024,Mississippian,2012-07-06,72,14.4
6025,Mississippian,2012-07-13,69,13.8
6026,Mississippian,2012-07-20,68,13.6
6027,Mississippian,2012-07-27,70,14.0
6028,Mississippian,2012-08-03,76,15.2
6029,Mississippian,2012-08-10,77,15.4
6030,Mississippian,2012-08-17,75,15.0
6031,Mississippian,2012-08-24,79,15.8
6032,Mississippian,2012-08-31,82,16.4
6033,Mississippian,2012-09-07,84,16.8
6034,Mississippian,2012-09-14,87,17.4
6035,Mississippian,2012-09-21,89,17.8
6036,Mississippian,2012-09-28,87,17.4
6037,Mississippian,2012-10-05,85,17.0
6038,Mississippian,2012-10-12,84,16.8
6039,Mississippian,2012-10-19,84,16.8
6040,Mississippian,2012-10-26,82,16.4
