,basin_name,date,rig_count,size
1190,Barnett,2011-02-04,82,16.4
1191,Barnett,2011-02-11,81,16.2
1192,Barnett,2011-02-18,82,16.4
1193,Barnett,2011-02-25,79,15.8
1194,Barnett,2011-03-04,77,15.4
1195,Barnett,2011-03-11,77,15.4
1196,Barnett,2011-03-18,78,15.6
1197,Barnett,2011-03-25,78,15.6
1198,Barnett,2011-04-01,83,16.6
1199,Barnett,2011-04-08,81,16.2
1200,Barnett,2011-04-15,83,16.6
1201,Barnett,2011-04-22,84,16.8
1202,Barnett,2011-04-29,81,16.2
1203,Barnett,2011-05-06,81,16.2
1204,Barnett,2011-05-13,81,16.2
1205,Barnett,2011-05-20,80,16.0
1206,Barnett,2011-05-27,78,15.6
1207,Barnett,2011-06-03,79,15.8
1208,Barnett,2011-06-10,79,15.8
1209,Barnett,2011-06-17,75,15.0
1210,Barnett,2011-06-24,72,14.4
1211,Barnett,2011-07-01,74,14.8
1212,Barnett,2011-07-08,71,14.2
1213,Barnett,2011-07-15,71,14.2
1214,Barnett,2011-07-22,73,14.6
1215,Barnett,2011-07-29,72,14.4
1216,Barnett,2011-08-05,71,14.2
1217,Barnett,2011-08-12,75,15.0
1218,Barnett,2011-08-19,71,14.2
1219,Barnett,2011-08-26,70,14.0
1220,Barnett,2011-09-02,68,13.6
1221,Barnett,2011-09-09,68,13.6
1222,Barnett,2011-09-16,68,13.6
1223,Barnett,2011-09-23,68,13.6
1224,Barnett,2011-09-30,66,13.2
1225,Barnett,2011-10-07,66,13.2
1226,Barnett,2011-10-14,66,13.2
1227,Barnett,2011-10-21,61,12.2
1228,Barnett,2011-10-28,62,12.4
1229,Barnett,2011-11-04,60,12.0
1230,Barnett,2011-11-11,60,12.0
1231,Barnett,2011-11-18,60,12.0
1232,Barnett,2011-11-25,60,12.0
1233,Barnett,2011-12-02,60,12.0
1234,Barnett,2011-12-09,63,12.6
1235,Barnett,2011-12-16,64,12.8
1236,Barnett,2011-12-23,64,12.8
1237,Barnett,2011-12-30,64,12.8
1238,Barnett,2012-01-06,64,12.8
1239,Barnett,2012-01-13,63,12.6
1240,Barnett,2012-01-20,63,12.6
1241,Barnett,2012-01-27,65,13.0
1242,Barnett,2012-02-03,62,12.4
1243,Barnett,2012-02-10,58,11.6
1244,Barnett,2012-02-17,58,11.6
1245,Barnett,2012-02-24,59,11.8
1246,Barnett,2012-03-02,58,11.6
1247,Barnett,2012-03-09,60,12.0
1248,Barnett,2012-03-16,62,12.4
1249,Barnett,2012-03-23,59,11.8
1250,Barnett,2012-03-30,59,11.8
1251,Barnett,2012-04-05,54,10.8
1252,Barnett,2012-04-13,49,9.8
1253,Barnett,2012-04-20,50,10.0
1254,Barnett,2012-04-27,49,9.8
1255,Barnett,2012-05-04,48,9.6
1256,Barnett,2012-05-11,46,9.2
1257,Barnett,2012-05-18,47,9.4
1258,Barnett,2012-05-25,44,8.8
1259,Barnett,2012-06-01,43,8.6
1260,Barnett,2012-06-08,43,8.6
1261,Barnett,2012-06-15,42,8.4
1262,Barnett,2012-06-22,40,8.0
1263,Barnett,2012-06-29,41,8.2
1264,Barnett,2012-07-06,40,8.0
1265,Barnett,2012-07-13,42,8.4
1266,Barnett,2012-07-20,42,8.4
1267,Barnett,2012-07-27,43,8.6
1268,Barnett,2012-08-03,42,8.4
1269,Barnett,2012-08-10,44,8.8
1270,Barnett,2012-08-17,44,8.8
1271,Barnett,2012-08-24,43,8.6
1272,Barnett,2012-08-31,41,8.2
1273,Barnett,2012-09-07,41,8.2
1274,Barnett,2012-09-14,40,8.0
1275,Barnett,2012-09-21,42,8.4
1276,Barnett,2012-09-28,40,8.0
1277,Barnett,2012-10-05,40,8.0
1278,Barnett,2012-10-12,41,8.2
1279,Barnett,2012-10-19,37,7.4
1280,Barnett,2012-10-26,39,7.8
1281,Barnett,2012-11-02,40,8.0
