,basin_name,date,rig_count
1785,Cana Woodford,2011-02-04,52
1786,Cana Woodford,2011-02-11,49
1787,Cana Woodford,2011-02-18,49
1788,Cana Woodford,2011-02-25,49
1789,Cana Woodford,2011-03-04,56
1790,Cana Woodford,2011-03-11,60
1791,Cana Woodford,2011-03-18,54
1792,Cana Woodford,2011-03-25,52
1793,Cana Woodford,2011-04-01,54
1794,Cana Woodford,2011-04-08,50
1795,Cana Woodford,2011-04-15,49
1796,Cana Woodford,2011-04-22,50
1797,Cana Woodford,2011-04-29,49
1798,Cana Woodford,2011-05-06,50
1799,Cana Woodford,2011-05-13,53
1800,Cana Woodford,2011-05-20,52
1801,Cana Woodford,2011-05-27,52
1802,Cana Woodford,2011-06-03,52
1803,Cana Woodford,2011-06-10,48
1804,Cana Woodford,2011-06-17,49
1805,Cana Woodford,2011-06-24,49
1806,Cana Woodford,2011-07-01,49
1807,Cana Woodford,2011-07-08,48
1808,Cana Woodford,2011-07-15,48
1809,Cana Woodford,2011-07-22,53
1810,Cana Woodford,2011-07-29,52
1811,Cana Woodford,2011-08-05,53
1812,Cana Woodford,2011-08-12,55
1813,Cana Woodford,2011-08-19,59
1814,Cana Woodford,2011-08-26,58
1815,Cana Woodford,2011-09-02,62
1816,Cana Woodford,2011-09-09,61
1817,Cana Woodford,2011-09-16,59
1818,Cana Woodford,2011-09-23,57
1819,Cana Woodford,2011-09-30,58
1820,Cana Woodford,2011-10-07,58
1821,Cana Woodford,2011-10-14,61
1822,Cana Woodford,2011-10-21,59
1823,Cana Woodford,2011-10-28,61
1824,Cana Woodford,2011-11-04,60
1825,Cana Woodford,2011-11-11,58
1826,Cana Woodford,2011-11-18,58
1827,Cana Woodford,2011-11-25,54
1828,Cana Woodford,2011-12-02,54
1829,Cana Woodford,2011-12-09,52
1830,Cana Woodford,2011-12-16,52
1831,Cana Woodford,2011-12-23,53
1832,Cana Woodford,2011-12-30,53
1833,Cana Woodford,2012-01-06,56
1834,Cana Woodford,2012-01-13,56
1835,Cana Woodford,2012-01-20,58
1836,Cana Woodford,2012-01-27,57
1837,Cana Woodford,2012-02-03,59
1838,Cana Woodford,2012-02-10,58
1839,Cana Woodford,2012-02-17,57
1840,Cana Woodford,2012-02-24,57
1841,Cana Woodford,2012-03-02,54
1842,Cana Woodford,2012-03-09,50
1843,Cana Woodford,2012-03-16,57
1844,Cana Woodford,2012-03-23,53
1845,Cana Woodford,2012-03-30,49
1846,Cana Woodford,2012-04-05,50
1847,Cana Woodford,2012-04-13,50
1848,Cana Woodford,2012-04-20,50
1849,Cana Woodford,2012-04-27,51
1850,Cana Woodford,2012-05-04,50
1851,Cana Woodford,2012-05-11,49
1852,Cana Woodford,2012-05-18,50
1853,Cana Woodford,2012-05-25,50
1854,Cana Woodford,2012-06-01,48
1855,Cana Woodford,2012-06-08,50
1856,Cana Woodford,2012-06-15,49
1857,Cana Woodford,2012-06-22,50
1858,Cana Woodford,2012-06-29,49
1859,Cana Woodford,2012-07-06,47
1860,Cana Woodford,2012-07-13,49
1861,Cana Woodford,2012-07-20,46
1862,Cana Woodford,2012-07-27,40
1863,Cana Woodford,2012-08-03,38
