,basin_name,date,rig_count,size
2975,Eagle Ford,2011-02-04,134,26.8
2976,Eagle Ford,2011-02-11,136,27.2
2977,Eagle Ford,2011-02-18,136,27.2
2978,Eagle Ford,2011-02-25,136,27.2
2979,Eagle Ford,2011-03-04,140,28.0
2980,Eagle Ford,2011-03-11,134,26.8
2981,Eagle Ford,2011-03-18,140,28.0
2982,Eagle Ford,2011-03-25,146,29.2
2983,Eagle Ford,2011-04-01,146,29.2
2984,Eagle Ford,2011-04-08,158,31.6
2985,Eagle Ford,2011-04-15,151,30.2
2986,Eagle Ford,2011-04-22,162,32.4
2987,Eagle Ford,2011-04-29,157,31.4
2988,Eagle Ford,2011-05-06,159,31.8
2989,Eagle Ford,2011-05-13,158,31.6
2990,Eagle Ford,2011-05-20,160,32.0
2991,Eagle Ford,2011-05-27,171,34.2
2992,Eagle Ford,2011-06-03,170,34.0
2993,Eagle Ford,2011-06-10,175,35.0
2994,Eagle Ford,2011-06-17,179,35.8
2995,Eagle Ford,2011-06-24,175,35.0
2996,Eagle Ford,2011-07-01,174,34.8
2997,Eagle Ford,2011-07-08,176,35.2
2998,Eagle Ford,2011-07-15,182,36.4
2999,Eagle Ford,2011-07-22,194,38.8
3000,Eagle Ford,2011-07-29,188,37.6
3001,Eagle Ford,2011-08-05,192,38.4
3002,Eagle Ford,2011-08-12,204,40.8
3003,Eagle Ford,2011-08-19,212,42.4
3004,Eagle Ford,2011-08-26,213,42.6
3005,Eagle Ford,2011-09-02,220,44.0
3006,Eagle Ford,2011-09-09,222,44.4
3007,Eagle Ford,2011-09-16,218,43.6
3008,Eagle Ford,2011-09-23,218,43.6
3009,Eagle Ford,2011-09-30,221,44.2
3010,Eagle Ford,2011-10-07,222,44.4
3011,Eagle Ford,2011-10-14,221,44.2
3012,Eagle Ford,2011-10-21,213,42.6
3013,Eagle Ford,2011-10-28,217,43.4
3014,Eagle Ford,2011-11-04,219,43.8
3015,Eagle Ford,2011-11-11,220,44.0
3016,Eagle Ford,2011-11-18,216,43.2
3017,Eagle Ford,2011-11-25,216,43.2
3018,Eagle Ford,2011-12-02,217,43.4
3019,Eagle Ford,2011-12-09,218,43.6
3020,Eagle Ford,2011-12-16,220,44.0
3021,Eagle Ford,2011-12-23,221,44.2
3022,Eagle Ford,2011-12-30,224,44.8
3023,Eagle Ford,2012-01-06,223,44.6
3024,Eagle Ford,2012-01-13,232,46.4
3025,Eagle Ford,2012-01-20,232,46.4
3026,Eagle Ford,2012-01-27,228,45.6
3027,Eagle Ford,2012-02-03,226,45.2
3028,Eagle Ford,2012-02-10,226,45.2
3029,Eagle Ford,2012-02-17,228,45.6
3030,Eagle Ford,2012-02-24,232,46.4
3031,Eagle Ford,2012-03-02,242,48.4
3032,Eagle Ford,2012-03-09,244,48.8
3033,Eagle Ford,2012-03-16,243,48.6
3034,Eagle Ford,2012-03-23,245,49.0
3035,Eagle Ford,2012-03-30,244,48.8
3036,Eagle Ford,2012-04-05,247,49.4
3037,Eagle Ford,2012-04-13,245,49.0
3038,Eagle Ford,2012-04-20,246,49.2
3039,Eagle Ford,2012-04-27,248,49.6
3040,Eagle Ford,2012-05-04,248,49.6
3041,Eagle Ford,2012-05-11,252,50.4
3042,Eagle Ford,2012-05-18,255,51.0
3043,Eagle Ford,2012-05-25,259,51.8
3044,Eagle Ford,2012-06-01,258,51.6
3045,Eagle Ford,2012-06-08,256,51.2
3046,Eagle Ford,2012-06-15,247,49.4
3047,Eagle Ford,2012-06-22,250,50.0
3048,Eagle Ford,2012-06-29,247,49.4
3049,Eagle Ford,2012-07-06,249,49.8
3050,Eagle Ford,2012-07-13,251,50.2
3051,Eagle Ford,2012-07-20,250,50.0
3052,Eagle Ford,2012-07-27,248,49.6
3053,Eagle Ford,2012-08-03,243,48.6
3054,Eagle Ford,2012-08-10,247,49.4
3055,Eagle Ford,2012-08-17,241,48.2
3056,Eagle Ford,2012-08-24,241,48.2
3057,Eagle Ford,2012-08-31,238,47.6
3058,Eagle Ford,2012-09-07,238,47.6
3059,Eagle Ford,2012-09-14,238,47.6
3060,Eagle Ford,2012-09-21,234,46.8
3061,Eagle Ford,2012-09-28,233,46.6
3062,Eagle Ford,2012-10-05,231,46.2
3063,Eagle Ford,2012-10-12,230,46.0
3064,Eagle Ford,2012-10-19,224,44.8
3065,Eagle Ford,2012-10-26,221,44.2
3066,Eagle Ford,2012-11-02,219,43.8
3067,Eagle Ford,2012-11-09,223,44.6
3068,Eagle Ford,2012-11-16,227,45.4
3069,Eagle Ford,2012-11-21,227,45.4
3070,Eagle Ford,2012-11-30,233,46.6
3071,Eagle Ford,2012-12-07,238,47.6
3072,Eagle Ford,2012-12-14,233,46.6
3073,Eagle Ford,2012-12-21,232,46.4
3074,Eagle Ford,2012-12-28,232,46.4
3075,Eagle Ford,2013-01-04,233,46.6
3076,Eagle Ford,2013-01-11,229,45.8
3077,Eagle Ford,2013-01-18,233,46.6
3078,Eagle Ford,2013-01-25,236,47.2
3079,Eagle Ford,2013-02-01,239,47.8
3080,Eagle Ford,2013-02-08,239,47.8
3081,Eagle Ford,2013-02-15,235,47.0
3082,Eagle Ford,2013-02-22,233,46.6
3083,Eagle Ford,2013-03-01,228,45.6
3084,Eagle Ford,2013-03-08,227,45.4
3085,Eagle Ford,2013-03-15,229,45.8
3086,Eagle Ford,2013-03-22,226,45.2
3087,Eagle Ford,2013-03-28,225,45.0
3088,Eagle Ford,2013-04-05,226,45.2
3089,Eagle Ford,2013-04-12,230,46.0
3090,Eagle Ford,2013-04-19,229,45.8
3091,Eagle Ford,2013-04-26,230,46.0
3092,Eagle Ford,2013-05-03,232,46.4
3093,Eagle Ford,2013-05-10,234,46.8
3094,Eagle Ford,2013-05-17,232,46.4
3095,Eagle Ford,2013-05-24,232,46.4
3096,Eagle Ford,2013-05-31,231,46.2
3097,Eagle Ford,2013-06-07,233,46.6
3098,Eagle Ford,2013-06-14,227,45.4
3099,Eagle Ford,2013-06-21,227,45.4
3100,Eagle Ford,2013-06-28,227,45.4
3101,Eagle Ford,2013-07-03,230,46.0
3102,Eagle Ford,2013-07-12,231,46.2
3103,Eagle Ford,2013-07-19,233,46.6
3104,Eagle Ford,2013-07-26,237,47.4
3105,Eagle Ford,2013-08-02,239,47.8
3106,Eagle Ford,2013-08-09,236,47.2
3107,Eagle Ford,2013-08-16,229,45.8
3108,Eagle Ford,2013-08-23,234,46.8
3109,Eagle Ford,2013-08-30,231,46.2
3110,Eagle Ford,2013-09-06,231,46.2
3111,Eagle Ford,2013-09-13,234,46.8
3112,Eagle Ford,2013-09-20,232,46.4
3113,Eagle Ford,2013-09-27,229,45.8
3114,Eagle Ford,2013-10-04,227,45.4
3115,Eagle Ford,2013-10-11,221,44.2
3116,Eagle Ford,2013-10-18,221,44.2
3117,Eagle Ford,2013-10-25,222,44.4
3118,Eagle Ford,2013-11-01,226,45.2
3119,Eagle Ford,2013-11-08,226,45.2
3120,Eagle Ford,2013-11-15,223,44.6
3121,Eagle Ford,2013-11-22,226,45.2
3122,Eagle Ford,2013-11-27,227,45.4
3123,Eagle Ford,2013-12-06,226,45.2
3124,Eagle Ford,2013-12-13,229,45.8
3125,Eagle Ford,2013-12-20,229,45.8
3126,Eagle Ford,2013-12-27,228,45.6
3127,Eagle Ford,2014-01-03,228,45.6
3128,Eagle Ford,2014-01-10,227,45.4
3129,Eagle Ford,2014-01-17,225,45.0
3130,Eagle Ford,2014-01-24,216,43.2
3131,Eagle Ford,2014-01-31,214,42.8
3132,Eagle Ford,2014-02-07,216,43.2
3133,Eagle Ford,2014-02-14,216,43.2
3134,Eagle Ford,2014-02-21,221,44.2
3135,Eagle Ford,2014-02-28,221,44.2
3136,Eagle Ford,2014-03-07,222,44.4
3137,Eagle Ford,2014-03-14,224,44.8
3138,Eagle Ford,2014-03-21,219,43.8
3139,Eagle Ford,2014-03-28,223,44.6
3140,Eagle Ford,2014-04-04,224,44.8
3141,Eagle Ford,2014-04-11,220,44.0
3142,Eagle Ford,2014-04-17,217,43.4
3143,Eagle Ford,2014-04-25,219,43.8
3144,Eagle Ford,2014-05-02,218,43.6
3145,Eagle Ford,2014-05-09,218,43.6
3146,Eagle Ford,2014-05-16,219,43.8
3147,Eagle Ford,2014-05-23,213,42.6
3148,Eagle Ford,2014-05-30,213,42.6
3149,Eagle Ford,2014-06-06,214,42.8
3150,Eagle Ford,2014-06-13,213,42.6
3151,Eagle Ford,2014-06-20,215,43.0
3152,Eagle Ford,2014-06-27,214,42.8
3153,Eagle Ford,2014-07-03,213,42.6
3154,Eagle Ford,2014-07-11,218,43.6
3155,Eagle Ford,2014-07-18,212,42.4
3156,Eagle Ford,2014-07-25,211,42.2
3157,Eagle Ford,2014-08-01,204,40.8
3158,Eagle Ford,2014-08-08,201,40.2
3159,Eagle Ford,2014-08-15,199,39.8
3160,Eagle Ford,2014-08-22,200,40.0
3161,Eagle Ford,2014-08-29,203,40.6
3162,Eagle Ford,2014-09-05,202,40.4
3163,Eagle Ford,2014-09-12,203,40.6
3164,Eagle Ford,2014-09-19,205,41.0
3165,Eagle Ford,2014-09-26,207,41.4
3166,Eagle Ford,2014-10-03,210,42.0
3167,Eagle Ford,2014-10-10,211,42.2
3168,Eagle Ford,2014-10-17,209,41.8
3169,Eagle Ford,2014-10-24,216,43.2
3170,Eagle Ford,2014-10-31,218,43.6
3171,Eagle Ford,2014-11-07,212,42.4
3172,Eagle Ford,2014-11-14,208,41.6
3173,Eagle Ford,2014-11-21,209,41.8
3174,Eagle Ford,2014-11-26,209,41.8
3175,Eagle Ford,2014-12-05,206,41.2
3176,Eagle Ford,2014-12-12,204,40.8
3177,Eagle Ford,2014-12-19,206,41.2
3178,Eagle Ford,2014-12-26,204,40.8
3179,Eagle Ford,2015-01-02,200,40.0
3180,Eagle Ford,2015-01-09,197,39.4
3181,Eagle Ford,2015-01-16,185,37.0
3182,Eagle Ford,2015-01-23,181,36.2
3183,Eagle Ford,2015-01-30,178,35.6
3184,Eagle Ford,2015-02-06,168,33.6
3185,Eagle Ford,2015-02-13,164,32.8
3186,Eagle Ford,2015-02-20,160,32.0
3187,Eagle Ford,2015-02-27,157,31.4
3188,Eagle Ford,2015-03-06,149,29.8
3189,Eagle Ford,2015-03-13,146,29.2
3190,Eagle Ford,2015-03-20,138,27.6
3191,Eagle Ford,2015-03-27,137,27.4
3192,Eagle Ford,2015-04-02,137,27.4
3193,Eagle Ford,2015-04-10,125,25.0
3194,Eagle Ford,2015-04-17,123,24.6
3195,Eagle Ford,2015-04-24,115,23.0
3196,Eagle Ford,2015-05-01,110,22.0
3197,Eagle Ford,2015-05-08,105,21.0
3198,Eagle Ford,2015-05-15,108,21.6
3199,Eagle Ford,2015-05-22,107,21.4
3200,Eagle Ford,2015-05-29,110,22.0
3201,Eagle Ford,2015-06-05,103,20.6
3202,Eagle Ford,2015-06-12,104,20.8
