,basin_name,date,rig_count,size
3570,Fayetteville,2011-02-04,33,6.6
3571,Fayetteville,2011-02-11,32,6.4
3572,Fayetteville,2011-02-18,32,6.4
3573,Fayetteville,2011-02-25,32,6.4
3574,Fayetteville,2011-03-04,31,6.2
3575,Fayetteville,2011-03-11,31,6.2
3576,Fayetteville,2011-03-18,29,5.8
3577,Fayetteville,2011-03-25,31,6.2
3578,Fayetteville,2011-04-01,32,6.4
3579,Fayetteville,2011-04-08,32,6.4
3580,Fayetteville,2011-04-15,32,6.4
3581,Fayetteville,2011-04-22,31,6.2
3582,Fayetteville,2011-04-29,31,6.2
3583,Fayetteville,2011-05-06,31,6.2
3584,Fayetteville,2011-05-13,29,5.8
3585,Fayetteville,2011-05-20,30,6.0
3586,Fayetteville,2011-05-27,32,6.4
3587,Fayetteville,2011-06-03,32,6.4
3588,Fayetteville,2011-06-10,31,6.2
3589,Fayetteville,2011-06-17,31,6.2
3590,Fayetteville,2011-06-24,31,6.2
3591,Fayetteville,2011-07-01,31,6.2
3592,Fayetteville,2011-07-08,30,6.0
3593,Fayetteville,2011-07-15,31,6.2
3594,Fayetteville,2011-07-22,31,6.2
3595,Fayetteville,2011-07-29,29,5.8
3596,Fayetteville,2011-08-05,28,5.6
3597,Fayetteville,2011-08-12,28,5.6
3598,Fayetteville,2011-08-19,28,5.6
3599,Fayetteville,2011-08-26,28,5.6
3600,Fayetteville,2011-09-02,28,5.6
3601,Fayetteville,2011-09-09,28,5.6
3602,Fayetteville,2011-09-16,29,5.8
3603,Fayetteville,2011-09-23,30,6.0
3604,Fayetteville,2011-09-30,33,6.6
3605,Fayetteville,2011-10-07,34,6.8
3606,Fayetteville,2011-10-14,35,7.0
3607,Fayetteville,2011-10-21,34,6.8
3608,Fayetteville,2011-10-28,35,7.0
3609,Fayetteville,2011-11-04,33,6.6
3610,Fayetteville,2011-11-11,33,6.6
3611,Fayetteville,2011-11-18,33,6.6
3612,Fayetteville,2011-11-25,32,6.4
3613,Fayetteville,2011-12-02,32,6.4
3614,Fayetteville,2011-12-09,31,6.2
3615,Fayetteville,2011-12-16,32,6.4
3616,Fayetteville,2011-12-23,31,6.2
3617,Fayetteville,2011-12-30,29,5.8
3618,Fayetteville,2012-01-06,31,6.2
3619,Fayetteville,2012-01-13,31,6.2
3620,Fayetteville,2012-01-20,31,6.2
3621,Fayetteville,2012-01-27,32,6.4
3622,Fayetteville,2012-02-03,32,6.4
3623,Fayetteville,2012-02-10,29,5.8
3624,Fayetteville,2012-02-17,27,5.4
3625,Fayetteville,2012-02-24,27,5.4
3626,Fayetteville,2012-03-02,27,5.4
3627,Fayetteville,2012-03-09,27,5.4
3628,Fayetteville,2012-03-16,25,5.0
3629,Fayetteville,2012-03-23,25,5.0
3630,Fayetteville,2012-03-30,24,4.8
3631,Fayetteville,2012-04-05,24,4.8
3632,Fayetteville,2012-04-13,24,4.8
3633,Fayetteville,2012-04-20,24,4.8
3634,Fayetteville,2012-04-27,21,4.2
3635,Fayetteville,2012-05-04,21,4.2
3636,Fayetteville,2012-05-11,21,4.2
3637,Fayetteville,2012-05-18,20,4.0
3638,Fayetteville,2012-05-25,20,4.0
3639,Fayetteville,2012-06-01,20,4.0
3640,Fayetteville,2012-06-08,19,3.8
3641,Fayetteville,2012-06-15,18,3.6
3642,Fayetteville,2012-06-22,16,3.2
3643,Fayetteville,2012-06-29,16,3.2
3644,Fayetteville,2012-07-06,15,3.0
3645,Fayetteville,2012-07-13,15,3.0
3646,Fayetteville,2012-07-20,15,3.0
3647,Fayetteville,2012-07-27,15,3.0
3648,Fayetteville,2012-08-03,14,2.8
3649,Fayetteville,2012-08-10,14,2.8
3650,Fayetteville,2012-08-17,14,2.8
3651,Fayetteville,2012-08-24,14,2.8
3652,Fayetteville,2012-08-31,14,2.8
3653,Fayetteville,2012-09-07,15,3.0
3654,Fayetteville,2012-09-14,15,3.0
3655,Fayetteville,2012-09-21,14,2.8
3656,Fayetteville,2012-09-28,14,2.8
3657,Fayetteville,2012-10-05,14,2.8
3658,Fayetteville,2012-10-12,13,2.6
3659,Fayetteville,2012-10-19,15,3.0
3660,Fayetteville,2012-10-26,15,3.0
3661,Fayetteville,2012-11-02,16,3.2
3662,Fayetteville,2012-11-09,15,3.0
3663,Fayetteville,2012-11-16,15,3.0
3664,Fayetteville,2012-11-21,15,3.0
3665,Fayetteville,2012-11-30,15,3.0
3666,Fayetteville,2012-12-07,15,3.0
3667,Fayetteville,2012-12-14,13,2.6
3668,Fayetteville,2012-12-21,13,2.6
3669,Fayetteville,2012-12-28,13,2.6
3670,Fayetteville,2013-01-04,13,2.6
3671,Fayetteville,2013-01-11,13,2.6
3672,Fayetteville,2013-01-18,13,2.6
3673,Fayetteville,2013-01-25,13,2.6
3674,Fayetteville,2013-02-01,13,2.6
3675,Fayetteville,2013-02-08,13,2.6
3676,Fayetteville,2013-02-15,12,2.4
3677,Fayetteville,2013-02-22,13,2.6
3678,Fayetteville,2013-03-01,14,2.8
3679,Fayetteville,2013-03-08,13,2.6
3680,Fayetteville,2013-03-15,13,2.6
3681,Fayetteville,2013-03-22,13,2.6
3682,Fayetteville,2013-03-28,13,2.6
3683,Fayetteville,2013-04-05,13,2.6
3684,Fayetteville,2013-04-12,13,2.6
3685,Fayetteville,2013-04-19,13,2.6
3686,Fayetteville,2013-04-26,13,2.6
3687,Fayetteville,2013-05-03,13,2.6
3688,Fayetteville,2013-05-10,13,2.6
3689,Fayetteville,2013-05-17,13,2.6
3690,Fayetteville,2013-05-24,13,2.6
3691,Fayetteville,2013-05-31,12,2.4
3692,Fayetteville,2013-06-07,12,2.4
3693,Fayetteville,2013-06-14,12,2.4
3694,Fayetteville,2013-06-21,12,2.4
3695,Fayetteville,2013-06-28,12,2.4
3696,Fayetteville,2013-07-03,12,2.4
3697,Fayetteville,2013-07-12,12,2.4
3698,Fayetteville,2013-07-19,11,2.2
3699,Fayetteville,2013-07-26,11,2.2
3700,Fayetteville,2013-08-02,11,2.2
3701,Fayetteville,2013-08-09,11,2.2
3702,Fayetteville,2013-08-16,11,2.2
3703,Fayetteville,2013-08-23,11,2.2
3704,Fayetteville,2013-08-30,11,2.2
3705,Fayetteville,2013-09-06,11,2.2
3706,Fayetteville,2013-09-13,11,2.2
3707,Fayetteville,2013-09-20,10,2.0
3708,Fayetteville,2013-09-27,9,1.8
3709,Fayetteville,2013-10-04,9,1.8
3710,Fayetteville,2013-10-11,9,1.8
3711,Fayetteville,2013-10-18,8,1.6
3712,Fayetteville,2013-10-25,9,1.8
3713,Fayetteville,2013-11-01,9,1.8
3714,Fayetteville,2013-11-08,9,1.8
3715,Fayetteville,2013-11-15,9,1.8
3716,Fayetteville,2013-11-22,9,1.8
3717,Fayetteville,2013-11-27,9,1.8
3718,Fayetteville,2013-12-06,9,1.8
3719,Fayetteville,2013-12-13,9,1.8
3720,Fayetteville,2013-12-20,9,1.8
3721,Fayetteville,2013-12-27,9,1.8
3722,Fayetteville,2014-01-03,9,1.8
3723,Fayetteville,2014-01-10,9,1.8
3724,Fayetteville,2014-01-17,9,1.8
3725,Fayetteville,2014-01-24,9,1.8
3726,Fayetteville,2014-01-31,9,1.8
3727,Fayetteville,2014-02-07,9,1.8
3728,Fayetteville,2014-02-14,9,1.8
3729,Fayetteville,2014-02-21,9,1.8
3730,Fayetteville,2014-02-28,9,1.8
3731,Fayetteville,2014-03-07,9,1.8
3732,Fayetteville,2014-03-14,9,1.8
3733,Fayetteville,2014-03-21,9,1.8
3734,Fayetteville,2014-03-28,9,1.8
3735,Fayetteville,2014-04-04,9,1.8
3736,Fayetteville,2014-04-11,9,1.8
3737,Fayetteville,2014-04-17,10,2.0
3738,Fayetteville,2014-04-25,10,2.0
3739,Fayetteville,2014-05-02,9,1.8
3740,Fayetteville,2014-05-09,10,2.0
3741,Fayetteville,2014-05-16,10,2.0
3742,Fayetteville,2014-05-23,9,1.8
3743,Fayetteville,2014-05-30,9,1.8
3744,Fayetteville,2014-06-06,9,1.8
3745,Fayetteville,2014-06-13,9,1.8
3746,Fayetteville,2014-06-20,9,1.8
3747,Fayetteville,2014-06-27,9,1.8
3748,Fayetteville,2014-07-03,9,1.8
3749,Fayetteville,2014-07-11,9,1.8
3750,Fayetteville,2014-07-18,9,1.8
3751,Fayetteville,2014-07-25,9,1.8
3752,Fayetteville,2014-08-01,9,1.8
3753,Fayetteville,2014-08-08,9,1.8
3754,Fayetteville,2014-08-15,9,1.8
3755,Fayetteville,2014-08-22,9,1.8
3756,Fayetteville,2014-08-29,8,1.6
3757,Fayetteville,2014-09-05,9,1.8
3758,Fayetteville,2014-09-12,9,1.8
3759,Fayetteville,2014-09-19,9,1.8
3760,Fayetteville,2014-09-26,9,1.8
3761,Fayetteville,2014-10-03,9,1.8
3762,Fayetteville,2014-10-10,8,1.6
3763,Fayetteville,2014-10-17,9,1.8
3764,Fayetteville,2014-10-24,9,1.8
3765,Fayetteville,2014-10-31,9,1.8
3766,Fayetteville,2014-11-07,9,1.8
3767,Fayetteville,2014-11-14,9,1.8
3768,Fayetteville,2014-11-21,9,1.8
3769,Fayetteville,2014-11-26,7,1.4
3770,Fayetteville,2014-12-05,9,1.8
3771,Fayetteville,2014-12-12,6,1.2
3772,Fayetteville,2014-12-19,9,1.8
3773,Fayetteville,2014-12-26,9,1.8
3774,Fayetteville,2015-01-02,8,1.6
3775,Fayetteville,2015-01-09,10,2.0
3776,Fayetteville,2015-01-16,8,1.6
3777,Fayetteville,2015-01-23,9,1.8
3778,Fayetteville,2015-01-30,9,1.8
3779,Fayetteville,2015-02-06,9,1.8
3780,Fayetteville,2015-02-13,9,1.8
3781,Fayetteville,2015-02-20,9,1.8
3782,Fayetteville,2015-02-27,9,1.8
3783,Fayetteville,2015-03-06,9,1.8
3784,Fayetteville,2015-03-13,9,1.8
3785,Fayetteville,2015-03-20,7,1.4
3786,Fayetteville,2015-03-27,7,1.4
3787,Fayetteville,2015-04-02,6,1.2
3788,Fayetteville,2015-04-10,7,1.4
3789,Fayetteville,2015-04-17,7,1.4
3790,Fayetteville,2015-04-24,8,1.6
3791,Fayetteville,2015-05-01,7,1.4
3792,Fayetteville,2015-05-08,6,1.2
3793,Fayetteville,2015-05-15,6,1.2
3794,Fayetteville,2015-05-22,8,1.6
3795,Fayetteville,2015-05-29,6,1.2
3796,Fayetteville,2015-06-05,5,1.0
3797,Fayetteville,2015-06-12,5,1.0
3798,Fayetteville,2015-06-19,5,1.0
3799,Fayetteville,2015-06-26,5,1.0
3800,Fayetteville,2015-07-02,4,0.8
3801,Fayetteville,2015-07-10,4,0.8
3802,Fayetteville,2015-07-17,4,0.8
3803,Fayetteville,2015-07-24,4,0.8
3804,Fayetteville,2015-07-31,4,0.8
3805,Fayetteville,2015-08-07,4,0.8
3806,Fayetteville,2015-08-14,4,0.8
3807,Fayetteville,2015-08-21,4,0.8
3808,Fayetteville,2015-08-28,4,0.8
3809,Fayetteville,2015-09-04,4,0.8
3810,Fayetteville,2015-09-11,4,0.8
3811,Fayetteville,2015-09-18,4,0.8
3812,Fayetteville,2015-09-25,3,0.6
3813,Fayetteville,2015-10-02,4,0.8
3814,Fayetteville,2015-10-09,4,0.8
3815,Fayetteville,2015-10-16,4,0.8
3816,Fayetteville,2015-10-23,4,0.8
3817,Fayetteville,2015-10-30,4,0.8
3818,Fayetteville,2015-11-06,4,0.8
3819,Fayetteville,2015-11-13,4,0.8
3820,Fayetteville,2015-11-20,4,0.8
3821,Fayetteville,2015-11-25,4,0.8
3822,Fayetteville,2015-12-04,4,0.8
3823,Fayetteville,2015-12-11,3,0.6
3824,Fayetteville,2015-12-18,3,0.6
3825,Fayetteville,2015-12-23,1,0.2
3826,Fayetteville,2015-12-31,1,0.2
3827,Fayetteville,2016-01-08,0,0.0
3828,Fayetteville,2016-01-15,0,0.0
3829,Fayetteville,2016-01-22,0,0.0
3830,Fayetteville,2016-01-29,0,0.0
3831,Fayetteville,2016-02-05,0,0.0
3832,Fayetteville,2016-02-12,0,0.0
3833,Fayetteville,2016-02-19,0,0.0
3834,Fayetteville,2016-02-26,0,0.0
3835,Fayetteville,2016-03-04,0,0.0
3836,Fayetteville,2016-03-11,0,0.0
3837,Fayetteville,2016-03-18,0,0.0
3838,Fayetteville,2016-03-24,0,0.0
3839,Fayetteville,2016-04-01,0,0.0
3840,Fayetteville,2016-04-08,0,0.0
3841,Fayetteville,2016-04-15,0,0.0
3842,Fayetteville,2016-04-22,0,0.0
3843,Fayetteville,2016-04-29,0,0.0
3844,Fayetteville,2016-05-06,0,0.0
3845,Fayetteville,2016-05-13,0,0.0
3846,Fayetteville,2016-05-20,0,0.0
3847,Fayetteville,2016-05-27,0,0.0
3848,Fayetteville,2016-06-03,0,0.0
3849,Fayetteville,2016-06-10,0,0.0
3850,Fayetteville,2016-06-17,0,0.0
3851,Fayetteville,2016-06-24,0,0.0
3852,Fayetteville,2016-07-01,0,0.0
3853,Fayetteville,2016-07-08,0,0.0
3854,Fayetteville,2016-07-15,0,0.0
3855,Fayetteville,2016-07-22,0,0.0
3856,Fayetteville,2016-07-29,0,0.0
3857,Fayetteville,2016-08-05,0,0.0
3858,Fayetteville,2016-08-12,0,0.0
3859,Fayetteville,2016-08-19,0,0.0
3860,Fayetteville,2016-08-26,0,0.0
3861,Fayetteville,2016-09-02,0,0.0
3862,Fayetteville,2016-09-09,0,0.0
3863,Fayetteville,2016-09-16,0,0.0
3864,Fayetteville,2016-09-23,0,0.0
3865,Fayetteville,2016-09-30,1,0.2
3866,Fayetteville,2016-10-07,1,0.2
3867,Fayetteville,2016-10-14,1,0.2
3868,Fayetteville,2016-10-21,1,0.2
3869,Fayetteville,2016-10-28,1,0.2
3870,Fayetteville,2016-11-04,1,0.2
3871,Fayetteville,2016-11-11,1,0.2
3872,Fayetteville,2016-11-18,1,0.2
3873,Fayetteville,2016-11-23,1,0.2
3874,Fayetteville,2016-12-02,1,0.2
3875,Fayetteville,2016-12-09,1,0.2
3876,Fayetteville,2016-12-16,1,0.2
3877,Fayetteville,2016-12-23,1,0.2
3878,Fayetteville,2016-12-30,1,0.2
3879,Fayetteville,2017-01-06,1,0.2
3880,Fayetteville,2017-01-13,1,0.2
3881,Fayetteville,2017-01-20,1,0.2
3882,Fayetteville,2017-01-27,0,0.0
3883,Fayetteville,2017-02-03,1,0.2
