,basin_name,date,rig_count,size
4165,Granite Wash,2011-02-04,92,18.4
4166,Granite Wash,2011-02-11,91,18.2
4167,Granite Wash,2011-02-18,91,18.2
4168,Granite Wash,2011-02-25,91,18.2
4169,Granite Wash,2011-03-04,88,17.6
4170,Granite Wash,2011-03-11,89,17.8
4171,Granite Wash,2011-03-18,89,17.8
4172,Granite Wash,2011-03-25,88,17.6
4173,Granite Wash,2011-04-01,94,18.8
4174,Granite Wash,2011-04-08,92,18.4
4175,Granite Wash,2011-04-15,96,19.2
4176,Granite Wash,2011-04-22,92,18.4
4177,Granite Wash,2011-04-29,92,18.4
4178,Granite Wash,2011-05-06,93,18.6
4179,Granite Wash,2011-05-13,93,18.6
4180,Granite Wash,2011-05-20,90,18.0
4181,Granite Wash,2011-05-27,89,17.8
4182,Granite Wash,2011-06-03,85,17.0
4183,Granite Wash,2011-06-10,91,18.2
4184,Granite Wash,2011-06-17,90,18.0
4185,Granite Wash,2011-06-24,93,18.6
4186,Granite Wash,2011-07-01,88,17.6
4187,Granite Wash,2011-07-08,92,18.4
4188,Granite Wash,2011-07-15,96,19.2
4189,Granite Wash,2011-07-22,96,19.2
4190,Granite Wash,2011-07-29,96,19.2
4191,Granite Wash,2011-08-05,93,18.6
4192,Granite Wash,2011-08-12,93,18.6
4193,Granite Wash,2011-08-19,95,19.0
4194,Granite Wash,2011-08-26,95,19.0
4195,Granite Wash,2011-09-02,94,18.8
4196,Granite Wash,2011-09-09,96,19.2
4197,Granite Wash,2011-09-16,95,19.0
4198,Granite Wash,2011-09-23,99,19.8
4199,Granite Wash,2011-09-30,90,18.0
4200,Granite Wash,2011-10-07,92,18.4
4201,Granite Wash,2011-10-14,96,19.2
4202,Granite Wash,2011-10-21,96,19.2
4203,Granite Wash,2011-10-28,94,18.8
4204,Granite Wash,2011-11-04,92,18.4
4205,Granite Wash,2011-11-11,96,19.2
4206,Granite Wash,2011-11-18,91,18.2
4207,Granite Wash,2011-11-25,93,18.6
4208,Granite Wash,2011-12-02,87,17.4
4209,Granite Wash,2011-12-09,84,16.8
4210,Granite Wash,2011-12-16,88,17.6
4211,Granite Wash,2011-12-23,85,17.0
4212,Granite Wash,2011-12-30,83,16.6
4213,Granite Wash,2012-01-06,86,17.2
4214,Granite Wash,2012-01-13,84,16.8
4215,Granite Wash,2012-01-20,86,17.2
4216,Granite Wash,2012-01-27,90,18.0
4217,Granite Wash,2012-02-03,89,17.8
4218,Granite Wash,2012-02-10,89,17.8
4219,Granite Wash,2012-02-17,85,17.0
4220,Granite Wash,2012-02-24,86,17.2
4221,Granite Wash,2012-03-02,84,16.8
4222,Granite Wash,2012-03-09,82,16.4
4223,Granite Wash,2012-03-16,86,17.2
4224,Granite Wash,2012-03-23,86,17.2
4225,Granite Wash,2012-03-30,91,18.2
4226,Granite Wash,2012-04-05,93,18.6
4227,Granite Wash,2012-04-13,92,18.4
4228,Granite Wash,2012-04-20,96,19.2
4229,Granite Wash,2012-04-27,91,18.2
4230,Granite Wash,2012-05-04,88,17.6
4231,Granite Wash,2012-05-11,96,19.2
4232,Granite Wash,2012-05-18,96,19.2
4233,Granite Wash,2012-05-25,92,18.4
4234,Granite Wash,2012-06-01,93,18.6
4235,Granite Wash,2012-06-08,88,17.6
4236,Granite Wash,2012-06-15,84,16.8
4237,Granite Wash,2012-06-22,83,16.6
4238,Granite Wash,2012-06-29,82,16.4
4239,Granite Wash,2012-07-06,83,16.6
4240,Granite Wash,2012-07-13,84,16.8
4241,Granite Wash,2012-07-20,86,17.2
4242,Granite Wash,2012-07-27,86,17.2
4243,Granite Wash,2012-08-03,87,17.4
4244,Granite Wash,2012-08-10,84,16.8
4245,Granite Wash,2012-08-17,82,16.4
4246,Granite Wash,2012-08-24,81,16.2
4247,Granite Wash,2012-08-31,77,15.4
4248,Granite Wash,2012-09-07,73,14.6
4249,Granite Wash,2012-09-14,74,14.8
4250,Granite Wash,2012-09-21,74,14.8
4251,Granite Wash,2012-09-28,75,15.0
4252,Granite Wash,2012-10-05,70,14.0
4253,Granite Wash,2012-10-12,68,13.6
4254,Granite Wash,2012-10-19,70,14.0
4255,Granite Wash,2012-10-26,71,14.2
4256,Granite Wash,2012-11-02,73,14.6
4257,Granite Wash,2012-11-09,72,14.4
4258,Granite Wash,2012-11-16,72,14.4
4259,Granite Wash,2012-11-21,72,14.4
4260,Granite Wash,2012-11-30,77,15.4
4261,Granite Wash,2012-12-07,77,15.4
4262,Granite Wash,2012-12-14,71,14.2
4263,Granite Wash,2012-12-21,67,13.4
4264,Granite Wash,2012-12-28,67,13.4
4265,Granite Wash,2013-01-04,66,13.2
4266,Granite Wash,2013-01-11,67,13.4
4267,Granite Wash,2013-01-18,69,13.8
4268,Granite Wash,2013-01-25,67,13.4
4269,Granite Wash,2013-02-01,66,13.2
4270,Granite Wash,2013-02-08,69,13.8
4271,Granite Wash,2013-02-15,72,14.4
4272,Granite Wash,2013-02-22,71,14.2
4273,Granite Wash,2013-03-01,69,13.8
4274,Granite Wash,2013-03-08,71,14.2
4275,Granite Wash,2013-03-15,71,14.2
4276,Granite Wash,2013-03-22,68,13.6
4277,Granite Wash,2013-03-28,66,13.2
4278,Granite Wash,2013-04-05,62,12.4
4279,Granite Wash,2013-04-12,71,14.2
4280,Granite Wash,2013-04-19,70,14.0
4281,Granite Wash,2013-04-26,67,13.4
4282,Granite Wash,2013-05-03,67,13.4
4283,Granite Wash,2013-05-10,69,13.8
4284,Granite Wash,2013-05-17,72,14.4
4285,Granite Wash,2013-05-24,70,14.0
4286,Granite Wash,2013-05-31,72,14.4
4287,Granite Wash,2013-06-07,70,14.0
4288,Granite Wash,2013-06-14,73,14.6
4289,Granite Wash,2013-06-21,72,14.4
4290,Granite Wash,2013-06-28,75,15.0
4291,Granite Wash,2013-07-03,70,14.0
4292,Granite Wash,2013-07-12,68,13.6
4293,Granite Wash,2013-07-19,71,14.2
4294,Granite Wash,2013-07-26,76,15.2
4295,Granite Wash,2013-08-02,75,15.0
4296,Granite Wash,2013-08-09,71,14.2
4297,Granite Wash,2013-08-16,74,14.8
4298,Granite Wash,2013-08-23,72,14.4
4299,Granite Wash,2013-08-30,70,14.0
4300,Granite Wash,2013-09-06,70,14.0
4301,Granite Wash,2013-09-13,68,13.6
4302,Granite Wash,2013-09-20,64,12.8
4303,Granite Wash,2013-09-27,63,12.6
4304,Granite Wash,2013-10-04,65,13.0
4305,Granite Wash,2013-10-11,63,12.6
4306,Granite Wash,2013-10-18,61,12.2
4307,Granite Wash,2013-10-25,57,11.4
4308,Granite Wash,2013-11-01,60,12.0
4309,Granite Wash,2013-11-08,60,12.0
4310,Granite Wash,2013-11-15,61,12.2
4311,Granite Wash,2013-11-22,61,12.2
4312,Granite Wash,2013-11-27,62,12.4
4313,Granite Wash,2013-12-06,62,12.4
4314,Granite Wash,2013-12-13,57,11.4
4315,Granite Wash,2013-12-20,54,10.8
4316,Granite Wash,2013-12-27,53,10.6
4317,Granite Wash,2014-01-03,52,10.4
4318,Granite Wash,2014-01-10,55,11.0
4319,Granite Wash,2014-01-17,56,11.2
4320,Granite Wash,2014-01-24,54,10.8
4321,Granite Wash,2014-01-31,57,11.4
4322,Granite Wash,2014-02-07,54,10.8
4323,Granite Wash,2014-02-14,55,11.0
4324,Granite Wash,2014-02-21,54,10.8
4325,Granite Wash,2014-02-28,51,10.2
4326,Granite Wash,2014-03-07,50,10.0
4327,Granite Wash,2014-03-14,52,10.4
4328,Granite Wash,2014-03-21,54,10.8
4329,Granite Wash,2014-03-28,55,11.0
4330,Granite Wash,2014-04-04,58,11.6
4331,Granite Wash,2014-04-11,61,12.2
4332,Granite Wash,2014-04-17,62,12.4
4333,Granite Wash,2014-04-25,64,12.8
4334,Granite Wash,2014-05-02,61,12.2
4335,Granite Wash,2014-05-09,64,12.8
4336,Granite Wash,2014-05-16,62,12.4
4337,Granite Wash,2014-05-23,63,12.6
4338,Granite Wash,2014-05-30,66,13.2
4339,Granite Wash,2014-06-06,67,13.4
4340,Granite Wash,2014-06-13,70,14.0
4341,Granite Wash,2014-06-20,70,14.0
4342,Granite Wash,2014-06-27,72,14.4
4343,Granite Wash,2014-07-03,70,14.0
4344,Granite Wash,2014-07-11,75,15.0
