,basin_name,date,rig_count,size
7735,Williston,2011-02-04,157,31.4
7736,Williston,2011-02-11,158,31.6
7737,Williston,2011-02-18,158,31.6
7738,Williston,2011-02-25,158,31.6
7739,Williston,2011-03-04,162,32.4
7740,Williston,2011-03-11,162,32.4
7741,Williston,2011-03-18,162,32.4
7742,Williston,2011-03-25,165,33.0
7743,Williston,2011-04-01,169,33.8
7744,Williston,2011-04-08,169,33.8
7745,Williston,2011-04-15,169,33.8
7746,Williston,2011-04-22,170,34.0
7747,Williston,2011-04-29,171,34.2
7748,Williston,2011-05-06,170,34.0
7749,Williston,2011-05-13,171,34.2
7750,Williston,2011-05-20,172,34.4
7751,Williston,2011-05-27,171,34.2
7752,Williston,2011-06-03,170,34.0
7753,Williston,2011-06-10,170,34.0
7754,Williston,2011-06-17,174,34.8
7755,Williston,2011-06-24,174,34.8
7756,Williston,2011-07-01,168,33.6
7757,Williston,2011-07-08,165,33.0
7758,Williston,2011-07-15,166,33.2
7759,Williston,2011-07-22,171,34.2
7760,Williston,2011-07-29,168,33.6
7761,Williston,2011-08-05,171,34.2
7762,Williston,2011-08-12,185,37.0
7763,Williston,2011-08-19,185,37.0
7764,Williston,2011-08-26,186,37.2
7765,Williston,2011-09-02,187,37.4
7766,Williston,2011-09-09,189,37.8
7767,Williston,2011-09-16,191,38.2
7768,Williston,2011-09-23,196,39.2
7769,Williston,2011-09-30,197,39.4
7770,Williston,2011-10-07,200,40.0
7771,Williston,2011-10-14,198,39.6
7772,Williston,2011-10-21,197,39.4
7773,Williston,2011-10-28,198,39.6
7774,Williston,2011-11-04,199,39.8
7775,Williston,2011-11-11,196,39.2
7776,Williston,2011-11-18,196,39.2
7777,Williston,2011-11-25,197,39.4
7778,Williston,2011-12-02,200,40.0
7779,Williston,2011-12-09,198,39.6
7780,Williston,2011-12-16,201,40.2
7781,Williston,2011-12-23,193,38.6
7782,Williston,2011-12-30,194,38.8
7783,Williston,2012-01-06,193,38.6
7784,Williston,2012-01-13,197,39.4
7785,Williston,2012-01-20,205,41.0
7786,Williston,2012-01-27,201,40.2
7787,Williston,2012-02-03,200,40.0
7788,Williston,2012-02-10,202,40.4
7789,Williston,2012-02-17,204,40.8
7790,Williston,2012-02-24,206,41.2
7791,Williston,2012-03-02,212,42.4
7792,Williston,2012-03-09,213,42.6
7793,Williston,2012-03-16,215,43.0
7794,Williston,2012-03-23,214,42.8
7795,Williston,2012-03-30,218,43.6
7796,Williston,2012-04-05,216,43.2
7797,Williston,2012-04-13,214,42.8
7798,Williston,2012-04-20,212,42.4
7799,Williston,2012-04-27,214,42.8
7800,Williston,2012-05-04,215,43.0
7801,Williston,2012-05-11,216,43.2
7802,Williston,2012-05-18,218,43.6
7803,Williston,2012-05-25,223,44.6
7804,Williston,2012-06-01,224,44.8
7805,Williston,2012-06-08,223,44.6
7806,Williston,2012-06-15,220,44.0
7807,Williston,2012-06-22,220,44.0
7808,Williston,2012-06-29,212,42.4
7809,Williston,2012-07-06,215,43.0
7810,Williston,2012-07-13,218,43.6
7811,Williston,2012-07-20,219,43.8
7812,Williston,2012-07-27,214,42.8
7813,Williston,2012-08-03,211,42.2
7814,Williston,2012-08-10,213,42.6
7815,Williston,2012-08-17,208,41.6
7816,Williston,2012-08-24,208,41.6
7817,Williston,2012-08-31,208,41.6
7818,Williston,2012-09-07,206,41.2
7819,Williston,2012-09-14,202,40.4
7820,Williston,2012-09-21,205,41.0
7821,Williston,2012-09-28,205,41.0
7822,Williston,2012-10-05,202,40.4
7823,Williston,2012-10-12,200,40.0
7824,Williston,2012-10-19,202,40.4
7825,Williston,2012-10-26,203,40.6
7826,Williston,2012-11-02,194,38.8
7827,Williston,2012-11-09,194,38.8
7828,Williston,2012-11-16,196,39.2
7829,Williston,2012-11-21,196,39.2
7830,Williston,2012-11-30,196,39.2
7831,Williston,2012-12-07,194,38.8
7832,Williston,2012-12-14,195,39.0
7833,Williston,2012-12-21,196,39.2
7834,Williston,2012-12-28,196,39.2
7835,Williston,2013-01-04,194,38.8
7836,Williston,2013-01-11,193,38.6
7837,Williston,2013-01-18,197,39.4
7838,Williston,2013-01-25,193,38.6
7839,Williston,2013-02-01,192,38.4
7840,Williston,2013-02-08,190,38.0
7841,Williston,2013-02-15,190,38.0
7842,Williston,2013-02-22,187,37.4
7843,Williston,2013-03-01,189,37.8
7844,Williston,2013-03-08,189,37.8
7845,Williston,2013-03-15,190,38.0
