,period,area-name,series-description,value,units
0,2022-04-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),418,MBBL/D
7,2022-04-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
23,2022-04-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),894,MBBL/D
31,2022-04-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1507,MBBL/D
35,2022-04-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),33,MBBL/D
39,2022-04-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),8445,MBBL/D
40,2022-04-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
46,2022-04-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),421,MBBL/D
64,2022-04-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),76,MBBL/D
71,2022-04-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),112,MBBL/D
72,2022-04-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
87,2022-03-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
91,2022-03-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
93,2022-03-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),341,MBBL/D
108,2022-03-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),49,MBBL/D
125,2022-03-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),434,MBBL/D
129,2022-03-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
130,2022-03-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),410,MBBL/D
131,2022-03-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),430,MBBL/D
137,2022-03-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),842,MBBL/D
142,2022-03-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),69,MBBL/D
148,2022-03-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1691,MBBL/D
160,2022-03-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1468,MBBL/D
179,2022-02-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
180,2022-02-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
190,2022-02-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),829,MBBL/D
194,2022-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),114,MBBL/D
199,2022-02-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1074,MBBL/D
203,2022-02-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),95,MBBL/D
212,2022-02-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
220,2022-02-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1401,MBBL/D
231,2022-02-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
239,2022-02-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
249,2022-02-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),450,MBBL/D
255,2022-01-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
272,2022-01-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
292,2022-01-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),408,MBBL/D
302,2022-01-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
311,2022-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
312,2022-01-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
322,2022-01-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4853,MBBL/D
324,2022-01-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),342,MBBL/D
327,2022-01-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
345,2021-12-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
359,2021-12-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1365,MBBL/D
369,2021-12-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
385,2021-12-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
389,2021-12-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),451,MBBL/D
401,2021-12-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
407,2021-12-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4991,MBBL/D
410,2021-12-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
417,2021-12-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),92,MBBL/D
428,2021-11-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),8352,MBBL/D
452,2021-11-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),86,MBBL/D
457,2021-11-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),76,MBBL/D
459,2021-11-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
462,2021-11-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),418,MBBL/D
463,2021-11-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),436,MBBL/D
464,2021-11-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
490,2021-11-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
491,2021-11-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
495,2021-11-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
506,2021-10-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
520,2021-10-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
527,2021-10-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
539,2021-10-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),437,MBBL/D
543,2021-10-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),428,MBBL/D
555,2021-10-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
557,2021-10-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),798,MBBL/D
558,2021-10-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
562,2021-10-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),37,MBBL/D
565,2021-10-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),417,MBBL/D
566,2021-10-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),53,MBBL/D
568,2021-10-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1687,MBBL/D
576,2021-10-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
581,2021-10-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1675,MBBL/D
594,2021-09-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),796,MBBL/D
598,2021-09-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),55,MBBL/D
612,2021-09-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),430,MBBL/D
630,2021-09-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1062,MBBL/D
632,2021-09-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
649,2021-09-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),103,MBBL/D
651,2021-09-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),7521,MBBL/D
658,2021-09-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
659,2021-09-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),398,MBBL/D
660,2021-09-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
664,2021-09-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),789,MBBL/D
668,2021-09-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),77,MBBL/D
672,2021-08-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),385,MBBL/D
673,2021-08-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),400,MBBL/D
677,2021-08-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1378,MBBL/D
678,2021-08-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
694,2021-08-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4865,MBBL/D
701,2021-08-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
715,2021-08-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),778,MBBL/D
725,2021-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1094,MBBL/D
744,2021-08-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),782,MBBL/D
746,2021-08-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
773,2021-07-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
789,2021-07-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
792,2021-07-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),236,MBBL/D
805,2021-07-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1852,MBBL/D
806,2021-07-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
817,2021-07-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),371,MBBL/D
824,2021-07-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1295,MBBL/D
826,2021-07-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),77,MBBL/D
840,2021-06-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
857,2021-06-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
860,2021-06-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
870,2021-06-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),55,MBBL/D
876,2021-06-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1268,MBBL/D
881,2021-06-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),391,MBBL/D
891,2021-06-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
903,2021-06-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4782,MBBL/D
917,2021-06-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),78,MBBL/D
953,2021-05-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
954,2021-05-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
955,2021-05-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
962,2021-05-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
971,2021-05-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4806,MBBL/D
972,2021-05-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
986,2021-05-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),37,MBBL/D
987,2021-05-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
992,2021-05-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),363,MBBL/D
1005,2021-05-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),406,MBBL/D
1009,2021-04-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1010,2021-04-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1174,MBBL/D
1020,2021-04-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
1022,2021-04-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1026,2021-04-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1038,2021-04-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),77,MBBL/D
1042,2021-04-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
1045,2021-04-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
1047,2021-04-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4837,MBBL/D
1051,2021-04-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1053,2021-04-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1061,2021-04-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),822,MBBL/D
1066,2021-04-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1080,2021-04-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),446,MBBL/D
1085,2021-04-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),363,MBBL/D
1087,2021-04-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1037,MBBL/D
1103,2021-03-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1106,2021-03-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),224,MBBL/D
1122,2021-03-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1133,2021-03-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4728,MBBL/D
1136,2021-03-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),7899,MBBL/D
1140,2021-03-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
1147,2021-03-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),364,MBBL/D
1148,2021-03-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1149,2021-03-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),1156,MBBL/D
1150,2021-03-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),830,MBBL/D
1156,2021-03-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
1160,2021-03-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),54,MBBL/D
1163,2021-03-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1165,2021-03-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
1175,2021-03-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),98,MBBL/D
1182,2021-02-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1196,2021-02-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),91,MBBL/D
1215,2021-02-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),729,MBBL/D
1236,2021-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),85,MBBL/D
1237,2021-02-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
1254,2021-02-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1016,MBBL/D
1256,2021-02-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1266,2021-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
1271,2021-01-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1273,2021-01-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),458,MBBL/D
1281,2021-01-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1694,MBBL/D
1296,2021-01-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
1299,2021-01-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
1307,2021-01-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),758,MBBL/D
1309,2021-01-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),98,MBBL/D
1313,2021-01-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1315,2021-01-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1318,2021-01-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1327,2021-01-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4661,MBBL/D
