year,reserves,billion_bbls_res
1980,6.83E+11,682.6209854
1981,6.91E+11,691.141517
1982,7.22E+11,722.2370893
1983,7.34E+11,734.139197
1984,7.46E+11,746.3617371
1985,7.74E+11,774.2558517
1986,8.80E+11,879.58614
1987,9.11E+11,911.1058325
1988,9.99E+11,999.4908629
1989,1.00E+12,1000.174696
1990,1.00E+12,1000.905833
1991,1.07E+12,1072.850142
1992,1.08E+12,1076.857026
1993,1.08E+12,1076.345326
1994,1.09E+12,1090.158087
1995,1.10E+12,1098.704487
1996,1.12E+12,1121.254017
1997,1.15E+12,1149.18301
1998,1.16E+12,1157.627313
1999,1.28E+12,1280.26388
2000,1.30E+12,1300.924076
2001,1.31E+12,1307.203805
2002,1.36E+12,1357.07681
2003,1.36E+12,1358.311872
2004,1.37E+12,1365.268987
2005,1.37E+12,1372.493975
2006,1.38E+12,1383.265696
2007,1.42E+12,1418.325583
2008,1.49E+12,1488.895257
2009,1.53E+12,1530.288788
2010,1.64E+12,1636.886664
2011,1.67E+12,1674.259661
2012,1.68E+12,1683.566726
2013,1.69E+12,1691.894855
2014,1.69E+12,1694.437496
2015,1.68E+12,1683.903018
2016,1.69E+12,1690.28138
2017,1.73E+12,1728.171308
2018,1.74E+12,1736.14402
2019,1.73E+12,1734.810537
2020,1.73E+12,1732.366175
