,Date,oil_price
0,2009-06-29,71.47
1,2009-06-30,69.82
2,2009-07-01,69.32
3,2009-07-02,66.68
4,2009-07-06,64.06
5,2009-07-07,62.88
6,2009-07-08,60.15
7,2009-07-09,60.36
8,2009-07-10,59.93
9,2009-07-13,59.69
10,2009-07-14,59.62
11,2009-07-15,61.49
12,2009-07-16,62.07
13,2009-07-17,63.56
14,2009-07-20,63.93
15,2009-07-21,64.81
16,2009-07-22,64.58
17,2009-07-23,66.1
18,2009-07-24,66.96
19,2009-07-27,68.34
20,2009-07-28,67.24
21,2009-07-29,63.42
22,2009-07-30,66.9
23,2009-07-31,69.26
24,2009-08-03,71.59
25,2009-08-04,71.4
26,2009-08-05,71.97
27,2009-08-06,71.96
28,2009-08-07,70.97
29,2009-08-10,70.59
30,2009-08-11,69.46
31,2009-08-12,70.08
32,2009-08-13,70.57
33,2009-08-14,67.51
34,2009-08-17,66.72
35,2009-08-18,69.22
36,2009-08-19,72.54
37,2009-08-20,72.4
38,2009-08-21,73.12
39,2009-08-24,73.68
40,2009-08-25,71.6
41,2009-08-26,71.38
42,2009-08-27,72.49
43,2009-08-28,72.72
44,2009-08-31,69.97
45,2009-09-01,68.11
46,2009-09-02,68.03
47,2009-09-03,67.9
48,2009-09-04,67.95
49,2009-09-08,71.08
50,2009-09-09,71.27
51,2009-09-10,71.95
52,2009-09-11,69.34
53,2009-09-14,68.86
54,2009-09-15,70.81
55,2009-09-16,72.5
56,2009-09-17,72.48
57,2009-09-18,71.95
58,2009-09-21,69.74
59,2009-09-22,71.5
60,2009-09-23,68.74
61,2009-09-24,65.74
62,2009-09-25,65.91
63,2009-09-28,66.69
64,2009-09-29,66.56
65,2009-09-30,70.46
66,2009-10-01,70.67
67,2009-10-02,69.8
68,2009-10-05,70.26
69,2009-10-06,70.71
70,2009-10-07,69.6
71,2009-10-08,71.69
72,2009-10-09,71.75
73,2009-10-12,73.24
74,2009-10-13,74.1
75,2009-10-14,75.2
76,2009-10-15,77.55
77,2009-10-16,78.54
78,2009-10-19,79.47
79,2009-10-20,78.87
80,2009-10-21,81.03
81,2009-10-22,80.82
82,2009-10-23,80.11
83,2009-10-26,78.61
84,2009-10-27,79.45
85,2009-10-28,77.39
86,2009-10-29,79.84
87,2009-10-30,77.04
88,2009-11-02,78.08
89,2009-11-03,79.58
90,2009-11-04,80.3
91,2009-11-05,79.64
92,2009-11-06,77.4
93,2009-11-09,79.44
94,2009-11-10,79.01
95,2009-11-11,79.16
96,2009-11-12,77.25
97,2009-11-13,76.34
98,2009-11-16,78.91
99,2009-11-17,79.08
100,2009-11-18,79.55
101,2009-11-19,77.47
102,2009-11-20,76.83
103,2009-11-23,76.49
104,2009-11-24,74.88
105,2009-11-25,77.25
106,2009-11-27,75.95
107,2009-11-30,77.19
108,2009-12-01,78.39
109,2009-12-02,76.62
110,2009-12-03,76.42
111,2009-12-04,75.41
112,2009-12-07,73.89
113,2009-12-08,72.59
114,2009-12-09,70.67
115,2009-12-10,70.54
116,2009-12-11,69.86
117,2009-12-14,69.48
118,2009-12-15,70.62
119,2009-12-16,72.64
120,2009-12-17,72.58
121,2009-12-18,73.3
122,2009-12-21,72.71
123,2009-12-22,73.48
124,2009-12-23,76.03
125,2009-12-24,76.83
126,2009-12-28,78.67
127,2009-12-29,78.87
128,2009-12-30,79.35
129,2009-12-31,79.39
130,2010-01-04,81.52
131,2010-01-05,81.74
132,2010-01-06,83.12
133,2010-01-07,82.6
134,2010-01-08,82.74
135,2010-01-11,82.54
136,2010-01-12,80.79
137,2010-01-13,79.66
138,2010-01-14,79.35
139,2010-01-15,77.96
140,2010-01-19,78.98
141,2010-01-20,77.42
142,2010-01-21,75.84
143,2010-01-22,74.25
144,2010-01-25,74.9
145,2010-01-26,74.67
146,2010-01-27,73.64
147,2010-01-28,73.62
148,2010-01-29,72.85
149,2010-02-01,74.41
150,2010-02-02,77.21
151,2010-02-03,76.96
152,2010-02-04,73.13
153,2010-02-05,71.15
154,2010-02-08,71.87
155,2010-02-09,73.71
156,2010-02-10,74.48
157,2010-02-11,75.23
158,2010-02-12,74.11
159,2010-02-16,76.98
160,2010-02-17,77.27
161,2010-02-18,78.97
162,2010-02-19,79.77
163,2010-02-22,80.04
164,2010-02-23,78.61
165,2010-02-24,79.75
166,2010-02-25,77.99
167,2010-02-26,79.72
168,2010-03-01,78.71
169,2010-03-02,79.62
170,2010-03-03,80.91
171,2010-03-04,80.21
172,2010-03-05,81.5
173,2010-03-08,81.85
174,2010-03-09,81.5
175,2010-03-10,82.07
176,2010-03-11,82.1
177,2010-03-12,81.26
178,2010-03-15,79.79
179,2010-03-16,81.75
180,2010-03-17,82.93
181,2010-03-18,82.16
182,2010-03-19,80.58
183,2010-03-22,81.26
184,2010-03-23,81.68
185,2010-03-24,80.29
186,2010-03-25,80.25
187,2010-03-26,79.75
188,2010-03-29,81.92
189,2010-03-30,82.14
190,2010-03-31,83.45
191,2010-04-01,84.53
192,2010-04-05,86.36
193,2010-04-06,86.54
194,2010-04-07,85.64
195,2010-04-08,85.17
196,2010-04-09,84.6
197,2010-04-12,84.07
198,2010-04-13,83.8
199,2010-04-14,85.62
200,2010-04-15,85.25
201,2010-04-16,82.97
202,2010-04-19,81.52
203,2010-04-20,82.98
204,2010-04-21,82.78
205,2010-04-22,82.89
206,2010-04-23,84.34
207,2010-04-26,84.2
208,2010-04-27,82.43
209,2010-04-28,83.22
210,2010-04-29,85.17
211,2010-04-30,86.07
212,2010-05-03,86.19
213,2010-05-04,82.73
214,2010-05-05,80.0
215,2010-05-06,77.18
216,2010-05-07,75.1
217,2010-05-10,76.89
218,2010-05-11,76.37
219,2010-05-12,75.65
220,2010-05-13,74.38
221,2010-05-14,71.61
222,2010-05-17,70.08
223,2010-05-18,69.38
224,2010-05-19,69.91
225,2010-05-20,68.28
226,2010-05-21,68.03
227,2010-05-24,68.23
228,2010-05-25,64.78
229,2010-05-26,71.52
230,2010-05-27,74.56
231,2010-05-28,74.0
232,2010-06-01,72.7
233,2010-06-02,72.88
234,2010-06-03,74.62
235,2010-06-04,71.43
236,2010-06-07,71.55
237,2010-06-08,71.88
238,2010-06-09,74.38
239,2010-06-10,75.48
240,2010-06-11,73.89
241,2010-06-14,74.99
242,2010-06-15,76.84
243,2010-06-16,77.67
244,2010-06-17,76.82
245,2010-06-18,77.18
246,2010-06-21,77.84
247,2010-06-22,77.15
248,2010-06-23,75.9
249,2010-06-24,75.96
250,2010-06-25,78.45
251,2010-06-28,78.26
252,2010-06-29,75.93
253,2010-06-30,75.59
254,2010-07-01,72.95
255,2010-07-02,72.06
256,2010-07-06,71.96
257,2010-07-07,74.05
258,2010-07-08,75.46
259,2010-07-09,76.08
260,2010-07-12,74.93
261,2010-07-13,77.16
262,2010-07-14,77.02
263,2010-07-15,76.67
264,2010-07-16,75.96
265,2010-07-19,76.53
266,2010-07-20,77.32
267,2010-07-21,76.27
268,2010-07-22,79.01
269,2010-07-23,78.68
270,2010-07-26,78.93
271,2010-07-27,77.46
272,2010-07-28,77.06
273,2010-07-29,78.3
274,2010-07-30,78.85
275,2010-08-02,81.25
276,2010-08-03,82.52
277,2010-08-04,82.49
278,2010-08-05,82.0
279,2010-08-06,80.67
