,basins,period,value,size
39,GOM&AK,2022-04-01,8445,84.45
91,GOM&AK,2022-03-01,7,0.07
131,GOM&AK,2022-03-01,430,4.3
142,GOM&AK,2022-03-01,69,0.69
148,GOM&AK,2022-03-01,1691,16.91
249,GOM&AK,2022-02-01,450,4.5
389,GOM&AK,2021-12-01,451,4.51
401,GOM&AK,2021-12-01,4,0.04
428,GOM&AK,2021-11-01,8352,83.52
463,GOM&AK,2021-11-01,436,4.36
506,GOM&AK,2021-10-01,7,0.07
539,GOM&AK,2021-10-01,437,4.37
543,GOM&AK,2021-10-01,428,4.28
557,GOM&AK,2021-10-01,798,7.98
558,GOM&AK,2021-10-01,4,0.04
568,GOM&AK,2021-10-01,1687,16.87
594,GOM&AK,2021-09-01,796,7.96
612,GOM&AK,2021-09-01,430,4.3
630,GOM&AK,2021-09-01,1062,10.62
651,GOM&AK,2021-09-01,7521,75.21
673,GOM&AK,2021-08-01,400,4.0
678,GOM&AK,2021-08-01,4,0.04
715,GOM&AK,2021-08-01,778,7.78
805,GOM&AK,2021-07-01,1852,18.52
817,GOM&AK,2021-07-01,371,3.71
954,GOM&AK,2021-05-01,4,0.04
1042,GOM&AK,2021-04-01,83,0.83
1053,GOM&AK,2021-04-01,4,0.04
1061,GOM&AK,2021-04-01,822,8.22
1080,GOM&AK,2021-04-01,446,4.46
1136,GOM&AK,2021-03-01,7899,78.99
1140,GOM&AK,2021-03-01,11,0.11
1150,GOM&AK,2021-03-01,830,8.3
1165,GOM&AK,2021-03-01,12,0.12
1271,GOM&AK,2021-01-01,5,0.05
1273,GOM&AK,2021-01-01,458,4.58
1390,GOM&AK,2020-12-01,76,0.76
1407,GOM&AK,2020-12-01,1778,17.78
1412,GOM&AK,2020-12-01,4,0.04
1429,GOM&AK,2020-11-01,453,4.53
1464,GOM&AK,2020-11-01,75,0.75
1593,GOM&AK,2020-10-01,78,0.78
1598,GOM&AK,2020-09-01,12,0.12
1700,GOM&AK,2020-08-01,1164,11.64
1713,GOM&AK,2020-08-01,7010,70.1
1758,GOM&AK,2020-08-01,4,0.04
1802,GOM&AK,2020-07-01,444,4.44
1809,GOM&AK,2020-07-01,7509,75.09
1858,GOM&AK,2020-06-01,12,0.12
1880,GOM&AK,2020-06-01,7247,72.47
1914,GOM&AK,2020-06-01,3,0.03
1937,GOM&AK,2020-05-01,1,0.01
1946,GOM&AK,2020-05-01,13,0.13
1989,GOM&AK,2020-05-01,814,8.14
2029,GOM&AK,2020-04-01,4,0.04
2039,GOM&AK,2020-04-01,890,8.9
2052,GOM&AK,2020-04-01,13,0.13
2096,GOM&AK,2020-04-01,8206,82.06
2106,GOM&AK,2020-03-01,470,4.7
2116,GOM&AK,2020-03-01,71,0.71
2164,GOM&AK,2020-03-01,8708,87.08
2172,GOM&AK,2020-03-01,456,4.56
2185,GOM&AK,2020-02-01,463,4.63
2259,GOM&AK,2020-02-01,13,0.13
2312,GOM&AK,2020-01-01,468,4.68
2346,GOM&AK,2020-01-01,80,0.8
2387,GOM&AK,2019-12-01,467,4.67
2465,GOM&AK,2019-11-01,470,4.7
2524,GOM&AK,2019-10-01,85,0.85
2578,GOM&AK,2019-10-01,8404,84.04
2583,GOM&AK,2019-10-01,461,4.61
2609,GOM&AK,2019-09-01,80,0.8
2619,GOM&AK,2019-09-01,5,0.05
2633,GOM&AK,2019-09-01,13,0.13
2773,GOM&AK,2019-07-01,1531,15.31
2779,GOM&AK,2019-07-01,73,0.73
2795,GOM&AK,2019-07-01,14,0.14
2835,GOM&AK,2019-07-01,434,4.34
2872,GOM&AK,2019-06-01,441,4.41
2943,GOM&AK,2019-05-01,13,0.13
2986,GOM&AK,2019-05-01,1914,19.14
3005,GOM&AK,2019-05-01,14,0.14
3016,GOM&AK,2019-05-01,65,0.65
3035,GOM&AK,2019-04-01,7995,79.95
3039,GOM&AK,2019-04-01,460,4.6
3117,GOM&AK,2019-03-01,57,0.57
3226,GOM&AK,2019-02-01,5,0.05
3250,GOM&AK,2019-02-01,941,9.41
3266,GOM&AK,2019-02-01,61,0.61
