,basins,period,value,size
7,Marcellus,2022-04-01,47,0.47
87,Marcellus,2022-03-01,16,0.16
108,Marcellus,2022-03-01,49,0.49
345,Marcellus,2021-12-01,11,0.11
527,Marcellus,2021-10-01,8,0.08
598,Marcellus,2021-09-01,55,0.55
857,Marcellus,2021-06-01,17,0.17
860,Marcellus,2021-06-01,0,0.0
870,Marcellus,2021-06-01,55,0.55
1009,Marcellus,2021-04-01,20,0.2
1026,Marcellus,2021-04-01,19,0.19
1066,Marcellus,2021-04-01,0,0.0
1160,Marcellus,2021-03-01,54,0.54
1256,Marcellus,2021-02-01,19,0.19
1318,Marcellus,2021-01-01,0,0.0
1347,Marcellus,2020-12-01,20,0.2
1425,Marcellus,2020-12-01,9,0.09
1450,Marcellus,2020-11-01,19,0.19
1497,Marcellus,2020-11-01,0,0.0
1508,Marcellus,2020-11-01,14,0.14
1565,Marcellus,2020-10-01,15,0.15
1603,Marcellus,2020-09-01,58,0.58
1779,Marcellus,2020-07-01,21,0.21
1799,Marcellus,2020-07-01,5,0.05
1815,Marcellus,2020-07-01,0,0.0
1884,Marcellus,2020-06-01,0,0.0
1935,Marcellus,2020-05-01,11,0.11
1949,Marcellus,2020-05-01,44,0.44
2042,Marcellus,2020-04-01,15,0.15
2141,Marcellus,2020-03-01,3,0.03
2147,Marcellus,2020-03-01,50,0.5
2190,Marcellus,2020-02-01,12,0.12
2288,Marcellus,2020-01-01,56,0.56
2289,Marcellus,2020-01-01,17,0.17
2377,Marcellus,2019-12-01,14,0.14
2389,Marcellus,2019-12-01,53,0.53
2458,Marcellus,2019-11-01,23,0.23
2463,Marcellus,2019-11-01,0,0.0
2580,Marcellus,2019-10-01,0,0.0
2627,Marcellus,2019-09-01,19,0.19
2634,Marcellus,2019-09-01,23,0.23
2686,Marcellus,2019-09-01,55,0.55
2709,Marcellus,2019-08-01,6,0.06
2730,Marcellus,2019-08-01,18,0.18
2793,Marcellus,2019-07-01,51,0.51
2812,Marcellus,2019-07-01,0,0.0
2894,Marcellus,2019-06-01,20,0.2
2927,Marcellus,2019-06-01,0,0.0
2998,Marcellus,2019-05-01,7,0.07
3026,Marcellus,2019-04-01,23,0.23
3037,Marcellus,2019-04-01,0,0.0
3060,Marcellus,2019-04-01,20,0.2
3267,Marcellus,2019-02-01,5,0.05
3294,Marcellus,2019-01-01,42,0.42
3358,Marcellus,2019-01-01,0,0.0
3398,Marcellus,2018-12-01,0,0.0
3535,Marcellus,2018-10-01,19,0.19
3855,Marcellus,2018-07-01,0,0.0
3967,Marcellus,2018-05-01,19,0.19
4234,Marcellus,2018-02-01,29,0.29
4414,Marcellus,2017-12-01,23,0.23
4508,Marcellus,2017-11-01,24,0.24
4533,Marcellus,2017-11-01,8,0.08
4551,Marcellus,2017-10-01,22,0.22
4653,Marcellus,2017-09-01,7,0.07
4779,Marcellus,2017-08-01,25,0.25
4786,Marcellus,2017-08-01,11,0.11
4814,Marcellus,2017-07-01,24,0.24
4871,Marcellus,2017-07-01,20,0.2
4945,Marcellus,2017-06-01,23,0.23
46,Marcellus,2017-05-01,0,0.0
93,Marcellus,2017-04-01,16,0.16
255,Marcellus,2017-02-01,24,0.24
272,Marcellus,2017-02-01,0,0.0
389,Marcellus,2017-01-01,22,0.22
417,Marcellus,2017-01-01,0,0.0
428,Marcellus,2016-12-01,12,0.12
463,Marcellus,2016-12-01,16,0.16
594,Marcellus,2016-10-01,16,0.16
694,Marcellus,2016-09-01,20,0.2
773,Marcellus,2016-08-01,0,0.0
806,Marcellus,2016-08-01,16,0.16
876,Marcellus,2016-07-01,9,0.09
1026,Marcellus,2016-05-01,18,0.18
1085,Marcellus,2016-05-01,21,0.21
1103,Marcellus,2016-04-01,0,0.0
1254,Marcellus,2016-03-01,20,0.2
1266,Marcellus,2016-02-01,18,0.18
1273,Marcellus,2016-02-01,24,0.24
1299,Marcellus,2016-02-01,22,0.22
1390,Marcellus,2016-01-01,22,0.22
1407,Marcellus,2016-01-01,0,0.0
1450,Marcellus,2015-12-01,12,0.12
1485,Marcellus,2015-12-01,27,0.27
1508,Marcellus,2015-12-01,0,0.0
1565,Marcellus,2015-11-01,2,0.02
1603,Marcellus,2015-10-01,10,0.1
1671,Marcellus,2015-10-01,27,0.27
1703,Marcellus,2015-09-01,8,0.08
1711,Marcellus,2015-09-01,19,0.19
1859,Marcellus,2015-07-01,26,0.26
1879,Marcellus,2015-07-01,9,0.09
2024,Marcellus,2015-05-01,13,0.13
2069,Marcellus,2015-05-01,26,0.26
2138,Marcellus,2015-04-01,0,0.0
2164,Marcellus,2015-04-01,20,0.2
2178,Marcellus,2015-04-01,35,0.35
2185,Marcellus,2015-03-01,24,0.24
2266,Marcellus,2015-03-01,4,0.04
2289,Marcellus,2015-02-01,0,0.0
2346,Marcellus,2015-02-01,32,0.32
2417,Marcellus,2015-01-01,18,0.18
2420,Marcellus,2015-01-01,9,0.09
2465,Marcellus,2014-12-01,19,0.19
2578,Marcellus,2014-11-01,0,0.0
2629,Marcellus,2014-10-01,8,0.08
2694,Marcellus,2014-09-01,8,0.08
2788,Marcellus,2014-08-01,7,0.07
2793,Marcellus,2014-08-01,27,0.27
3016,Marcellus,2014-06-01,18,0.18
3039,Marcellus,2014-05-01,24,0.24
3265,Marcellus,2014-03-01,0,0.0
3289,Marcellus,2014-02-01,23,0.23
3385,Marcellus,2014-01-01,18,0.18
3434,Marcellus,2014-01-01,23,0.23
3494,Marcellus,2013-12-01,26,0.26
3599,Marcellus,2013-11-01,16,0.16
3749,Marcellus,2013-09-01,26,0.26
3830,Marcellus,2013-08-01,27,0.27
3841,Marcellus,2013-08-01,16,0.16
3870,Marcellus,2013-07-01,0,0.0
3896,Marcellus,2013-07-01,25,0.25
3943,Marcellus,2013-07-01,16,0.16
3998,Marcellus,2013-06-01,13,0.13
4057,Marcellus,2013-05-01,19,0.19
4152,Marcellus,2013-04-01,15,0.15
4185,Marcellus,2013-04-01,6,0.06
4266,Marcellus,2013-03-01,15,0.15
4275,Marcellus,2013-03-01,26,0.26
4347,Marcellus,2013-02-01,13,0.13
4372,Marcellus,2013-01-01,0,0.0
4391,Marcellus,2013-01-01,13,0.13
4392,Marcellus,2013-01-01,6,0.06
4514,Marcellus,2012-12-01,0,0.0
4590,Marcellus,2012-11-01,27,0.27
4594,Marcellus,2012-11-01,0,0.0
4631,Marcellus,2012-10-01,7,0.07
4774,Marcellus,2012-09-01,0,0.0
4792,Marcellus,2012-08-01,13,0.13
4877,Marcellus,2012-07-01,13,0.13
4945,Marcellus,2012-07-01,0,0.0
93,Marcellus,2012-05-01,11,0.11
327,Marcellus,2012-03-01,27,0.27
369,Marcellus,2012-02-01,22,0.22
389,Marcellus,2012-02-01,11,0.11
459,Marcellus,2012-01-01,0,0.0
462,Marcellus,2012-01-01,11,0.11
490,Marcellus,2012-01-01,26,0.26
565,Marcellus,2011-12-01,9,0.09
581,Marcellus,2011-12-01,6,0.06
649,Marcellus,2011-11-01,6,0.06
660,Marcellus,2011-11-01,0,0.0
792,Marcellus,2011-09-01,0,0.0
917,Marcellus,2011-08-01,0,0.0
971,Marcellus,2011-07-01,9,0.09
1010,Marcellus,2011-06-01,10,0.1
1022,Marcellus,2011-06-01,25,0.25
1045,Marcellus,2011-06-01,0,0.0
1047,Marcellus,2011-06-01,6,0.06
1136,Marcellus,2011-05-01,23,0.23
1156,Marcellus,2011-05-01,6,0.06
1182,Marcellus,2011-04-01,10,0.1
1254,Marcellus,2011-04-01,6,0.06
1266,Marcellus,2011-03-01,0,0.0
1281,Marcellus,2011-03-01,7,0.07
1309,Marcellus,2011-03-01,10,0.1
1342,Marcellus,2011-03-01,26,0.26
1349,Marcellus,2011-02-01,0,0.0
1355,Marcellus,2011-02-01,5,0.05
1390,Marcellus,2011-02-01,10,0.1
1446,Marcellus,2011-01-01,5,0.05
1450,Marcellus,2011-01-01,23,0.23
1659,Marcellus,2010-11-01,0,0.0
1879,Marcellus,2010-08-01,24,0.24
