,basins,period,value,size
64,Mississippian,2022-04-01,76,0.76
457,Mississippian,2021-11-01,76,0.76
668,Mississippian,2021-09-01,77,0.77
826,Mississippian,2021-07-01,77,0.77
917,Mississippian,2021-06-01,78,0.78
1038,Mississippian,2021-04-01,77,0.77
1356,Mississippian,2020-12-01,77,0.77
1703,Mississippian,2020-08-01,83,0.83
1892,Mississippian,2020-06-01,84,0.84
1990,Mississippian,2020-05-01,48,0.48
2287,Mississippian,2020-01-01,88,0.88
2355,Mississippian,2019-12-01,90,0.9
2468,Mississippian,2019-11-01,87,0.87
2788,Mississippian,2019-07-01,94,0.94
2883,Mississippian,2019-06-01,97,0.97
3091,Mississippian,2019-04-01,94,0.94
3263,Mississippian,2019-02-01,89,0.89
3468,Mississippian,2018-11-01,92,0.92
3870,Mississippian,2018-06-01,98,0.98
4441,Mississippian,2017-12-01,92,0.92
4877,Mississippian,2017-06-01,101,1.01
881,Mississippian,2016-07-01,101,1.01
1318,Mississippian,2016-02-01,110,1.1
1746,Mississippian,2015-09-01,120,1.2
2149,Mississippian,2015-04-01,127,1.27
2287,Mississippian,2015-02-01,134,1.34
2363,Mississippian,2015-01-01,134,1.34
2475,Mississippian,2014-12-01,136,1.36
2634,Mississippian,2014-10-01,143,1.43
2709,Mississippian,2014-09-01,140,1.4
3381,Mississippian,2014-01-01,138,1.38
3557,Mississippian,2013-11-01,128,1.28
3779,Mississippian,2013-09-01,128,1.28
4232,Mississippian,2013-03-01,132,1.32
72,Mississippian,2012-06-01,119,1.19
1080,Mississippian,2011-06-01,116,1.16
1711,Mississippian,2010-10-01,110,1.1
2097,Mississippian,2010-06-01,115,1.15
2720,Mississippian,2009-10-01,105,1.05
2927,Mississippian,2009-08-01,106,1.06
4196,Mississippian,2008-05-01,105,1.05
4249,Mississippian,2008-04-01,108,1.08
4547,Mississippian,2007-12-01,91,0.91
4957,Mississippian,2007-07-01,102,1.02
