,basins,period,value,size
31,Permian_NM,2022-04-01,1507,15.07
160,Permian_NM,2022-03-01,1468,14.68
220,Permian_NM,2022-02-01,1401,14.01
359,Permian_NM,2021-12-01,1365,13.65
677,Permian_NM,2021-08-01,1378,13.78
824,Permian_NM,2021-07-01,1295,12.95
876,Permian_NM,2021-06-01,1268,12.68
1010,Permian_NM,2021-04-01,1174,11.74
1149,Permian_NM,2021-03-01,1156,11.56
1864,Permian_NM,2020-06-01,942,9.42
3223,Permian_NM,2019-02-01,827,8.27
3333,Permian_NM,2019-01-01,809,8.09
3763,Permian_NM,2018-08-01,712,7.12
4086,Permian_NM,2018-04-01,644,6.44
4185,Permian_NM,2018-03-01,615,6.15
87,Permian_NM,2017-04-01,445,4.45
302,Permian_NM,2017-02-01,442,4.42
1047,Permian_NM,2016-05-01,393,3.93
1437,Permian_NM,2015-12-01,359,3.59
2339,Permian_NM,2015-02-01,394,3.94
2633,Permian_NM,2014-10-01,371,3.71
4821,Permian_NM,2012-08-01,236,2.36
194,Permian_NM,2012-04-01,223,2.23
539,Permian_NM,2011-12-01,208,2.08
701,Permian_NM,2011-10-01,201,2.01
1053,Permian_NM,2011-06-01,193,1.93
1150,Permian_NM,2011-05-01,193,1.93
1318,Permian_NM,2011-03-01,194,1.94
1528,Permian_NM,2010-12-01,188,1.88
2366,Permian_NM,2010-02-01,179,1.79
2687,Permian_NM,2009-11-01,173,1.73
3117,Permian_NM,2009-05-01,167,1.67
3660,Permian_NM,2008-11-01,171,1.71
4090,Permian_NM,2008-06-01,161,1.61
4414,Permian_NM,2008-02-01,166,1.66
4461,Permian_NM,2008-01-01,163,1.63
4999,Permian_NM,2007-07-01,158,1.58
