,basins,period,value,size
23,Williston,2022-04-01,894,8.94
199,Williston,2022-02-01,1074,10.74
311,Williston,2022-01-01,3,0.03
566,Williston,2021-10-01,53,0.53
658,Williston,2021-09-01,3,0.03
725,Williston,2021-08-01,1094,10.94
746,Williston,2021-08-01,50,0.5
891,Williston,2021-06-01,47,0.47
987,Williston,2021-05-01,3,0.03
1045,Williston,2021-04-01,3,0.03
1087,Williston,2021-04-01,1037,10.37
1254,Williston,2021-02-01,1016,10.16
1266,Williston,2021-01-01,3,0.03
1373,Williston,2020-12-01,48,0.48
1452,Williston,2020-11-01,1227,12.27
1632,Williston,2020-09-01,51,0.51
1773,Williston,2020-07-01,3,0.03
1859,Williston,2020-06-01,46,0.46
2034,Williston,2020-04-01,3,0.03
2073,Williston,2020-04-01,52,0.52
2097,Williston,2020-04-01,1209,12.09
2149,Williston,2020-03-01,62,0.62
2240,Williston,2020-02-01,1437,14.37
2245,Williston,2020-02-01,60,0.6
2279,Williston,2020-01-01,3,0.03
2385,Williston,2019-12-01,3,0.03
2532,Williston,2019-10-01,1498,14.98
2660,Williston,2019-09-01,60,0.6
2694,Williston,2019-08-01,1462,14.62
2843,Williston,2019-07-01,3,0.03
3000,Williston,2019-05-01,67,0.67
3134,Williston,2019-03-01,61,0.61
3289,Williston,2019-01-01,3,0.03
3436,Williston,2018-12-01,1386,13.86
3660,Williston,2018-09-01,62,0.62
3707,Williston,2018-08-01,62,0.62
3749,Williston,2018-08-01,3,0.03
4152,Williston,2018-03-01,1147,11.47
4340,Williston,2018-01-01,55,0.55
4353,Williston,2018-01-01,1163,11.63
4500,Williston,2017-11-01,4,0.04
4514,Williston,2017-11-01,55,0.55
4543,Williston,2017-10-01,55,0.55
4594,Williston,2017-10-01,4,0.04
4637,Williston,2017-09-01,1094,10.94
4820,Williston,2017-07-01,4,0.04
4903,Williston,2017-06-01,1023,10.23
7,Williston,2017-05-01,3,0.03
137,Williston,2017-04-01,1040,10.4
179,Williston,2017-03-01,4,0.04
190,Williston,2017-03-01,58,0.58
491,Williston,2016-12-01,3,0.03
543,Williston,2016-11-01,61,0.61
632,Williston,2016-10-01,61,0.61
701,Williston,2016-09-01,4,0.04
824,Williston,2016-08-01,976,9.76
953,Williston,2016-06-01,64,0.64
992,Williston,2016-06-01,4,0.04
1020,Williston,2016-05-01,64,0.64
1051,Williston,2016-05-01,1040,10.4
1133,Williston,2016-04-01,65,0.65
1165,Williston,2016-04-01,4,0.04
1327,Williston,2016-02-01,68,0.68
1347,Williston,2016-01-01,1114,11.14
1365,Williston,2016-01-01,69,0.69
1497,Williston,2015-12-01,4,0.04
1554,Williston,2015-11-01,72,0.72
1700,Williston,2015-09-01,1155,11.55
1880,Williston,2015-07-01,4,0.04
1937,Williston,2015-06-01,4,0.04
2183,Williston,2015-04-01,82,0.82
2366,Williston,2015-01-01,5,0.05
2846,Williston,2014-08-01,1127,11.27
2888,Williston,2014-07-01,1109,11.09
2964,Williston,2014-06-01,1086,10.86
2998,Williston,2014-06-01,81,0.81
3049,Williston,2014-05-01,5,0.05
3209,Williston,2014-03-01,971,9.71
3212,Williston,2014-03-01,79,0.79
3294,Williston,2014-02-01,5,0.05
3316,Williston,2014-02-01,80,0.8
3477,Williston,2013-12-01,77,0.77
3628,Williston,2013-10-01,80,0.8
3875,Williston,2013-07-01,869,8.69
3969,Williston,2013-06-01,5,0.05
4027,Williston,2013-06-01,821,8.21
4069,Williston,2013-05-01,5,0.05
4249,Williston,2013-03-01,80,0.8
4353,Williston,2013-02-01,78,0.78
4508,Williston,2012-12-01,78,0.78
4598,Williston,2012-11-01,78,0.78
4714,Williston,2012-09-01,5,0.05
4786,Williston,2012-09-01,75,0.75
64,Williston,2012-06-01,5,0.05
130,Williston,2012-05-01,71,0.71
428,Williston,2012-01-01,546,5.46
527,Williston,2011-12-01,5,0.05
658,Williston,2011-11-01,5,0.05
664,Williston,2011-11-01,509,5.09
1009,Williston,2011-06-01,65,0.65
1106,Williston,2011-05-01,65,0.65
1160,Williston,2011-05-01,362,3.62
1412,Williston,2011-02-01,67,0.67
1453,Williston,2011-01-01,66,0.66
1478,Williston,2011-01-01,4,0.04
1606,Williston,2010-11-01,70,0.7
1703,Williston,2010-10-01,5,0.05
1779,Williston,2010-09-01,71,0.71
1864,Williston,2010-08-01,328,3.28
1914,Williston,2010-08-01,5,0.05
2052,Williston,2010-06-01,4,0.04
2096,Williston,2010-06-01,313,3.13
2163,Williston,2010-05-01,4,0.04
2172,Williston,2010-05-01,69,0.69
2319,Williston,2010-03-01,276,2.76
2596,Williston,2009-12-01,242,2.42
2706,Williston,2009-10-01,5,0.05
2715,Williston,2009-10-01,72,0.72
2910,Williston,2009-08-01,232,2.32
2998,Williston,2009-07-01,228,2.28
3037,Williston,2009-06-01,77,0.77
3263,Williston,2009-04-01,5,0.05
3358,Williston,2009-03-01,195,1.95
3598,Williston,2008-12-01,83,0.83
3745,Williston,2008-10-01,86,0.86
3751,Williston,2008-10-01,203,2.03
3969,Williston,2008-07-01,5,0.05
4035,Williston,2008-06-01,86,0.86
4363,Williston,2008-03-01,143,1.43
4590,Williston,2007-12-01,5,0.05
4812,Williston,2007-09-01,94,0.94
4856,Williston,2007-09-01,126,1.26
4923,Williston,2007-08-01,95,0.95
4952,Williston,2007-08-01,124,1.24
4985,Williston,2007-07-01,5,0.05
