,basins,period,value,size
93,CALIFORNIA,2022-03-01,341,3.41
324,CALIFORNIA,2022-01-01,342,3.42
992,CALIFORNIA,2021-05-01,363,3.63
1085,CALIFORNIA,2021-04-01,363,3.63
1147,CALIFORNIA,2021-03-01,364,3.64
1711,CALIFORNIA,2020-08-01,380,3.8
2020,CALIFORNIA,2020-04-01,413,4.13
2284,CALIFORNIA,2020-01-01,396,3.96
2505,CALIFORNIA,2019-11-01,420,4.2
2893,CALIFORNIA,2019-06-01,438,4.38
2970,CALIFORNIA,2019-05-01,435,4.35
3552,CALIFORNIA,2018-10-01,416,4.16
3974,CALIFORNIA,2018-05-01,425,4.25
4482,CALIFORNIA,2017-11-01,470,4.7
4745,CALIFORNIA,2017-08-01,470,4.7
108,CALIFORNIA,2017-04-01,480,4.8
457,CALIFORNIA,2016-12-01,480,4.8
917,CALIFORNIA,2016-07-01,506,5.06
986,CALIFORNIA,2016-06-01,484,4.84
1147,CALIFORNIA,2016-04-01,517,5.17
1296,CALIFORNIA,2016-02-01,530,5.3
1582,CALIFORNIA,2015-11-01,545,5.45
1809,CALIFORNIA,2015-08-01,547,5.47
1858,CALIFORNIA,2015-07-01,544,5.44
2609,CALIFORNIA,2014-10-01,568,5.68
2720,CALIFORNIA,2014-09-01,568,5.68
2843,CALIFORNIA,2014-08-01,567,5.67
2893,CALIFORNIA,2014-07-01,559,5.59
3226,CALIFORNIA,2014-03-01,552,5.52
3411,CALIFORNIA,2014-01-01,553,5.53
3829,CALIFORNIA,2013-08-01,548,5.48
4090,CALIFORNIA,2013-05-01,548,5.48
4230,CALIFORNIA,2013-03-01,545,5.45
4400,CALIFORNIA,2013-01-01,534,5.34
137,CALIFORNIA,2012-05-01,539,5.39
840,CALIFORNIA,2011-08-01,535,5.35
1363,CALIFORNIA,2011-02-01,540,5.4
2069,CALIFORNIA,2010-06-01,551,5.51
2116,CALIFORNIA,2010-05-01,554,5.54
2730,CALIFORNIA,2009-10-01,560,5.6
3001,CALIFORNIA,2009-07-01,566,5.66
3946,CALIFORNIA,2008-08-01,588,5.88
