,basin_name,date,rig_count
0,Ardmore Woodford,2011-02-04,3
1,Ardmore Woodford,2011-02-11,4
2,Ardmore Woodford,2011-02-18,4
3,Ardmore Woodford,2011-02-25,4
4,Ardmore Woodford,2011-03-04,8
5,Ardmore Woodford,2011-03-11,6
6,Ardmore Woodford,2011-03-18,5
7,Ardmore Woodford,2011-03-25,5
8,Ardmore Woodford,2011-04-01,4
9,Ardmore Woodford,2011-04-08,6
10,Ardmore Woodford,2011-04-15,9
11,Ardmore Woodford,2011-04-22,9
12,Ardmore Woodford,2011-04-29,10
13,Ardmore Woodford,2011-05-06,10
14,Ardmore Woodford,2011-05-13,8
15,Ardmore Woodford,2011-05-20,8
16,Ardmore Woodford,2011-05-27,8
17,Ardmore Woodford,2011-06-03,8
18,Ardmore Woodford,2011-06-10,9
19,Ardmore Woodford,2011-06-17,9
20,Ardmore Woodford,2011-06-24,9
21,Ardmore Woodford,2011-07-01,9
22,Ardmore Woodford,2011-07-08,9
23,Ardmore Woodford,2011-07-15,10
24,Ardmore Woodford,2011-07-22,10
25,Ardmore Woodford,2011-07-29,9
26,Ardmore Woodford,2011-08-05,10
27,Ardmore Woodford,2011-08-12,10
28,Ardmore Woodford,2011-08-19,10
29,Ardmore Woodford,2011-08-26,9
30,Ardmore Woodford,2011-09-02,10
31,Ardmore Woodford,2011-09-09,11
32,Ardmore Woodford,2011-09-16,10
33,Ardmore Woodford,2011-09-23,11
34,Ardmore Woodford,2011-09-30,11
35,Ardmore Woodford,2011-10-07,12
36,Ardmore Woodford,2011-10-14,10
37,Ardmore Woodford,2011-10-21,10
38,Ardmore Woodford,2011-10-28,11
39,Ardmore Woodford,2011-11-04,10
40,Ardmore Woodford,2011-11-11,12
41,Ardmore Woodford,2011-11-18,8
42,Ardmore Woodford,2011-11-25,11
43,Ardmore Woodford,2011-12-02,12
44,Ardmore Woodford,2011-12-09,12
45,Ardmore Woodford,2011-12-16,10
46,Ardmore Woodford,2011-12-23,9
47,Ardmore Woodford,2011-12-30,9
48,Ardmore Woodford,2012-01-06,9
49,Ardmore Woodford,2012-01-13,8
50,Ardmore Woodford,2012-01-20,9
51,Ardmore Woodford,2012-01-27,9
52,Ardmore Woodford,2012-02-03,9
53,Ardmore Woodford,2012-02-10,8
54,Ardmore Woodford,2012-02-17,7
55,Ardmore Woodford,2012-02-24,7
