,basin_name,date,rig_count
595,Arkoma Woodford,2011-02-04,19
596,Arkoma Woodford,2011-02-11,19
597,Arkoma Woodford,2011-02-18,19
598,Arkoma Woodford,2011-02-25,19
599,Arkoma Woodford,2011-03-04,17
600,Arkoma Woodford,2011-03-11,19
601,Arkoma Woodford,2011-03-18,19
602,Arkoma Woodford,2011-03-25,19
603,Arkoma Woodford,2011-04-01,19
604,Arkoma Woodford,2011-04-08,17
605,Arkoma Woodford,2011-04-15,17
606,Arkoma Woodford,2011-04-22,17
607,Arkoma Woodford,2011-04-29,17
608,Arkoma Woodford,2011-05-06,17
609,Arkoma Woodford,2011-05-13,18
610,Arkoma Woodford,2011-05-20,18
611,Arkoma Woodford,2011-05-27,17
612,Arkoma Woodford,2011-06-03,17
613,Arkoma Woodford,2011-06-10,18
614,Arkoma Woodford,2011-06-17,16
615,Arkoma Woodford,2011-06-24,16
616,Arkoma Woodford,2011-07-01,16
617,Arkoma Woodford,2011-07-08,16
618,Arkoma Woodford,2011-07-15,17
619,Arkoma Woodford,2011-07-22,16
620,Arkoma Woodford,2011-07-29,17
621,Arkoma Woodford,2011-08-05,17
622,Arkoma Woodford,2011-08-12,17
623,Arkoma Woodford,2011-08-19,17
624,Arkoma Woodford,2011-08-26,17
625,Arkoma Woodford,2011-09-02,17
626,Arkoma Woodford,2011-09-09,17
627,Arkoma Woodford,2011-09-16,17
628,Arkoma Woodford,2011-09-23,17
629,Arkoma Woodford,2011-09-30,17
630,Arkoma Woodford,2011-10-07,17
631,Arkoma Woodford,2011-10-14,17
632,Arkoma Woodford,2011-10-21,17
633,Arkoma Woodford,2011-10-28,18
634,Arkoma Woodford,2011-11-04,19
635,Arkoma Woodford,2011-11-11,19
636,Arkoma Woodford,2011-11-18,19
637,Arkoma Woodford,2011-11-25,19
638,Arkoma Woodford,2011-12-02,19
639,Arkoma Woodford,2011-12-09,19
640,Arkoma Woodford,2011-12-16,20
641,Arkoma Woodford,2011-12-23,20
642,Arkoma Woodford,2011-12-30,20
643,Arkoma Woodford,2012-01-06,20
644,Arkoma Woodford,2012-01-13,19
645,Arkoma Woodford,2012-01-20,18
646,Arkoma Woodford,2012-01-27,17
647,Arkoma Woodford,2012-02-03,17
648,Arkoma Woodford,2012-02-10,17
649,Arkoma Woodford,2012-02-17,16
650,Arkoma Woodford,2012-02-24,15
651,Arkoma Woodford,2012-03-02,16
652,Arkoma Woodford,2012-03-09,13
653,Arkoma Woodford,2012-03-16,13
654,Arkoma Woodford,2012-03-23,13
655,Arkoma Woodford,2012-03-30,13
656,Arkoma Woodford,2012-04-05,14
657,Arkoma Woodford,2012-04-13,13
658,Arkoma Woodford,2012-04-20,15
659,Arkoma Woodford,2012-04-27,14
660,Arkoma Woodford,2012-05-04,14
661,Arkoma Woodford,2012-05-11,14
662,Arkoma Woodford,2012-05-18,13
663,Arkoma Woodford,2012-05-25,12
664,Arkoma Woodford,2012-06-01,10
665,Arkoma Woodford,2012-06-08,10
666,Arkoma Woodford,2012-06-15,8
667,Arkoma Woodford,2012-06-22,8
668,Arkoma Woodford,2012-06-29,8
669,Arkoma Woodford,2012-07-06,9
670,Arkoma Woodford,2012-07-13,8
671,Arkoma Woodford,2012-07-20,8
672,Arkoma Woodford,2012-07-27,8
673,Arkoma Woodford,2012-08-03,8
674,Arkoma Woodford,2012-08-10,8
675,Arkoma Woodford,2012-08-17,8
676,Arkoma Woodford,2012-08-24,8
677,Arkoma Woodford,2012-08-31,8
678,Arkoma Woodford,2012-09-07,8
679,Arkoma Woodford,2012-09-14,7
680,Arkoma Woodford,2012-09-21,7
681,Arkoma Woodford,2012-09-28,6
682,Arkoma Woodford,2012-10-05,6
683,Arkoma Woodford,2012-10-12,6
684,Arkoma Woodford,2012-10-19,6
685,Arkoma Woodford,2012-10-26,6
686,Arkoma Woodford,2012-11-02,6
687,Arkoma Woodford,2012-11-09,5
688,Arkoma Woodford,2012-11-16,5
689,Arkoma Woodford,2012-11-21,4
690,Arkoma Woodford,2012-11-30,4
691,Arkoma Woodford,2012-12-07,4
692,Arkoma Woodford,2012-12-14,4
693,Arkoma Woodford,2012-12-21,4
694,Arkoma Woodford,2012-12-28,4
695,Arkoma Woodford,2013-01-04,4
696,Arkoma Woodford,2013-01-11,3
697,Arkoma Woodford,2013-01-18,3
698,Arkoma Woodford,2013-01-25,3
699,Arkoma Woodford,2013-02-01,4
700,Arkoma Woodford,2013-02-08,3
701,Arkoma Woodford,2013-02-15,3
702,Arkoma Woodford,2013-02-22,4
703,Arkoma Woodford,2013-03-01,4
704,Arkoma Woodford,2013-03-08,2
705,Arkoma Woodford,2013-03-15,3
706,Arkoma Woodford,2013-03-22,2
707,Arkoma Woodford,2013-03-28,2
708,Arkoma Woodford,2013-04-05,2
709,Arkoma Woodford,2013-04-12,2
710,Arkoma Woodford,2013-04-19,2
711,Arkoma Woodford,2013-04-26,2
712,Arkoma Woodford,2013-05-03,2
713,Arkoma Woodford,2013-05-10,2
714,Arkoma Woodford,2013-05-17,2
715,Arkoma Woodford,2013-05-24,2
716,Arkoma Woodford,2013-05-31,2
717,Arkoma Woodford,2013-06-07,2
718,Arkoma Woodford,2013-06-14,2
719,Arkoma Woodford,2013-06-21,2
720,Arkoma Woodford,2013-06-28,2
721,Arkoma Woodford,2013-07-03,2
722,Arkoma Woodford,2013-07-12,2
723,Arkoma Woodford,2013-07-19,2
724,Arkoma Woodford,2013-07-26,2
725,Arkoma Woodford,2013-08-02,1
726,Arkoma Woodford,2013-08-09,2
727,Arkoma Woodford,2013-08-16,2
728,Arkoma Woodford,2013-08-23,2
729,Arkoma Woodford,2013-08-30,4
730,Arkoma Woodford,2013-09-06,4
731,Arkoma Woodford,2013-09-13,4
732,Arkoma Woodford,2013-09-20,3
733,Arkoma Woodford,2013-09-27,3
734,Arkoma Woodford,2013-10-04,4
735,Arkoma Woodford,2013-10-11,5
736,Arkoma Woodford,2013-10-18,5
737,Arkoma Woodford,2013-10-25,5
738,Arkoma Woodford,2013-11-01,5
739,Arkoma Woodford,2013-11-08,5
740,Arkoma Woodford,2013-11-15,5
741,Arkoma Woodford,2013-11-22,4
742,Arkoma Woodford,2013-11-27,6
743,Arkoma Woodford,2013-12-06,6
744,Arkoma Woodford,2013-12-13,5
745,Arkoma Woodford,2013-12-20,5
746,Arkoma Woodford,2013-12-27,5
747,Arkoma Woodford,2014-01-03,5
748,Arkoma Woodford,2014-01-10,6
749,Arkoma Woodford,2014-01-17,7
750,Arkoma Woodford,2014-01-24,7
751,Arkoma Woodford,2014-01-31,5
752,Arkoma Woodford,2014-02-07,5
753,Arkoma Woodford,2014-02-14,5
754,Arkoma Woodford,2014-02-21,6
755,Arkoma Woodford,2014-02-28,5
756,Arkoma Woodford,2014-03-07,5
757,Arkoma Woodford,2014-03-14,6
758,Arkoma Woodford,2014-03-21,6
759,Arkoma Woodford,2014-03-28,6
760,Arkoma Woodford,2014-04-04,7
761,Arkoma Woodford,2014-04-11,7
762,Arkoma Woodford,2014-04-17,7
763,Arkoma Woodford,2014-04-25,7
764,Arkoma Woodford,2014-05-02,7
765,Arkoma Woodford,2014-05-09,6
766,Arkoma Woodford,2014-05-16,6
767,Arkoma Woodford,2014-05-23,6
768,Arkoma Woodford,2014-05-30,6
769,Arkoma Woodford,2014-06-06,5
770,Arkoma Woodford,2014-06-13,5
771,Arkoma Woodford,2014-06-20,5
772,Arkoma Woodford,2014-06-27,6
773,Arkoma Woodford,2014-07-03,5
774,Arkoma Woodford,2014-07-11,7
775,Arkoma Woodford,2014-07-18,7
776,Arkoma Woodford,2014-07-25,7
777,Arkoma Woodford,2014-08-01,7
778,Arkoma Woodford,2014-08-08,7
779,Arkoma Woodford,2014-08-15,7
780,Arkoma Woodford,2014-08-22,8
781,Arkoma Woodford,2014-08-29,8
782,Arkoma Woodford,2014-09-05,7
783,Arkoma Woodford,2014-09-12,7
784,Arkoma Woodford,2014-09-19,8
785,Arkoma Woodford,2014-09-26,7
786,Arkoma Woodford,2014-10-03,7
787,Arkoma Woodford,2014-10-10,7
788,Arkoma Woodford,2014-10-17,6
789,Arkoma Woodford,2014-10-24,6
790,Arkoma Woodford,2014-10-31,5
791,Arkoma Woodford,2014-11-07,6
792,Arkoma Woodford,2014-11-14,6
793,Arkoma Woodford,2014-11-21,6
794,Arkoma Woodford,2014-11-26,5
795,Arkoma Woodford,2014-12-05,5
796,Arkoma Woodford,2014-12-12,5
797,Arkoma Woodford,2014-12-19,5
798,Arkoma Woodford,2014-12-26,5
799,Arkoma Woodford,2015-01-02,5
800,Arkoma Woodford,2015-01-09,6
801,Arkoma Woodford,2015-01-16,5
802,Arkoma Woodford,2015-01-23,5
803,Arkoma Woodford,2015-01-30,7
804,Arkoma Woodford,2015-02-06,7
805,Arkoma Woodford,2015-02-13,6
806,Arkoma Woodford,2015-02-20,5
807,Arkoma Woodford,2015-02-27,5
808,Arkoma Woodford,2015-03-06,5
809,Arkoma Woodford,2015-03-13,5
810,Arkoma Woodford,2015-03-20,6
811,Arkoma Woodford,2015-03-27,6
812,Arkoma Woodford,2015-04-02,6
813,Arkoma Woodford,2015-04-10,5
814,Arkoma Woodford,2015-04-17,6
815,Arkoma Woodford,2015-04-24,6
816,Arkoma Woodford,2015-05-01,6
817,Arkoma Woodford,2015-05-08,6
818,Arkoma Woodford,2015-05-15,6
819,Arkoma Woodford,2015-05-22,6
820,Arkoma Woodford,2015-05-29,6
821,Arkoma Woodford,2015-06-05,5
822,Arkoma Woodford,2015-06-12,5
823,Arkoma Woodford,2015-06-19,6
824,Arkoma Woodford,2015-06-26,6
825,Arkoma Woodford,2015-07-02,6
826,Arkoma Woodford,2015-07-10,6
827,Arkoma Woodford,2015-07-17,5
828,Arkoma Woodford,2015-07-24,5
829,Arkoma Woodford,2015-07-31,5
830,Arkoma Woodford,2015-08-07,5
831,Arkoma Woodford,2015-08-14,5
832,Arkoma Woodford,2015-08-21,6
833,Arkoma Woodford,2015-08-28,6
834,Arkoma Woodford,2015-09-04,7
835,Arkoma Woodford,2015-09-11,7
836,Arkoma Woodford,2015-09-18,8
837,Arkoma Woodford,2015-09-25,8
838,Arkoma Woodford,2015-10-02,8
839,Arkoma Woodford,2015-10-09,8
840,Arkoma Woodford,2015-10-16,8
841,Arkoma Woodford,2015-10-23,8
842,Arkoma Woodford,2015-10-30,8
843,Arkoma Woodford,2015-11-06,10
844,Arkoma Woodford,2015-11-13,10
845,Arkoma Woodford,2015-11-20,9
846,Arkoma Woodford,2015-11-25,9
847,Arkoma Woodford,2015-12-04,9
848,Arkoma Woodford,2015-12-11,8
