,basin_name,date,rig_count,size
5355,Marcellus,2011-02-04,126,25.2
5356,Marcellus,2011-02-11,125,25.0
5357,Marcellus,2011-02-18,127,25.4
5358,Marcellus,2011-02-25,127,25.4
5359,Marcellus,2011-03-04,117,23.4
5360,Marcellus,2011-03-11,118,23.6
5361,Marcellus,2011-03-18,118,23.6
5362,Marcellus,2011-03-25,118,23.6
5363,Marcellus,2011-04-01,118,23.6
5364,Marcellus,2011-04-08,120,24.0
5365,Marcellus,2011-04-15,114,22.8
5366,Marcellus,2011-04-22,116,23.2
5367,Marcellus,2011-04-29,121,24.2
5368,Marcellus,2011-05-06,123,24.6
5369,Marcellus,2011-05-13,122,24.4
5370,Marcellus,2011-05-20,125,25.0
5371,Marcellus,2011-05-27,125,25.0
5372,Marcellus,2011-06-03,125,25.0
5373,Marcellus,2011-06-10,128,25.6
5374,Marcellus,2011-06-17,127,25.4
5375,Marcellus,2011-06-24,130,26.0
5376,Marcellus,2011-07-01,133,26.6
5377,Marcellus,2011-07-08,132,26.4
5378,Marcellus,2011-07-15,132,26.4
5379,Marcellus,2011-07-22,134,26.8
5380,Marcellus,2011-07-29,131,26.2
5381,Marcellus,2011-08-05,131,26.2
5382,Marcellus,2011-08-12,134,26.8
5383,Marcellus,2011-08-19,129,25.8
5384,Marcellus,2011-08-26,131,26.2
5385,Marcellus,2011-09-02,131,26.2
5386,Marcellus,2011-09-09,132,26.4
5387,Marcellus,2011-09-16,137,27.4
5388,Marcellus,2011-09-23,132,26.4
5389,Marcellus,2011-09-30,134,26.8
5390,Marcellus,2011-10-07,136,27.2
5391,Marcellus,2011-10-14,139,27.8
5392,Marcellus,2011-10-21,140,28.0
5393,Marcellus,2011-10-28,141,28.2
5394,Marcellus,2011-11-04,137,27.4
5395,Marcellus,2011-11-11,134,26.8
5396,Marcellus,2011-11-18,134,26.8
5397,Marcellus,2011-11-25,136,27.2
5398,Marcellus,2011-12-02,135,27.0
5399,Marcellus,2011-12-09,136,27.2
5400,Marcellus,2011-12-16,137,27.4
5401,Marcellus,2011-12-23,135,27.0
5402,Marcellus,2011-12-30,140,28.0
5403,Marcellus,2012-01-06,139,27.8
5404,Marcellus,2012-01-13,141,28.2
5405,Marcellus,2012-01-20,143,28.6
5406,Marcellus,2012-01-27,141,28.2
5407,Marcellus,2012-02-03,141,28.2
5408,Marcellus,2012-02-10,139,27.8
5409,Marcellus,2012-02-17,137,27.4
5410,Marcellus,2012-02-24,134,26.8
5411,Marcellus,2012-03-02,133,26.6
5412,Marcellus,2012-03-09,128,25.6
5413,Marcellus,2012-03-16,128,25.6
5414,Marcellus,2012-03-23,124,24.8
5415,Marcellus,2012-03-30,126,25.2
5416,Marcellus,2012-04-05,121,24.2
5417,Marcellus,2012-04-13,120,24.0
5418,Marcellus,2012-04-20,120,24.0
5419,Marcellus,2012-04-27,114,22.8
5420,Marcellus,2012-05-04,112,22.4
5421,Marcellus,2012-05-11,113,22.6
5422,Marcellus,2012-05-18,112,22.4
5423,Marcellus,2012-05-25,107,21.4
5424,Marcellus,2012-06-01,103,20.6
5425,Marcellus,2012-06-08,103,20.6
5426,Marcellus,2012-06-15,104,20.8
5427,Marcellus,2012-06-22,102,20.4
5428,Marcellus,2012-06-29,97,19.4
5429,Marcellus,2012-07-06,102,20.4
5430,Marcellus,2012-07-13,100,20.0
5431,Marcellus,2012-07-20,97,19.4
5432,Marcellus,2012-07-27,97,19.4
5433,Marcellus,2012-08-03,95,19.0
5434,Marcellus,2012-08-10,95,19.0
5435,Marcellus,2012-08-17,92,18.4
5436,Marcellus,2012-08-24,90,18.0
5437,Marcellus,2012-08-31,90,18.0
5438,Marcellus,2012-09-07,87,17.4
5439,Marcellus,2012-09-14,86,17.2
5440,Marcellus,2012-09-21,90,18.0
5441,Marcellus,2012-09-28,87,17.4
5442,Marcellus,2012-10-05,90,18.0
5443,Marcellus,2012-10-12,90,18.0
5444,Marcellus,2012-10-19,90,18.0
5445,Marcellus,2012-10-26,88,17.6
5446,Marcellus,2012-11-02,90,18.0
5447,Marcellus,2012-11-09,92,18.4
5448,Marcellus,2012-11-16,90,18.0
5449,Marcellus,2012-11-21,94,18.8
5450,Marcellus,2012-11-30,92,18.4
5451,Marcellus,2012-12-07,92,18.4
5452,Marcellus,2012-12-14,94,18.8
5453,Marcellus,2012-12-21,92,18.4
5454,Marcellus,2012-12-28,93,18.6
5455,Marcellus,2013-01-04,96,19.2
5456,Marcellus,2013-01-11,92,18.4
5457,Marcellus,2013-01-18,95,19.0
5458,Marcellus,2013-01-25,91,18.2
5459,Marcellus,2013-02-01,90,18.0
5460,Marcellus,2013-02-08,91,18.2
5461,Marcellus,2013-02-15,85,17.0
5462,Marcellus,2013-02-22,92,18.4
5463,Marcellus,2013-03-01,94,18.8
5464,Marcellus,2013-03-08,92,18.4
5465,Marcellus,2013-03-15,93,18.6
5466,Marcellus,2013-03-22,89,17.8
5467,Marcellus,2013-03-28,90,18.0
5468,Marcellus,2013-04-05,81,16.2
5469,Marcellus,2013-04-12,82,16.4
5470,Marcellus,2013-04-19,82,16.4
5471,Marcellus,2013-04-26,80,16.0
5472,Marcellus,2013-05-03,81,16.2
5473,Marcellus,2013-05-10,79,15.8
5474,Marcellus,2013-05-17,78,15.6
5475,Marcellus,2013-05-24,80,16.0
5476,Marcellus,2013-05-31,80,16.0
5477,Marcellus,2013-06-07,77,15.4
5478,Marcellus,2013-06-14,75,15.0
5479,Marcellus,2013-06-21,75,15.0
5480,Marcellus,2013-06-28,77,15.4
5481,Marcellus,2013-07-03,76,15.2
5482,Marcellus,2013-07-12,75,15.0
5483,Marcellus,2013-07-19,78,15.6
5484,Marcellus,2013-07-26,78,15.6
5485,Marcellus,2013-08-02,87,17.4
5486,Marcellus,2013-08-09,87,17.4
5487,Marcellus,2013-08-16,86,17.2
5488,Marcellus,2013-08-23,87,17.4
5489,Marcellus,2013-08-30,85,17.0
5490,Marcellus,2013-09-06,86,17.2
5491,Marcellus,2013-09-13,89,17.8
5492,Marcellus,2013-09-20,86,17.2
5493,Marcellus,2013-09-27,85,17.0
5494,Marcellus,2013-10-04,86,17.2
5495,Marcellus,2013-10-11,85,17.0
5496,Marcellus,2013-10-18,86,17.2
5497,Marcellus,2013-10-25,86,17.2
5498,Marcellus,2013-11-01,85,17.0
5499,Marcellus,2013-11-08,85,17.0
5500,Marcellus,2013-11-15,87,17.4
5501,Marcellus,2013-11-22,90,18.0
5502,Marcellus,2013-11-27,87,17.4
5503,Marcellus,2013-12-06,86,17.2
5504,Marcellus,2013-12-13,85,17.0
5505,Marcellus,2013-12-20,88,17.6
5506,Marcellus,2013-12-27,85,17.0
5507,Marcellus,2014-01-03,85,17.0
5508,Marcellus,2014-01-10,86,17.2
5509,Marcellus,2014-01-17,87,17.4
5510,Marcellus,2014-01-24,86,17.2
5511,Marcellus,2014-01-31,86,17.2
5512,Marcellus,2014-02-07,81,16.2
5513,Marcellus,2014-02-14,80,16.0
5514,Marcellus,2014-02-21,82,16.4
5515,Marcellus,2014-02-28,78,15.6
5516,Marcellus,2014-03-07,77,15.4
5517,Marcellus,2014-03-14,78,15.6
5518,Marcellus,2014-03-21,78,15.6
5519,Marcellus,2014-03-28,76,15.2
5520,Marcellus,2014-04-04,79,15.8
5521,Marcellus,2014-04-11,79,15.8
5522,Marcellus,2014-04-17,81,16.2
5523,Marcellus,2014-04-25,87,17.4
5524,Marcellus,2014-05-02,85,17.0
5525,Marcellus,2014-05-09,84,16.8
5526,Marcellus,2014-05-16,83,16.6
5527,Marcellus,2014-05-23,83,16.6
5528,Marcellus,2014-05-30,83,16.6
5529,Marcellus,2014-06-06,80,16.0
5530,Marcellus,2014-06-13,83,16.6
5531,Marcellus,2014-06-20,80,16.0
5532,Marcellus,2014-06-27,82,16.4
5533,Marcellus,2014-07-03,79,15.8
5534,Marcellus,2014-07-11,80,16.0
5535,Marcellus,2014-07-18,79,15.8
5536,Marcellus,2014-07-25,78,15.6
5537,Marcellus,2014-08-01,79,15.8
5538,Marcellus,2014-08-08,74,14.8
5539,Marcellus,2014-08-15,77,15.4
5540,Marcellus,2014-08-22,76,15.2
5541,Marcellus,2014-08-29,80,16.0
5542,Marcellus,2014-09-05,82,16.4
5543,Marcellus,2014-09-12,83,16.6
5544,Marcellus,2014-09-19,81,16.2
5545,Marcellus,2014-09-26,80,16.0
5546,Marcellus,2014-10-03,82,16.4
5547,Marcellus,2014-10-10,81,16.2
5548,Marcellus,2014-10-17,81,16.2
5549,Marcellus,2014-10-24,81,16.2
5550,Marcellus,2014-10-31,84,16.8
5551,Marcellus,2014-11-07,82,16.4
5552,Marcellus,2014-11-14,80,16.0
5553,Marcellus,2014-11-21,83,16.6
5554,Marcellus,2014-11-26,82,16.4
5555,Marcellus,2014-12-05,82,16.4
5556,Marcellus,2014-12-12,83,16.6
5557,Marcellus,2014-12-19,82,16.4
5558,Marcellus,2014-12-26,78,15.6
5559,Marcellus,2015-01-02,77,15.4
5560,Marcellus,2015-01-09,77,15.4
5561,Marcellus,2015-01-16,75,15.0
5562,Marcellus,2015-01-23,76,15.2
5563,Marcellus,2015-01-30,75,15.0
5564,Marcellus,2015-02-06,71,14.2
5565,Marcellus,2015-02-13,69,13.8
5566,Marcellus,2015-02-20,69,13.8
5567,Marcellus,2015-02-27,68,13.6
5568,Marcellus,2015-03-06,62,12.4
5569,Marcellus,2015-03-13,63,12.6
5570,Marcellus,2015-03-20,69,13.8
5571,Marcellus,2015-03-27,70,14.0
5572,Marcellus,2015-04-02,70,14.0
5573,Marcellus,2015-04-10,70,14.0
5574,Marcellus,2015-04-17,69,13.8
5575,Marcellus,2015-04-24,69,13.8
5576,Marcellus,2015-05-01,67,13.4
5577,Marcellus,2015-05-08,66,13.2
5578,Marcellus,2015-05-15,66,13.2
5579,Marcellus,2015-05-22,66,13.2
5580,Marcellus,2015-05-29,63,12.6
5581,Marcellus,2015-06-05,64,12.8
5582,Marcellus,2015-06-12,63,12.6
5583,Marcellus,2015-06-19,64,12.8
5584,Marcellus,2015-06-26,65,13.0
5585,Marcellus,2015-07-02,64,12.8
5586,Marcellus,2015-07-10,62,12.4
5587,Marcellus,2015-07-17,59,11.8
5588,Marcellus,2015-07-24,59,11.8
5589,Marcellus,2015-07-31,56,11.2
5590,Marcellus,2015-08-07,55,11.0
5591,Marcellus,2015-08-14,53,10.6
5592,Marcellus,2015-08-21,52,10.4
5593,Marcellus,2015-08-28,51,10.2
5594,Marcellus,2015-09-04,51,10.2
5595,Marcellus,2015-09-11,51,10.2
5596,Marcellus,2015-09-18,49,9.8
5597,Marcellus,2015-09-25,49,9.8
5598,Marcellus,2015-10-02,47,9.4
5599,Marcellus,2015-10-09,46,9.2
5600,Marcellus,2015-10-16,46,9.2
5601,Marcellus,2015-10-23,43,8.6
5602,Marcellus,2015-10-30,43,8.6
5603,Marcellus,2015-11-06,43,8.6
5604,Marcellus,2015-11-13,43,8.6
5605,Marcellus,2015-11-20,43,8.6
5606,Marcellus,2015-11-25,42,8.4
5607,Marcellus,2015-12-04,42,8.4
5608,Marcellus,2015-12-11,42,8.4
5609,Marcellus,2015-12-18,41,8.2
5610,Marcellus,2015-12-23,41,8.2
5611,Marcellus,2015-12-31,41,8.2
5612,Marcellus,2016-01-08,37,7.4
5613,Marcellus,2016-01-15,38,7.6
5614,Marcellus,2016-01-22,35,7.0
5615,Marcellus,2016-01-29,34,6.8
5616,Marcellus,2016-02-05,31,6.2
5617,Marcellus,2016-02-12,29,5.8
5618,Marcellus,2016-02-19,29,5.8
5619,Marcellus,2016-02-26,29,5.8
5620,Marcellus,2016-03-04,28,5.6
5621,Marcellus,2016-03-11,31,6.2
5622,Marcellus,2016-03-18,31,6.2
5623,Marcellus,2016-03-24,30,6.0
5624,Marcellus,2016-04-01,29,5.8
5625,Marcellus,2016-04-08,29,5.8
5626,Marcellus,2016-04-15,28,5.6
5627,Marcellus,2016-04-22,28,5.6
5628,Marcellus,2016-04-29,26,5.2
5629,Marcellus,2016-05-06,26,5.2
5630,Marcellus,2016-05-13,26,5.2
5631,Marcellus,2016-05-20,26,5.2
5632,Marcellus,2016-05-27,26,5.2
5633,Marcellus,2016-06-03,24,4.8
5634,Marcellus,2016-06-10,23,4.6
5635,Marcellus,2016-06-17,24,4.8
5636,Marcellus,2016-06-24,23,4.6
5637,Marcellus,2016-07-01,23,4.6
5638,Marcellus,2016-07-08,23,4.6
5639,Marcellus,2016-07-15,23,4.6
5640,Marcellus,2016-07-22,23,4.6
5641,Marcellus,2016-07-29,22,4.4
5642,Marcellus,2016-08-05,21,4.2
5643,Marcellus,2016-08-12,21,4.2
5644,Marcellus,2016-08-19,24,4.8
5645,Marcellus,2016-08-26,25,5.0
5646,Marcellus,2016-09-02,27,5.4
5647,Marcellus,2016-09-09,29,5.8
5648,Marcellus,2016-09-16,29,5.8
5649,Marcellus,2016-09-23,30,6.0
5650,Marcellus,2016-09-30,32,6.4
5651,Marcellus,2016-10-07,32,6.4
5652,Marcellus,2016-10-14,34,6.8
5653,Marcellus,2016-10-21,34,6.8
5654,Marcellus,2016-10-28,36,7.2
5655,Marcellus,2016-11-04,36,7.2
5656,Marcellus,2016-11-11,35,7.0
5657,Marcellus,2016-11-18,34,6.8
5658,Marcellus,2016-11-23,38,7.6
5659,Marcellus,2016-12-02,38,7.6
5660,Marcellus,2016-12-09,40,8.0
5661,Marcellus,2016-12-16,40,8.0
5662,Marcellus,2016-12-23,39,7.8
5663,Marcellus,2016-12-30,39,7.8
5664,Marcellus,2017-01-06,40,8.0
5665,Marcellus,2017-01-13,39,7.8
5666,Marcellus,2017-01-20,40,8.0
5667,Marcellus,2017-01-27,39,7.8
5668,Marcellus,2017-02-03,39,7.8
5669,Marcellus,2017-02-10,42,8.4
5670,Marcellus,2017-02-17,42,8.4
5671,Marcellus,2017-02-24,42,8.4
5672,Marcellus,2017-03-03,41,8.2
5673,Marcellus,2017-03-10,41,8.2
5674,Marcellus,2017-03-17,42,8.4
5675,Marcellus,2017-03-24,44,8.8
5676,Marcellus,2017-03-31,44,8.8
5677,Marcellus,2017-04-07,45,9.0
5678,Marcellus,2017-04-13,45,9.0
5679,Marcellus,2017-04-21,46,9.2
5680,Marcellus,2017-04-28,46,9.2
5681,Marcellus,2017-05-05,43,8.6
5682,Marcellus,2017-05-12,43,8.6
5683,Marcellus,2017-05-19,45,9.0
5684,Marcellus,2017-05-26,45,9.0
5685,Marcellus,2017-06-02,43,8.6
5686,Marcellus,2017-06-09,45,9.0
5687,Marcellus,2017-06-16,45,9.0
5688,Marcellus,2017-06-23,45,9.0
5689,Marcellus,2017-06-30,45,9.0
5690,Marcellus,2017-07-07,45,9.0
5691,Marcellus,2017-07-14,45,9.0
5692,Marcellus,2017-07-21,45,9.0
5693,Marcellus,2017-07-28,46,9.2
5694,Marcellus,2017-08-04,46,9.2
5695,Marcellus,2017-08-11,46,9.2
5696,Marcellus,2017-08-18,46,9.2
5697,Marcellus,2017-08-25,43,8.6
5698,Marcellus,2017-09-01,44,8.8
