,basin_name,date,rig_count,size
2380,DJ-Niobrara,2011-02-04,33,6.6
2381,DJ-Niobrara,2011-02-11,32,6.4
2382,DJ-Niobrara,2011-02-18,32,6.4
2383,DJ-Niobrara,2011-02-25,32,6.4
2384,DJ-Niobrara,2011-03-04,36,7.2
2385,DJ-Niobrara,2011-03-11,36,7.2
2386,DJ-Niobrara,2011-03-18,36,7.2
2387,DJ-Niobrara,2011-03-25,40,8.0
2388,DJ-Niobrara,2011-04-01,40,8.0
2389,DJ-Niobrara,2011-04-08,40,8.0
2390,DJ-Niobrara,2011-04-15,40,8.0
2391,DJ-Niobrara,2011-04-22,41,8.2
2392,DJ-Niobrara,2011-04-29,41,8.2
2393,DJ-Niobrara,2011-05-06,41,8.2
2394,DJ-Niobrara,2011-05-13,41,8.2
2395,DJ-Niobrara,2011-05-20,40,8.0
2396,DJ-Niobrara,2011-05-27,40,8.0
2397,DJ-Niobrara,2011-06-03,40,8.0
2398,DJ-Niobrara,2011-06-10,45,9.0
2399,DJ-Niobrara,2011-06-17,42,8.4
2400,DJ-Niobrara,2011-06-24,45,9.0
2401,DJ-Niobrara,2011-07-01,45,9.0
2402,DJ-Niobrara,2011-07-08,45,9.0
2403,DJ-Niobrara,2011-07-15,43,8.6
2404,DJ-Niobrara,2011-07-22,42,8.4
2405,DJ-Niobrara,2011-07-29,38,7.6
2406,DJ-Niobrara,2011-08-05,37,7.4
2407,DJ-Niobrara,2011-08-12,40,8.0
2408,DJ-Niobrara,2011-08-19,41,8.2
2409,DJ-Niobrara,2011-08-26,42,8.4
2410,DJ-Niobrara,2011-09-02,43,8.6
2411,DJ-Niobrara,2011-09-09,43,8.6
2412,DJ-Niobrara,2011-09-16,42,8.4
2413,DJ-Niobrara,2011-09-23,44,8.8
2414,DJ-Niobrara,2011-09-30,44,8.8
2415,DJ-Niobrara,2011-10-07,42,8.4
2416,DJ-Niobrara,2011-10-14,42,8.4
2417,DJ-Niobrara,2011-10-21,45,9.0
2418,DJ-Niobrara,2011-10-28,47,9.4
2419,DJ-Niobrara,2011-11-04,47,9.4
2420,DJ-Niobrara,2011-11-11,45,9.0
2421,DJ-Niobrara,2011-11-18,47,9.4
2422,DJ-Niobrara,2011-11-25,47,9.4
2423,DJ-Niobrara,2011-12-02,43,8.6
2424,DJ-Niobrara,2011-12-09,47,9.4
2425,DJ-Niobrara,2011-12-16,47,9.4
2426,DJ-Niobrara,2011-12-23,44,8.8
2427,DJ-Niobrara,2011-12-30,44,8.8
2428,DJ-Niobrara,2012-01-06,45,9.0
2429,DJ-Niobrara,2012-01-13,45,9.0
2430,DJ-Niobrara,2012-01-20,45,9.0
2431,DJ-Niobrara,2012-01-27,42,8.4
2432,DJ-Niobrara,2012-02-03,43,8.6
2433,DJ-Niobrara,2012-02-10,43,8.6
2434,DJ-Niobrara,2012-02-17,42,8.4
2435,DJ-Niobrara,2012-02-24,42,8.4
2436,DJ-Niobrara,2012-03-02,38,7.6
2437,DJ-Niobrara,2012-03-09,38,7.6
2438,DJ-Niobrara,2012-03-16,41,8.2
2439,DJ-Niobrara,2012-03-23,42,8.4
2440,DJ-Niobrara,2012-03-30,41,8.2
2441,DJ-Niobrara,2012-04-05,40,8.0
2442,DJ-Niobrara,2012-04-13,39,7.8
2443,DJ-Niobrara,2012-04-20,43,8.6
2444,DJ-Niobrara,2012-04-27,42,8.4
2445,DJ-Niobrara,2012-05-04,42,8.4
2446,DJ-Niobrara,2012-05-11,42,8.4
2447,DJ-Niobrara,2012-05-18,44,8.8
2448,DJ-Niobrara,2012-05-25,45,9.0
2449,DJ-Niobrara,2012-06-01,45,9.0
2450,DJ-Niobrara,2012-06-08,47,9.4
2451,DJ-Niobrara,2012-06-15,44,8.8
2452,DJ-Niobrara,2012-06-22,41,8.2
2453,DJ-Niobrara,2012-06-29,44,8.8
2454,DJ-Niobrara,2012-07-06,44,8.8
2455,DJ-Niobrara,2012-07-13,44,8.8
2456,DJ-Niobrara,2012-07-20,43,8.6
2457,DJ-Niobrara,2012-07-27,44,8.8
2458,DJ-Niobrara,2012-08-03,44,8.8
2459,DJ-Niobrara,2012-08-10,44,8.8
2460,DJ-Niobrara,2012-08-17,45,9.0
2461,DJ-Niobrara,2012-08-24,46,9.2
2462,DJ-Niobrara,2012-08-31,46,9.2
2463,DJ-Niobrara,2012-09-07,45,9.0
2464,DJ-Niobrara,2012-09-14,43,8.6
2465,DJ-Niobrara,2012-09-21,41,8.2
2466,DJ-Niobrara,2012-09-28,43,8.6
2467,DJ-Niobrara,2012-10-05,43,8.6
2468,DJ-Niobrara,2012-10-12,45,9.0
2469,DJ-Niobrara,2012-10-19,45,9.0
2470,DJ-Niobrara,2012-10-26,45,9.0
2471,DJ-Niobrara,2012-11-02,42,8.4
2472,DJ-Niobrara,2012-11-09,41,8.2
2473,DJ-Niobrara,2012-11-16,43,8.6
2474,DJ-Niobrara,2012-11-21,41,8.2
2475,DJ-Niobrara,2012-11-30,42,8.4
2476,DJ-Niobrara,2012-12-07,40,8.0
2477,DJ-Niobrara,2012-12-14,41,8.2
2478,DJ-Niobrara,2012-12-21,41,8.2
2479,DJ-Niobrara,2012-12-28,41,8.2
2480,DJ-Niobrara,2013-01-04,39,7.8
2481,DJ-Niobrara,2013-01-11,36,7.2
2482,DJ-Niobrara,2013-01-18,35,7.0
2483,DJ-Niobrara,2013-01-25,39,7.8
2484,DJ-Niobrara,2013-02-01,38,7.6
2485,DJ-Niobrara,2013-02-08,39,7.8
2486,DJ-Niobrara,2013-02-15,39,7.8
2487,DJ-Niobrara,2013-02-22,40,8.0
2488,DJ-Niobrara,2013-03-01,41,8.2
2489,DJ-Niobrara,2013-03-08,41,8.2
2490,DJ-Niobrara,2013-03-15,41,8.2
2491,DJ-Niobrara,2013-03-22,40,8.0
2492,DJ-Niobrara,2013-03-28,42,8.4
2493,DJ-Niobrara,2013-04-05,43,8.6
2494,DJ-Niobrara,2013-04-12,43,8.6
2495,DJ-Niobrara,2013-04-19,44,8.8
2496,DJ-Niobrara,2013-04-26,45,9.0
2497,DJ-Niobrara,2013-05-03,45,9.0
2498,DJ-Niobrara,2013-05-10,45,9.0
2499,DJ-Niobrara,2013-05-17,44,8.8
2500,DJ-Niobrara,2013-05-24,42,8.4
2501,DJ-Niobrara,2013-05-31,44,8.8
2502,DJ-Niobrara,2013-06-07,44,8.8
2503,DJ-Niobrara,2013-06-14,46,9.2
2504,DJ-Niobrara,2013-06-21,46,9.2
2505,DJ-Niobrara,2013-06-28,46,9.2
2506,DJ-Niobrara,2013-07-03,49,9.8
2507,DJ-Niobrara,2013-07-12,49,9.8
2508,DJ-Niobrara,2013-07-19,50,10.0
2509,DJ-Niobrara,2013-07-26,52,10.4
2510,DJ-Niobrara,2013-08-02,51,10.2
2511,DJ-Niobrara,2013-08-09,51,10.2
2512,DJ-Niobrara,2013-08-16,52,10.4
2513,DJ-Niobrara,2013-08-23,49,9.8
2514,DJ-Niobrara,2013-08-30,49,9.8
2515,DJ-Niobrara,2013-09-06,49,9.8
2516,DJ-Niobrara,2013-09-13,47,9.4
2517,DJ-Niobrara,2013-09-20,49,9.8
2518,DJ-Niobrara,2013-09-27,48,9.6
2519,DJ-Niobrara,2013-10-04,48,9.6
2520,DJ-Niobrara,2013-10-11,48,9.6
2521,DJ-Niobrara,2013-10-18,51,10.2
2522,DJ-Niobrara,2013-10-25,51,10.2
2523,DJ-Niobrara,2013-11-01,50,10.0
2524,DJ-Niobrara,2013-11-08,51,10.2
2525,DJ-Niobrara,2013-11-15,50,10.0
2526,DJ-Niobrara,2013-11-22,50,10.0
2527,DJ-Niobrara,2013-11-27,49,9.8
2528,DJ-Niobrara,2013-12-06,48,9.6
2529,DJ-Niobrara,2013-12-13,52,10.4
2530,DJ-Niobrara,2013-12-20,49,9.8
2531,DJ-Niobrara,2013-12-27,49,9.8
2532,DJ-Niobrara,2014-01-03,50,10.0
2533,DJ-Niobrara,2014-01-10,51,10.2
2534,DJ-Niobrara,2014-01-17,55,11.0
2535,DJ-Niobrara,2014-01-24,55,11.0
2536,DJ-Niobrara,2014-01-31,55,11.0
2537,DJ-Niobrara,2014-02-07,55,11.0
2538,DJ-Niobrara,2014-02-14,53,10.6
