,basin_name,date,rig_count,size
6545,Permian,2011-02-04,378,75.6
6546,Permian,2011-02-11,375,75.0
6547,Permian,2011-02-18,366,73.2
6548,Permian,2011-02-25,358,71.6
6549,Permian,2011-03-04,361,72.2
6550,Permian,2011-03-11,375,75.0
6551,Permian,2011-03-18,385,77.0
6552,Permian,2011-03-25,389,77.8
6553,Permian,2011-04-01,390,78.0
6554,Permian,2011-04-08,394,78.8
6555,Permian,2011-04-15,393,78.6
6556,Permian,2011-04-22,399,79.8
6557,Permian,2011-04-29,406,81.2
6558,Permian,2011-05-06,415,83.0
6559,Permian,2011-05-13,420,84.0
6560,Permian,2011-05-20,424,84.8
6561,Permian,2011-05-27,435,87.0
6562,Permian,2011-06-03,439,87.8
6563,Permian,2011-06-10,429,85.8
6564,Permian,2011-06-17,425,85.0
6565,Permian,2011-06-24,436,87.2
6566,Permian,2011-07-01,445,89.0
6567,Permian,2011-07-08,442,88.4
6568,Permian,2011-07-15,445,89.0
6569,Permian,2011-07-22,436,87.2
6570,Permian,2011-07-29,444,88.8
6571,Permian,2011-08-05,447,89.4
6572,Permian,2011-08-12,446,89.2
6573,Permian,2011-08-19,451,90.2
6574,Permian,2011-08-26,459,91.8
6575,Permian,2011-09-02,458,91.6
6576,Permian,2011-09-09,448,89.6
6577,Permian,2011-09-16,458,91.6
6578,Permian,2011-09-23,459,91.8
6579,Permian,2011-09-30,464,92.8
6580,Permian,2011-10-07,465,93.0
6581,Permian,2011-10-14,469,93.8
6582,Permian,2011-10-21,475,95.0
6583,Permian,2011-10-28,477,95.4
6584,Permian,2011-11-04,481,96.2
6585,Permian,2011-11-11,481,96.2
6586,Permian,2011-11-18,482,96.4
6587,Permian,2011-11-25,475,95.0
6588,Permian,2011-12-02,476,95.2
6589,Permian,2011-12-09,476,95.2
6590,Permian,2011-12-16,478,95.6
6591,Permian,2011-12-23,482,96.4
6592,Permian,2011-12-30,479,95.8
6593,Permian,2012-01-06,477,95.4
6594,Permian,2012-01-13,475,95.0
6595,Permian,2012-01-20,473,94.6
6596,Permian,2012-01-27,474,94.8
6597,Permian,2012-02-03,478,95.6
6598,Permian,2012-02-10,483,96.6
6599,Permian,2012-02-17,485,97.0
6600,Permian,2012-02-24,484,96.8
6601,Permian,2012-03-02,492,98.4
6602,Permian,2012-03-09,489,97.8
6603,Permian,2012-03-16,484,96.8
6604,Permian,2012-03-23,484,96.8
6605,Permian,2012-03-30,491,98.2
6606,Permian,2012-04-05,498,99.6
6607,Permian,2012-04-13,494,98.8
6608,Permian,2012-04-20,504,100.8
6609,Permian,2012-04-27,512,102.4
6610,Permian,2012-05-04,515,103.0
6611,Permian,2012-05-11,512,102.4
6612,Permian,2012-05-18,516,103.2
6613,Permian,2012-05-25,514,102.8
6614,Permian,2012-06-01,524,104.8
6615,Permian,2012-06-08,524,104.8
6616,Permian,2012-06-15,530,106.0
6617,Permian,2012-06-22,534,106.8
6618,Permian,2012-06-29,534,106.8
6619,Permian,2012-07-06,529,105.8
6620,Permian,2012-07-13,528,105.6
6621,Permian,2012-07-20,513,102.6
6622,Permian,2012-07-27,512,102.4
6623,Permian,2012-08-03,518,103.6
6624,Permian,2012-08-10,515,103.0
6625,Permian,2012-08-17,513,102.6
6626,Permian,2012-08-24,513,102.6
6627,Permian,2012-08-31,511,102.2
6628,Permian,2012-09-07,502,100.4
6629,Permian,2012-09-14,506,101.2
6630,Permian,2012-09-21,501,100.2
6631,Permian,2012-09-28,505,101.0
6632,Permian,2012-10-05,500,100.0
6633,Permian,2012-10-12,498,99.6
6634,Permian,2012-10-19,501,100.2
6635,Permian,2012-10-26,491,98.2
6636,Permian,2012-11-02,482,96.4
6637,Permian,2012-11-09,491,98.2
6638,Permian,2012-11-16,489,97.8
6639,Permian,2012-11-21,487,97.4
6640,Permian,2012-11-30,481,96.2
6641,Permian,2012-12-07,472,94.4
6642,Permian,2012-12-14,477,95.4
6643,Permian,2012-12-21,463,92.6
6644,Permian,2012-12-28,463,92.6
6645,Permian,2013-01-04,473,94.6
6646,Permian,2013-01-11,467,93.4
6647,Permian,2013-01-18,452,90.4
6648,Permian,2013-01-25,464,92.8
6649,Permian,2013-02-01,466,93.2
6650,Permian,2013-02-08,462,92.4
6651,Permian,2013-02-15,473,94.6
6652,Permian,2013-02-22,476,95.2
6653,Permian,2013-03-01,478,95.6
6654,Permian,2013-03-08,476,95.2
6655,Permian,2013-03-15,478,95.6
6656,Permian,2013-03-22,473,94.6
6657,Permian,2013-03-28,467,93.4
6658,Permian,2013-04-05,467,93.4
6659,Permian,2013-04-12,472,94.4
6660,Permian,2013-04-19,469,93.8
6661,Permian,2013-04-26,471,94.2
6662,Permian,2013-05-03,469,93.8
6663,Permian,2013-05-10,468,93.6
6664,Permian,2013-05-17,469,93.8
6665,Permian,2013-05-24,470,94.0
6666,Permian,2013-05-31,470,94.0
6667,Permian,2013-06-07,473,94.6
6668,Permian,2013-06-14,473,94.6
6669,Permian,2013-06-21,468,93.6
6670,Permian,2013-06-28,466,93.2
6671,Permian,2013-07-03,465,93.0
6672,Permian,2013-07-12,463,92.6
6673,Permian,2013-07-19,468,93.6
6674,Permian,2013-07-26,462,92.4
6675,Permian,2013-08-02,463,92.6
6676,Permian,2013-08-09,470,94.0
6677,Permian,2013-08-16,474,94.8
6678,Permian,2013-08-23,466,93.2
6679,Permian,2013-08-30,465,93.0
6680,Permian,2013-09-06,456,91.2
6681,Permian,2013-09-13,460,92.0
6682,Permian,2013-09-20,452,90.4
6683,Permian,2013-09-27,454,90.8
6684,Permian,2013-10-04,453,90.6
6685,Permian,2013-10-11,451,90.2
6686,Permian,2013-10-18,448,89.6
6687,Permian,2013-10-25,444,88.8
6688,Permian,2013-11-01,451,90.2
6689,Permian,2013-11-08,469,93.8
6690,Permian,2013-11-15,470,94.0
6691,Permian,2013-11-22,470,94.0
6692,Permian,2013-11-27,470,94.0
6693,Permian,2013-12-06,473,94.6
6694,Permian,2013-12-13,477,95.4
6695,Permian,2013-12-20,476,95.2
6696,Permian,2013-12-27,469,93.8
6697,Permian,2014-01-03,468,93.6
6698,Permian,2014-01-10,471,94.2
6699,Permian,2014-01-17,478,95.6
6700,Permian,2014-01-24,484,96.8
6701,Permian,2014-01-31,481,96.2
6702,Permian,2014-02-07,483,96.6
6703,Permian,2014-02-14,486,97.2
6704,Permian,2014-02-21,487,97.4
6705,Permian,2014-02-28,493,98.6
6706,Permian,2014-03-07,506,101.2
6707,Permian,2014-03-14,514,102.8
6708,Permian,2014-03-21,513,102.6
6709,Permian,2014-03-28,518,103.6
6710,Permian,2014-04-04,524,104.8
6711,Permian,2014-04-11,536,107.2
6712,Permian,2014-04-17,540,108.0
6713,Permian,2014-04-25,542,108.4
6714,Permian,2014-05-02,543,108.6
6715,Permian,2014-05-09,545,109.0
6716,Permian,2014-05-16,546,109.2
6717,Permian,2014-05-23,547,109.4
6718,Permian,2014-05-30,550,110.0
6719,Permian,2014-06-06,548,109.6
6720,Permian,2014-06-13,556,111.2
6721,Permian,2014-06-20,553,110.6
6722,Permian,2014-06-27,554,110.8
6723,Permian,2014-07-03,560,112.0
6724,Permian,2014-07-11,563,112.6
6725,Permian,2014-07-18,556,111.2
6726,Permian,2014-07-25,555,111.0
6727,Permian,2014-08-01,562,112.4
6728,Permian,2014-08-08,560,112.0
6729,Permian,2014-08-15,558,111.6
6730,Permian,2014-08-22,555,111.0
6731,Permian,2014-08-29,557,111.4
6732,Permian,2014-09-05,563,112.6
6733,Permian,2014-09-12,566,113.2
6734,Permian,2014-09-19,560,112.0
6735,Permian,2014-09-26,556,111.2
6736,Permian,2014-10-03,556,111.2
6737,Permian,2014-10-10,562,112.4
6738,Permian,2014-10-17,561,112.2
6739,Permian,2014-10-24,568,113.6
6740,Permian,2014-10-31,562,112.4
6741,Permian,2014-11-07,567,113.4
6742,Permian,2014-11-14,568,113.6
6743,Permian,2014-11-21,565,113.0
6744,Permian,2014-11-26,566,113.2
6745,Permian,2014-12-05,568,113.6
6746,Permian,2014-12-12,548,109.6
6747,Permian,2014-12-19,539,107.8
6748,Permian,2014-12-26,536,107.2
6749,Permian,2015-01-02,530,106.0
6750,Permian,2015-01-09,502,100.4
6751,Permian,2015-01-16,487,97.4
6752,Permian,2015-01-23,481,96.2
6753,Permian,2015-01-30,454,90.8
6754,Permian,2015-02-06,417,83.4
6755,Permian,2015-02-13,368,73.6
6756,Permian,2015-02-20,362,72.4
6757,Permian,2015-02-27,355,71.0
6758,Permian,2015-03-06,333,66.6
6759,Permian,2015-03-13,311,62.2
6760,Permian,2015-03-20,292,58.4
6761,Permian,2015-03-27,290,58.0
6762,Permian,2015-04-02,285,57.0
6763,Permian,2015-04-10,264,52.8
6764,Permian,2015-04-17,258,51.6
6765,Permian,2015-04-24,246,49.2
6766,Permian,2015-05-01,238,47.6
6767,Permian,2015-05-08,237,47.4
6768,Permian,2015-05-15,233,46.6
6769,Permian,2015-05-22,233,46.6
6770,Permian,2015-05-29,232,46.4
6771,Permian,2015-06-05,233,46.6
6772,Permian,2015-06-12,232,46.4
6773,Permian,2015-06-19,233,46.6
6774,Permian,2015-06-26,231,46.2
6775,Permian,2015-07-02,232,46.4
6776,Permian,2015-07-10,239,47.8
6777,Permian,2015-07-17,242,48.4
6778,Permian,2015-07-24,245,49.0
6779,Permian,2015-07-31,248,49.6
6780,Permian,2015-08-07,254,50.8
6781,Permian,2015-08-14,255,51.0
6782,Permian,2015-08-21,253,50.6
6783,Permian,2015-08-28,255,51.0
6784,Permian,2015-09-04,253,50.6
6785,Permian,2015-09-11,250,50.0
6786,Permian,2015-09-18,253,50.6
6787,Permian,2015-09-25,250,50.0
6788,Permian,2015-10-02,245,49.0
6789,Permian,2015-10-09,235,47.0
6790,Permian,2015-10-16,233,46.6
6791,Permian,2015-10-23,229,45.8
6792,Permian,2015-10-30,229,45.8
6793,Permian,2015-11-06,232,46.4
6794,Permian,2015-11-13,229,45.8
6795,Permian,2015-11-20,225,45.0
6796,Permian,2015-11-25,221,44.2
6797,Permian,2015-12-04,217,43.4
6798,Permian,2015-12-11,204,40.8
6799,Permian,2015-12-18,206,41.2
6800,Permian,2015-12-23,212,42.4
6801,Permian,2015-12-31,217,43.4
6802,Permian,2016-01-08,209,41.8
6803,Permian,2016-01-15,202,40.4
6804,Permian,2016-01-22,199,39.8
6805,Permian,2016-01-29,182,36.4
6806,Permian,2016-02-05,180,36.0
6807,Permian,2016-02-12,172,34.4
6808,Permian,2016-02-19,165,33.0
6809,Permian,2016-02-26,164,32.8
6810,Permian,2016-03-04,158,31.6
6811,Permian,2016-03-11,152,30.4
6812,Permian,2016-03-18,152,30.4
6813,Permian,2016-03-24,147,29.4
6814,Permian,2016-04-01,145,29.0
6815,Permian,2016-04-08,142,28.4
6816,Permian,2016-04-15,141,28.2
6817,Permian,2016-04-22,136,27.2
6818,Permian,2016-04-29,134,26.8
6819,Permian,2016-05-06,139,27.8
6820,Permian,2016-05-13,134,26.8
6821,Permian,2016-05-20,137,27.4
6822,Permian,2016-05-27,137,27.4
6823,Permian,2016-06-03,142,28.4
6824,Permian,2016-06-10,142,28.4
6825,Permian,2016-06-17,146,29.2
6826,Permian,2016-06-24,150,30.0
6827,Permian,2016-07-01,154,30.8
6828,Permian,2016-07-08,158,31.6
6829,Permian,2016-07-15,160,32.0
6830,Permian,2016-07-22,168,33.6
6831,Permian,2016-07-29,172,34.4
6832,Permian,2016-08-05,177,35.4
6833,Permian,2016-08-12,189,37.8
6834,Permian,2016-08-19,196,39.2
6835,Permian,2016-08-26,199,39.8
6836,Permian,2016-09-02,202,40.4
6837,Permian,2016-09-09,200,40.0
6838,Permian,2016-09-16,202,40.4
6839,Permian,2016-09-23,201,40.2
6840,Permian,2016-09-30,204,40.8
6841,Permian,2016-10-07,203,40.6
6842,Permian,2016-10-14,201,40.2
6843,Permian,2016-10-21,212,42.4
6844,Permian,2016-10-28,212,42.4
6845,Permian,2016-11-04,218,43.6
6846,Permian,2016-11-11,218,43.6
6847,Permian,2016-11-18,229,45.8
6848,Permian,2016-11-23,228,45.6
6849,Permian,2016-12-02,235,47.0
6850,Permian,2016-12-09,246,49.2
6851,Permian,2016-12-16,258,51.6
6852,Permian,2016-12-23,262,52.4
6853,Permian,2016-12-30,264,52.8
6854,Permian,2017-01-06,267,53.4
6855,Permian,2017-01-13,268,53.6
6856,Permian,2017-01-20,281,56.2
6857,Permian,2017-01-27,291,58.2
6858,Permian,2017-02-03,295,59.0
6859,Permian,2017-02-10,301,60.2
6860,Permian,2017-02-17,303,60.6
6861,Permian,2017-02-24,306,61.2
6862,Permian,2017-03-03,308,61.6
6863,Permian,2017-03-10,309,61.8
6864,Permian,2017-03-17,308,61.6
6865,Permian,2017-03-24,315,63.0
6866,Permian,2017-03-31,319,63.8
6867,Permian,2017-04-07,331,66.2
6868,Permian,2017-04-13,339,67.8
6869,Permian,2017-04-21,340,68.0
6870,Permian,2017-04-28,342,68.4
6871,Permian,2017-05-05,349,69.8
6872,Permian,2017-05-12,357,71.4
6873,Permian,2017-05-19,361,72.2
6874,Permian,2017-05-26,362,72.4
6875,Permian,2017-06-02,364,72.8
6876,Permian,2017-06-09,368,73.6
6877,Permian,2017-06-16,368,73.6
6878,Permian,2017-06-23,369,73.8
6879,Permian,2017-06-30,370,74.0
6880,Permian,2017-07-07,369,73.8
6881,Permian,2017-07-14,373,74.6
6882,Permian,2017-07-21,374,74.8
6883,Permian,2017-07-28,379,75.8
6884,Permian,2017-08-04,379,75.8
6885,Permian,2017-08-11,377,75.4
6886,Permian,2017-08-18,377,75.4
6887,Permian,2017-08-25,377,75.4
6888,Permian,2017-09-01,380,76.0
6889,Permian,2017-09-08,382,76.4
6890,Permian,2017-09-15,380,76.0
6891,Permian,2017-09-22,386,77.2
6892,Permian,2017-09-29,385,77.0
6893,Permian,2017-10-06,383,76.6
6894,Permian,2017-10-13,384,76.8
6895,Permian,2017-10-20,378,75.6
6896,Permian,2017-10-27,379,75.8
6897,Permian,2017-11-03,380,76.0
6898,Permian,2017-11-10,386,77.2
6899,Permian,2017-11-17,391,78.2
6900,Permian,2017-11-22,393,78.6
6901,Permian,2017-12-01,397,79.4
6902,Permian,2017-12-08,400,80.0
6903,Permian,2017-12-15,397,79.4
6904,Permian,2017-12-22,398,79.6
6905,Permian,2017-12-29,398,79.6
6906,Permian,2018-01-05,400,80.0
6907,Permian,2018-01-12,403,80.6
6908,Permian,2018-01-19,409,81.8
6909,Permian,2018-01-26,427,85.4
6910,Permian,2018-02-02,427,85.4
6911,Permian,2018-02-09,437,87.4
6912,Permian,2018-02-16,433,86.6
6913,Permian,2018-02-23,435,87.0
6914,Permian,2018-03-02,434,86.8
6915,Permian,2018-03-09,436,87.2
6916,Permian,2018-03-16,437,87.4
6917,Permian,2018-03-23,444,88.8
6918,Permian,2018-03-29,443,88.6
6919,Permian,2018-04-06,444,88.8
6920,Permian,2018-04-13,445,89.0
6921,Permian,2018-04-20,453,90.6
6922,Permian,2018-04-27,452,90.4
6923,Permian,2018-05-04,458,91.6
6924,Permian,2018-05-11,463,92.6
6925,Permian,2018-05-18,467,93.4
6926,Permian,2018-05-25,478,95.6
6927,Permian,2018-06-01,477,95.4
6928,Permian,2018-06-08,480,96.0
6929,Permian,2018-06-15,476,95.2
6930,Permian,2018-06-22,474,94.8
6931,Permian,2018-06-29,474,94.8
6932,Permian,2018-07-06,475,95.0
6933,Permian,2018-07-13,476,95.2
6934,Permian,2018-07-20,476,95.2
6935,Permian,2018-07-27,480,96.0
6936,Permian,2018-08-03,480,96.0
6937,Permian,2018-08-10,485,97.0
6938,Permian,2018-08-17,486,97.2
6939,Permian,2018-08-24,485,97.0
6940,Permian,2018-08-31,486,97.2
6941,Permian,2018-09-07,484,96.8
6942,Permian,2018-09-14,483,96.6
6943,Permian,2018-09-21,488,97.6
6944,Permian,2018-09-28,486,97.2
6945,Permian,2018-10-05,485,97.0
6946,Permian,2018-10-12,489,97.8
6947,Permian,2018-10-19,490,98.0
6948,Permian,2018-10-26,489,97.8
6949,Permian,2018-11-02,487,97.4
6950,Permian,2018-11-09,492,98.4
6951,Permian,2018-11-16,493,98.6
6952,Permian,2018-11-21,493,98.6
6953,Permian,2018-11-30,493,98.6
6954,Permian,2018-12-07,489,97.8
6955,Permian,2018-12-14,486,97.2
6956,Permian,2018-12-21,486,97.2
6957,Permian,2018-12-28,486,97.2
6958,Permian,2019-01-04,487,97.4
6959,Permian,2019-01-11,488,97.6
6960,Permian,2019-01-18,481,96.2
6961,Permian,2019-01-25,484,96.8
6962,Permian,2019-02-01,481,96.2
6963,Permian,2019-02-08,478,95.6
6964,Permian,2019-02-15,473,94.6
6965,Permian,2019-02-22,473,94.6
6966,Permian,2019-03-01,466,93.2
6967,Permian,2019-03-08,465,93.0
6968,Permian,2019-03-15,464,92.8
6969,Permian,2019-03-22,459,91.8
6970,Permian,2019-03-29,454,90.8
6971,Permian,2019-04-05,462,92.4
6972,Permian,2019-04-12,464,92.8
6973,Permian,2019-04-18,463,92.6
6974,Permian,2019-04-26,460,92.0
6975,Permian,2019-05-03,459,91.8
6976,Permian,2019-05-10,457,91.4
6977,Permian,2019-05-17,454,90.8
6978,Permian,2019-05-24,451,90.2
6979,Permian,2019-05-31,452,90.4
6980,Permian,2019-06-07,446,89.2
6981,Permian,2019-06-14,441,88.2
6982,Permian,2019-06-21,439,87.8
6983,Permian,2019-06-28,441,88.2
6984,Permian,2019-07-03,443,88.6
6985,Permian,2019-07-12,437,87.4
6986,Permian,2019-07-19,440,88.0
6987,Permian,2019-07-26,443,88.6
6988,Permian,2019-08-02,442,88.4
6989,Permian,2019-08-09,444,88.8
6990,Permian,2019-08-16,441,88.2
6991,Permian,2019-08-23,434,86.8
6992,Permian,2019-08-30,429,85.8
6993,Permian,2019-09-06,427,85.4
6994,Permian,2019-09-13,419,83.8
6995,Permian,2019-09-20,417,83.4
6996,Permian,2019-09-27,414,82.8
6997,Permian,2019-10-04,415,83.0
6998,Permian,2019-10-11,421,84.2
6999,Permian,2019-10-18,422,84.4
7000,Permian,2019-10-25,417,83.4
7001,Permian,2019-11-01,416,83.2
7002,Permian,2019-11-08,412,82.4
7003,Permian,2019-11-15,408,81.6
7004,Permian,2019-11-22,405,81.0
7005,Permian,2019-11-27,405,81.0
7006,Permian,2019-12-06,400,80.0
7007,Permian,2019-12-13,400,80.0
7008,Permian,2019-12-20,414,82.8
7009,Permian,2019-12-27,405,81.0
7010,Permian,2020-01-03,403,80.6
7011,Permian,2020-01-10,397,79.4
7012,Permian,2020-01-17,403,80.6
7013,Permian,2020-01-24,405,81.0
7014,Permian,2020-01-31,406,81.2
7015,Permian,2020-02-07,405,81.0
7016,Permian,2020-02-14,408,81.6
7017,Permian,2020-02-21,409,81.8
7018,Permian,2020-02-28,411,82.2
7019,Permian,2020-03-06,415,83.0
7020,Permian,2020-03-13,418,83.6
7021,Permian,2020-03-20,405,81.0
7022,Permian,2020-03-27,382,76.4
7023,Permian,2020-04-03,351,70.2
7024,Permian,2020-04-09,316,63.2
7025,Permian,2020-04-17,283,56.6
7026,Permian,2020-04-24,246,49.2
7027,Permian,2020-05-01,219,43.8
7028,Permian,2020-05-08,198,39.6
7029,Permian,2020-05-15,175,35.0
7030,Permian,2020-05-22,162,32.4
7031,Permian,2020-05-29,148,29.6
7032,Permian,2020-06-05,141,28.2
7033,Permian,2020-06-12,137,27.4
7034,Permian,2020-06-19,132,26.4
7035,Permian,2020-06-26,131,26.2
7036,Permian,2020-07-02,126,25.2
7037,Permian,2020-07-10,125,25.0
7038,Permian,2020-07-17,124,24.8
7039,Permian,2020-07-24,126,25.2
7040,Permian,2020-07-31,124,24.8
7041,Permian,2020-08-07,122,24.4
7042,Permian,2020-08-14,117,23.4
7043,Permian,2020-08-21,127,25.4
7044,Permian,2020-08-28,125,25.0
7045,Permian,2020-09-04,125,25.0
7046,Permian,2020-09-11,124,24.8
7047,Permian,2020-09-18,123,24.6
7048,Permian,2020-09-25,125,25.0
7049,Permian,2020-10-02,129,25.8
7050,Permian,2020-10-09,130,26.0
7051,Permian,2020-10-16,130,26.0
7052,Permian,2020-10-23,133,26.6
7053,Permian,2020-10-30,142,28.4
7054,Permian,2020-11-06,147,29.4
7055,Permian,2020-11-13,154,30.8
7056,Permian,2020-11-20,156,31.2
7057,Permian,2020-11-25,161,32.2
7058,Permian,2020-12-04,164,32.8
7059,Permian,2020-12-11,168,33.6
7060,Permian,2020-12-18,174,34.8
7061,Permian,2020-12-23,173,34.6
7062,Permian,2020-12-31,175,35.0
7063,Permian,2021-01-08,179,35.8
7064,Permian,2021-01-15,189,37.8
7065,Permian,2021-01-22,188,37.6
7066,Permian,2021-01-29,192,38.4
7067,Permian,2021-02-05,198,39.6
7068,Permian,2021-02-12,203,40.6
7069,Permian,2021-02-19,204,40.8
7070,Permian,2021-02-26,208,41.6
7071,Permian,2021-03-05,211,42.2
7072,Permian,2021-03-12,212,42.4
7073,Permian,2021-03-19,216,43.2
7074,Permian,2021-03-26,221,44.2
7075,Permian,2021-04-01,224,44.8
7076,Permian,2021-04-09,224,44.8
7077,Permian,2021-04-16,227,45.4
7078,Permian,2021-04-23,226,45.2
7079,Permian,2021-04-30,224,44.8
7080,Permian,2021-05-07,229,45.8
7081,Permian,2021-05-14,231,46.2
7082,Permian,2021-05-21,231,46.2
7083,Permian,2021-05-28,233,46.6
7084,Permian,2021-06-04,232,46.4
7085,Permian,2021-06-11,236,47.2
7086,Permian,2021-06-18,237,47.4
7087,Permian,2021-06-25,236,47.2
7088,Permian,2021-07-02,237,47.4
7089,Permian,2021-07-09,237,47.4
7090,Permian,2021-07-16,238,47.6
7091,Permian,2021-07-23,242,48.4
7092,Permian,2021-07-30,243,48.6
7093,Permian,2021-08-06,243,48.6
7094,Permian,2021-08-13,246,49.2
7095,Permian,2021-08-20,247,49.4
7096,Permian,2021-08-27,249,49.8
7097,Permian,2021-09-03,250,50.0
7098,Permian,2021-09-10,254,50.8
7099,Permian,2021-09-17,259,51.8
7100,Permian,2021-09-24,260,52.0
7101,Permian,2021-10-01,263,52.6
7102,Permian,2021-10-08,266,53.2
7103,Permian,2021-10-15,267,53.4
7104,Permian,2021-10-22,268,53.6
7105,Permian,2021-10-29,268,53.6
7106,Permian,2021-11-05,271,54.2
7107,Permian,2021-11-12,272,54.4
7108,Permian,2021-11-19,278,55.6
7109,Permian,2021-11-24,280,56.0
7110,Permian,2021-12-03,283,56.6
7111,Permian,2021-12-10,286,57.2
7112,Permian,2021-12-17,288,57.6
7113,Permian,2021-12-23,294,58.8
7114,Permian,2021-12-31,293,58.6
7115,Permian,2022-01-07,292,58.4
7116,Permian,2022-01-14,293,58.6
7117,Permian,2022-01-21,292,58.4
7118,Permian,2022-01-28,293,58.6
7119,Permian,2022-02-04,294,58.8
7120,Permian,2022-02-11,301,60.2
7121,Permian,2022-02-18,306,61.2
7122,Permian,2022-02-25,309,61.8
7123,Permian,2022-03-04,310,62.0
7124,Permian,2022-03-11,316,63.2
7125,Permian,2022-03-18,316,63.2
7126,Permian,2022-03-25,319,63.8
7127,Permian,2022-04-01,323,64.6
7128,Permian,2022-04-08,332,66.4
7129,Permian,2022-04-14,334,66.8
7130,Permian,2022-04-22,334,66.8
7131,Permian,2022-04-29,335,67.0
7132,Permian,2022-05-06,335,67.0
7133,Permian,2022-05-13,335,67.0
7134,Permian,2022-05-20,343,68.6
7135,Permian,2022-05-27,342,68.4
7136,Permian,2022-06-03,342,68.4
7137,Permian,2022-06-10,345,69.0
7138,Permian,2022-06-17,345,69.0
7139,Permian,2022-06-24,349,69.8
