,basin_name,date,rig_count
8925,Total US RigCount,2011-02-04,1739
8926,Total US RigCount,2011-02-11,1721
8927,Total US RigCount,2011-02-18,1713
8928,Total US RigCount,2011-02-25,1699
8929,Total US RigCount,2011-03-04,1707
8930,Total US RigCount,2011-03-11,1715
8931,Total US RigCount,2011-03-18,1720
8932,Total US RigCount,2011-03-25,1738
8933,Total US RigCount,2011-04-01,1776
8934,Total US RigCount,2011-04-08,1782
8935,Total US RigCount,2011-04-15,1772
8936,Total US RigCount,2011-04-22,1800
8937,Total US RigCount,2011-04-29,1818
8938,Total US RigCount,2011-05-06,1836
8939,Total US RigCount,2011-05-13,1830
8940,Total US RigCount,2011-05-20,1830
8941,Total US RigCount,2011-05-27,1847
8942,Total US RigCount,2011-06-03,1854
8943,Total US RigCount,2011-06-10,1855
8944,Total US RigCount,2011-06-17,1860
8945,Total US RigCount,2011-06-24,1882
8946,Total US RigCount,2011-07-01,1886
8947,Total US RigCount,2011-07-08,1887
8948,Total US RigCount,2011-07-15,1905
8949,Total US RigCount,2011-07-22,1916
8950,Total US RigCount,2011-07-29,1908
8951,Total US RigCount,2011-08-05,1920
8952,Total US RigCount,2011-08-12,1959
8953,Total US RigCount,2011-08-19,1974
8954,Total US RigCount,2011-08-26,1975
8955,Total US RigCount,2011-09-02,1968
8956,Total US RigCount,2011-09-09,1958
8957,Total US RigCount,2011-09-16,1985
8958,Total US RigCount,2011-09-23,1991
8959,Total US RigCount,2011-09-30,1990
8960,Total US RigCount,2011-10-07,2012
8961,Total US RigCount,2011-10-14,2023
8962,Total US RigCount,2011-10-21,2013
8963,Total US RigCount,2011-10-28,2021
8964,Total US RigCount,2011-11-04,2026
8965,Total US RigCount,2011-11-11,2016
8966,Total US RigCount,2011-11-18,2001
8967,Total US RigCount,2011-11-25,2000
8968,Total US RigCount,2011-12-02,1993
8969,Total US RigCount,2011-12-09,1987
8970,Total US RigCount,2011-12-16,2019
8971,Total US RigCount,2011-12-23,2008
8972,Total US RigCount,2011-12-30,2007
8973,Total US RigCount,2012-01-06,2007
8974,Total US RigCount,2012-01-13,1987
8975,Total US RigCount,2012-01-20,2008
8976,Total US RigCount,2012-01-27,2008
8977,Total US RigCount,2012-02-03,1997
8978,Total US RigCount,2012-02-10,1989
8979,Total US RigCount,2012-02-17,1994
8980,Total US RigCount,2012-02-24,1981
8981,Total US RigCount,2012-03-02,1989
8982,Total US RigCount,2012-03-09,1973
8983,Total US RigCount,2012-03-16,1984
8984,Total US RigCount,2012-03-23,1968
8985,Total US RigCount,2012-03-30,1979
8986,Total US RigCount,2012-04-05,1979
8987,Total US RigCount,2012-04-13,1950
8988,Total US RigCount,2012-04-20,1972
8989,Total US RigCount,2012-04-27,1945
8990,Total US RigCount,2012-05-04,1965
8991,Total US RigCount,2012-05-11,1974
8992,Total US RigCount,2012-05-18,1986
8993,Total US RigCount,2012-05-25,1983
8994,Total US RigCount,2012-06-01,1980
8995,Total US RigCount,2012-06-08,1984
8996,Total US RigCount,2012-06-15,1971
8997,Total US RigCount,2012-06-22,1966
8998,Total US RigCount,2012-06-29,1959
8999,Total US RigCount,2012-07-06,1965
9000,Total US RigCount,2012-07-13,1953
9001,Total US RigCount,2012-07-20,1935
9002,Total US RigCount,2012-07-27,1924
9003,Total US RigCount,2012-08-03,1930
9004,Total US RigCount,2012-08-10,1931
9005,Total US RigCount,2012-08-17,1914
9006,Total US RigCount,2012-08-24,1898
9007,Total US RigCount,2012-08-31,1894
9008,Total US RigCount,2012-09-07,1864
9009,Total US RigCount,2012-09-14,1864
9010,Total US RigCount,2012-09-21,1859
9011,Total US RigCount,2012-09-28,1848
9012,Total US RigCount,2012-10-05,1837
9013,Total US RigCount,2012-10-12,1835
9014,Total US RigCount,2012-10-19,1839
9015,Total US RigCount,2012-10-26,1826
9016,Total US RigCount,2012-11-02,1800
9017,Total US RigCount,2012-11-09,1806
9018,Total US RigCount,2012-11-16,1809
9019,Total US RigCount,2012-11-21,1817
9020,Total US RigCount,2012-11-30,1811
9021,Total US RigCount,2012-12-07,1800
9022,Total US RigCount,2012-12-14,1799
9023,Total US RigCount,2012-12-21,1774
9024,Total US RigCount,2012-12-28,1763
9025,Total US RigCount,2013-01-04,1762
9026,Total US RigCount,2013-01-11,1761
9027,Total US RigCount,2013-01-18,1749
9028,Total US RigCount,2013-01-25,1753
9029,Total US RigCount,2013-02-01,1764
9030,Total US RigCount,2013-02-08,1759
9031,Total US RigCount,2013-02-15,1762
9032,Total US RigCount,2013-02-22,1761
9033,Total US RigCount,2013-03-01,1757
9034,Total US RigCount,2013-03-08,1752
9035,Total US RigCount,2013-03-15,1776
9036,Total US RigCount,2013-03-22,1746
9037,Total US RigCount,2013-03-28,1748
9038,Total US RigCount,2013-04-05,1738
9039,Total US RigCount,2013-04-12,1771
9040,Total US RigCount,2013-04-19,1758
9041,Total US RigCount,2013-04-26,1754
9042,Total US RigCount,2013-05-03,1764
9043,Total US RigCount,2013-05-10,1769
9044,Total US RigCount,2013-05-17,1769
9045,Total US RigCount,2013-05-24,1762
9046,Total US RigCount,2013-05-31,1771
9047,Total US RigCount,2013-06-07,1765
9048,Total US RigCount,2013-06-14,1771
9049,Total US RigCount,2013-06-21,1759
9050,Total US RigCount,2013-06-28,1748
9051,Total US RigCount,2013-07-03,1757
9052,Total US RigCount,2013-07-12,1759
9053,Total US RigCount,2013-07-19,1770
9054,Total US RigCount,2013-07-26,1776
9055,Total US RigCount,2013-08-02,1782
9056,Total US RigCount,2013-08-09,1778
9057,Total US RigCount,2013-08-16,1791
9058,Total US RigCount,2013-08-23,1776
9059,Total US RigCount,2013-08-30,1776
9060,Total US RigCount,2013-09-06,1767
9061,Total US RigCount,2013-09-13,1768
9062,Total US RigCount,2013-09-20,1761
9063,Total US RigCount,2013-09-27,1744
9064,Total US RigCount,2013-10-04,1756
9065,Total US RigCount,2013-10-11,1743
9066,Total US RigCount,2013-10-18,1739
9067,Total US RigCount,2013-10-25,1738
9068,Total US RigCount,2013-11-01,1742
9069,Total US RigCount,2013-11-08,1754
9070,Total US RigCount,2013-11-15,1762
9071,Total US RigCount,2013-11-22,1761
9072,Total US RigCount,2013-11-27,1763
9073,Total US RigCount,2013-12-06,1775
9074,Total US RigCount,2013-12-13,1782
9075,Total US RigCount,2013-12-20,1768
9076,Total US RigCount,2013-12-27,1757
9077,Total US RigCount,2014-01-03,1751
9078,Total US RigCount,2014-01-10,1754
9079,Total US RigCount,2014-01-17,1777
9080,Total US RigCount,2014-01-24,1777
9081,Total US RigCount,2014-01-31,1785
9082,Total US RigCount,2014-02-07,1771
9083,Total US RigCount,2014-02-14,1764
9084,Total US RigCount,2014-02-21,1771
9085,Total US RigCount,2014-02-28,1769
9086,Total US RigCount,2014-03-07,1792
9087,Total US RigCount,2014-03-14,1809
9088,Total US RigCount,2014-03-21,1803
9089,Total US RigCount,2014-03-28,1809
9090,Total US RigCount,2014-04-04,1818
9091,Total US RigCount,2014-04-11,1831
9092,Total US RigCount,2014-04-17,1831
9093,Total US RigCount,2014-04-25,1861
9094,Total US RigCount,2014-05-02,1854
9095,Total US RigCount,2014-05-09,1855
9096,Total US RigCount,2014-05-16,1861
9097,Total US RigCount,2014-05-23,1857
9098,Total US RigCount,2014-05-30,1866
9099,Total US RigCount,2014-06-06,1860
9100,Total US RigCount,2014-06-13,1854
9101,Total US RigCount,2014-06-20,1858
9102,Total US RigCount,2014-06-27,1873
9103,Total US RigCount,2014-07-03,1874
9104,Total US RigCount,2014-07-11,1875
9105,Total US RigCount,2014-07-18,1871
9106,Total US RigCount,2014-07-25,1883
9107,Total US RigCount,2014-08-01,1889
9108,Total US RigCount,2014-08-08,1908
9109,Total US RigCount,2014-08-15,1913
9110,Total US RigCount,2014-08-22,1896
9111,Total US RigCount,2014-08-29,1914
9112,Total US RigCount,2014-09-05,1925
9113,Total US RigCount,2014-09-12,1931
9114,Total US RigCount,2014-09-19,1931
9115,Total US RigCount,2014-09-26,1931
9116,Total US RigCount,2014-10-03,1922
9117,Total US RigCount,2014-10-10,1930
9118,Total US RigCount,2014-10-17,1918
9119,Total US RigCount,2014-10-24,1927
9120,Total US RigCount,2014-10-31,1929
9121,Total US RigCount,2014-11-07,1925
9122,Total US RigCount,2014-11-14,1928
9123,Total US RigCount,2014-11-21,1929
9124,Total US RigCount,2014-11-26,1917
9125,Total US RigCount,2014-12-05,1920
9126,Total US RigCount,2014-12-12,1893
9127,Total US RigCount,2014-12-19,1875
9128,Total US RigCount,2014-12-26,1840
9129,Total US RigCount,2015-01-02,1811
9130,Total US RigCount,2015-01-09,1750
9131,Total US RigCount,2015-01-16,1676
9132,Total US RigCount,2015-01-23,1633
9133,Total US RigCount,2015-01-30,1543
9134,Total US RigCount,2015-02-06,1456
9135,Total US RigCount,2015-02-13,1358
9136,Total US RigCount,2015-02-20,1310
9137,Total US RigCount,2015-02-27,1267
9138,Total US RigCount,2015-03-06,1192
9139,Total US RigCount,2015-03-13,1125
9140,Total US RigCount,2015-03-20,1069
9141,Total US RigCount,2015-03-27,1048
9142,Total US RigCount,2015-04-02,1028
9143,Total US RigCount,2015-04-10,988
9144,Total US RigCount,2015-04-17,954
9145,Total US RigCount,2015-04-24,932
9146,Total US RigCount,2015-05-01,905
9147,Total US RigCount,2015-05-08,894
9148,Total US RigCount,2015-05-15,888
9149,Total US RigCount,2015-05-22,885
9150,Total US RigCount,2015-05-29,875
9151,Total US RigCount,2015-06-05,868
9152,Total US RigCount,2015-06-12,859
9153,Total US RigCount,2015-06-19,857
9154,Total US RigCount,2015-06-26,859
9155,Total US RigCount,2015-07-02,862
9156,Total US RigCount,2015-07-10,863
9157,Total US RigCount,2015-07-17,857
9158,Total US RigCount,2015-07-24,876
9159,Total US RigCount,2015-07-31,874
9160,Total US RigCount,2015-08-07,884
9161,Total US RigCount,2015-08-14,884
9162,Total US RigCount,2015-08-21,885
9163,Total US RigCount,2015-08-28,877
9164,Total US RigCount,2015-09-04,864
9165,Total US RigCount,2015-09-11,848
9166,Total US RigCount,2015-09-18,842
9167,Total US RigCount,2015-09-25,838
9168,Total US RigCount,2015-10-02,809
9169,Total US RigCount,2015-10-09,795
9170,Total US RigCount,2015-10-16,787
9171,Total US RigCount,2015-10-23,787
9172,Total US RigCount,2015-10-30,775
9173,Total US RigCount,2015-11-06,771
9174,Total US RigCount,2015-11-13,767
9175,Total US RigCount,2015-11-20,757
9176,Total US RigCount,2015-11-25,744
9177,Total US RigCount,2015-12-04,737
9178,Total US RigCount,2015-12-11,709
9179,Total US RigCount,2015-12-18,709
9180,Total US RigCount,2015-12-23,700
9181,Total US RigCount,2015-12-31,698
9182,Total US RigCount,2016-01-08,664
9183,Total US RigCount,2016-01-15,650
9184,Total US RigCount,2016-01-22,637
9185,Total US RigCount,2016-01-29,619
9186,Total US RigCount,2016-02-05,571
9187,Total US RigCount,2016-02-12,541
9188,Total US RigCount,2016-02-19,514
9189,Total US RigCount,2016-02-26,502
9190,Total US RigCount,2016-03-04,489
9191,Total US RigCount,2016-03-11,480
9192,Total US RigCount,2016-03-18,476
9193,Total US RigCount,2016-03-24,464
9194,Total US RigCount,2016-04-01,450
9195,Total US RigCount,2016-04-08,443
9196,Total US RigCount,2016-04-15,440
9197,Total US RigCount,2016-04-22,431
9198,Total US RigCount,2016-04-29,420
9199,Total US RigCount,2016-05-06,415
9200,Total US RigCount,2016-05-13,406
9201,Total US RigCount,2016-05-20,404
9202,Total US RigCount,2016-05-27,404
9203,Total US RigCount,2016-06-03,408
9204,Total US RigCount,2016-06-10,414
9205,Total US RigCount,2016-06-17,424
9206,Total US RigCount,2016-06-24,421
9207,Total US RigCount,2016-07-01,431
9208,Total US RigCount,2016-07-08,440
9209,Total US RigCount,2016-07-15,447
9210,Total US RigCount,2016-07-22,462
9211,Total US RigCount,2016-07-29,463
9212,Total US RigCount,2016-08-05,464
9213,Total US RigCount,2016-08-12,481
9214,Total US RigCount,2016-08-19,491
9215,Total US RigCount,2016-08-26,489
9216,Total US RigCount,2016-09-02,497
9217,Total US RigCount,2016-09-09,508
9218,Total US RigCount,2016-09-16,506
9219,Total US RigCount,2016-09-23,511
9220,Total US RigCount,2016-09-30,522
9221,Total US RigCount,2016-10-07,524
9222,Total US RigCount,2016-10-14,539
9223,Total US RigCount,2016-10-21,553
9224,Total US RigCount,2016-10-28,557
9225,Total US RigCount,2016-11-04,569
9226,Total US RigCount,2016-11-11,568
9227,Total US RigCount,2016-11-18,588
9228,Total US RigCount,2016-11-23,593
9229,Total US RigCount,2016-12-02,597
9230,Total US RigCount,2016-12-09,624
9231,Total US RigCount,2016-12-16,637
9232,Total US RigCount,2016-12-23,653
9233,Total US RigCount,2016-12-30,658
9234,Total US RigCount,2017-01-06,665
9235,Total US RigCount,2017-01-13,659
9236,Total US RigCount,2017-01-20,694
9237,Total US RigCount,2017-01-27,712
9238,Total US RigCount,2017-02-03,729
9239,Total US RigCount,2017-02-10,741
9240,Total US RigCount,2017-02-17,751
9241,Total US RigCount,2017-02-24,754
9242,Total US RigCount,2017-03-03,756
9243,Total US RigCount,2017-03-10,768
9244,Total US RigCount,2017-03-17,789
9245,Total US RigCount,2017-03-24,809
9246,Total US RigCount,2017-03-31,824
9247,Total US RigCount,2017-04-07,839
9248,Total US RigCount,2017-04-13,847
9249,Total US RigCount,2017-04-21,857
9250,Total US RigCount,2017-04-28,870
9251,Total US RigCount,2017-05-05,877
9252,Total US RigCount,2017-05-12,885
9253,Total US RigCount,2017-05-19,901
9254,Total US RigCount,2017-05-26,908
9255,Total US RigCount,2017-06-02,916
9256,Total US RigCount,2017-06-09,927
9257,Total US RigCount,2017-06-16,933
9258,Total US RigCount,2017-06-23,941
9259,Total US RigCount,2017-06-30,940
9260,Total US RigCount,2017-07-07,952
9261,Total US RigCount,2017-07-14,952
9262,Total US RigCount,2017-07-21,950
9263,Total US RigCount,2017-07-28,958
9264,Total US RigCount,2017-08-04,954
9265,Total US RigCount,2017-08-11,949
9266,Total US RigCount,2017-08-18,946
9267,Total US RigCount,2017-08-25,940
9268,Total US RigCount,2017-09-01,943
9269,Total US RigCount,2017-09-08,944
9270,Total US RigCount,2017-09-15,936
9271,Total US RigCount,2017-09-22,935
9272,Total US RigCount,2017-09-29,940
9273,Total US RigCount,2017-10-06,936
9274,Total US RigCount,2017-10-13,928
9275,Total US RigCount,2017-10-20,913
9276,Total US RigCount,2017-10-27,909
9277,Total US RigCount,2017-11-03,898
9278,Total US RigCount,2017-11-10,907
9279,Total US RigCount,2017-11-17,915
9280,Total US RigCount,2017-11-22,923
9281,Total US RigCount,2017-12-01,929
9282,Total US RigCount,2017-12-08,931
9283,Total US RigCount,2017-12-15,930
9284,Total US RigCount,2017-12-22,931
9285,Total US RigCount,2017-12-29,929
9286,Total US RigCount,2018-01-05,924
9287,Total US RigCount,2018-01-12,939
9288,Total US RigCount,2018-01-19,936
9289,Total US RigCount,2018-01-26,947
9290,Total US RigCount,2018-02-02,946
9291,Total US RigCount,2018-02-09,975
9292,Total US RigCount,2018-02-16,975
9293,Total US RigCount,2018-02-23,978
9294,Total US RigCount,2018-03-02,981
9295,Total US RigCount,2018-03-09,984
9296,Total US RigCount,2018-03-16,990
9297,Total US RigCount,2018-03-23,995
9298,Total US RigCount,2018-03-29,993
9299,Total US RigCount,2018-04-06,1003
9300,Total US RigCount,2018-04-13,1008
9301,Total US RigCount,2018-04-20,1013
9302,Total US RigCount,2018-04-27,1021
9303,Total US RigCount,2018-05-04,1032
9304,Total US RigCount,2018-05-11,1045
9305,Total US RigCount,2018-05-18,1046
9306,Total US RigCount,2018-05-25,1059
9307,Total US RigCount,2018-06-01,1060
9308,Total US RigCount,2018-06-08,1062
9309,Total US RigCount,2018-06-15,1059
9310,Total US RigCount,2018-06-22,1052
9311,Total US RigCount,2018-06-29,1047
9312,Total US RigCount,2018-07-06,1052
9313,Total US RigCount,2018-07-13,1054
9314,Total US RigCount,2018-07-20,1046
9315,Total US RigCount,2018-07-27,1048
9316,Total US RigCount,2018-08-03,1044
9317,Total US RigCount,2018-08-10,1057
9318,Total US RigCount,2018-08-17,1057
9319,Total US RigCount,2018-08-24,1044
9320,Total US RigCount,2018-08-31,1048
9321,Total US RigCount,2018-09-07,1048
9322,Total US RigCount,2018-09-14,1055
9323,Total US RigCount,2018-09-21,1053
9324,Total US RigCount,2018-09-28,1054
9325,Total US RigCount,2018-10-05,1052
9326,Total US RigCount,2018-10-12,1063
9327,Total US RigCount,2018-10-19,1067
9328,Total US RigCount,2018-10-26,1068
9329,Total US RigCount,2018-11-02,1067
9330,Total US RigCount,2018-11-09,1081
9331,Total US RigCount,2018-11-16,1082
9332,Total US RigCount,2018-11-21,1079
9333,Total US RigCount,2018-11-30,1076
9334,Total US RigCount,2018-12-07,1075
9335,Total US RigCount,2018-12-14,1071
9336,Total US RigCount,2018-12-21,1080
9337,Total US RigCount,2018-12-28,1083
9338,Total US RigCount,2019-01-04,1075
9339,Total US RigCount,2019-01-11,1075
9340,Total US RigCount,2019-01-18,1050
9341,Total US RigCount,2019-01-25,1059
9342,Total US RigCount,2019-02-01,1045
9343,Total US RigCount,2019-02-08,1049
9344,Total US RigCount,2019-02-15,1051
9345,Total US RigCount,2019-02-22,1047
9346,Total US RigCount,2019-03-01,1038
9347,Total US RigCount,2019-03-08,1027
9348,Total US RigCount,2019-03-15,1026
9349,Total US RigCount,2019-03-22,1016
9350,Total US RigCount,2019-03-29,1006
9351,Total US RigCount,2019-04-05,1025
9352,Total US RigCount,2019-04-12,1022
9353,Total US RigCount,2019-04-18,1012
9354,Total US RigCount,2019-04-26,991
