,basin_name,date,rig_count,size
7140,Utica,2011-02-04,8,1.6
7141,Utica,2011-02-11,8,1.6
7142,Utica,2011-02-18,8,1.6
7143,Utica,2011-02-25,8,1.6
7144,Utica,2011-03-04,9,1.8
7145,Utica,2011-03-11,9,1.8
7146,Utica,2011-03-18,9,1.8
7147,Utica,2011-03-25,9,1.8
7148,Utica,2011-04-01,9,1.8
7149,Utica,2011-04-08,9,1.8
7150,Utica,2011-04-15,9,1.8
7151,Utica,2011-04-22,9,1.8
7152,Utica,2011-04-29,9,1.8
7153,Utica,2011-05-06,10,2.0
7154,Utica,2011-05-13,10,2.0
7155,Utica,2011-05-20,10,2.0
7156,Utica,2011-05-27,10,2.0
7157,Utica,2011-06-03,10,2.0
7158,Utica,2011-06-10,10,2.0
7159,Utica,2011-06-17,13,2.6
7160,Utica,2011-06-24,13,2.6
7161,Utica,2011-07-01,13,2.6
7162,Utica,2011-07-08,13,2.6
7163,Utica,2011-07-15,13,2.6
7164,Utica,2011-07-22,13,2.6
7165,Utica,2011-07-29,13,2.6
7166,Utica,2011-08-05,13,2.6
7167,Utica,2011-08-12,12,2.4
7168,Utica,2011-08-19,12,2.4
7169,Utica,2011-08-26,12,2.4
7170,Utica,2011-09-02,12,2.4
7171,Utica,2011-09-09,12,2.4
7172,Utica,2011-09-16,10,2.0
7173,Utica,2011-09-23,14,2.8
7174,Utica,2011-09-30,14,2.8
7175,Utica,2011-10-07,14,2.8
7176,Utica,2011-10-14,15,3.0
7177,Utica,2011-10-21,13,2.6
7178,Utica,2011-10-28,13,2.6
7179,Utica,2011-11-04,14,2.8
7180,Utica,2011-11-11,14,2.8
7181,Utica,2011-11-18,14,2.8
7182,Utica,2011-11-25,14,2.8
7183,Utica,2011-12-02,14,2.8
7184,Utica,2011-12-09,14,2.8
7185,Utica,2011-12-16,15,3.0
7186,Utica,2011-12-23,15,3.0
7187,Utica,2011-12-30,16,3.2
7188,Utica,2012-01-06,16,3.2
7189,Utica,2012-01-13,16,3.2
7190,Utica,2012-01-20,14,2.8
7191,Utica,2012-01-27,14,2.8
7192,Utica,2012-02-03,17,3.4
7193,Utica,2012-02-10,16,3.2
7194,Utica,2012-02-17,15,3.0
7195,Utica,2012-02-24,13,2.6
7196,Utica,2012-03-02,10,2.0
7197,Utica,2012-03-09,11,2.2
7198,Utica,2012-03-16,11,2.2
7199,Utica,2012-03-23,13,2.6
7200,Utica,2012-03-30,13,2.6
7201,Utica,2012-04-05,15,3.0
7202,Utica,2012-04-13,15,3.0
7203,Utica,2012-04-20,15,3.0
7204,Utica,2012-04-27,17,3.4
7205,Utica,2012-05-04,21,4.2
7206,Utica,2012-05-11,20,4.0
7207,Utica,2012-05-18,20,4.0
7208,Utica,2012-05-25,22,4.4
7209,Utica,2012-06-01,26,5.2
7210,Utica,2012-06-08,24,4.8
7211,Utica,2012-06-15,26,5.2
7212,Utica,2012-06-22,25,5.0
7213,Utica,2012-06-29,23,4.6
7214,Utica,2012-07-06,22,4.4
7215,Utica,2012-07-13,24,4.8
7216,Utica,2012-07-20,23,4.6
7217,Utica,2012-07-27,23,4.6
7218,Utica,2012-08-03,23,4.6
7219,Utica,2012-08-10,23,4.6
7220,Utica,2012-08-17,23,4.6
7221,Utica,2012-08-24,21,4.2
7222,Utica,2012-08-31,21,4.2
7223,Utica,2012-09-07,21,4.2
7224,Utica,2012-09-14,21,4.2
7225,Utica,2012-09-21,22,4.4
7226,Utica,2012-09-28,22,4.4
7227,Utica,2012-10-05,25,5.0
7228,Utica,2012-10-12,26,5.2
7229,Utica,2012-10-19,26,5.2
7230,Utica,2012-10-26,28,5.6
7231,Utica,2012-11-02,29,5.8
7232,Utica,2012-11-09,27,5.4
7233,Utica,2012-11-16,29,5.8
7234,Utica,2012-11-21,29,5.8
7235,Utica,2012-11-30,30,6.0
7236,Utica,2012-12-07,30,6.0
7237,Utica,2012-12-14,29,5.8
7238,Utica,2012-12-21,31,6.2
7239,Utica,2012-12-28,33,6.6
7240,Utica,2013-01-04,33,6.6
7241,Utica,2013-01-11,32,6.4
7242,Utica,2013-01-18,31,6.2
7243,Utica,2013-01-25,31,6.2
7244,Utica,2013-02-01,31,6.2
7245,Utica,2013-02-08,30,6.0
7246,Utica,2013-02-15,30,6.0
7247,Utica,2013-02-22,31,6.2
7248,Utica,2013-03-01,29,5.8
7249,Utica,2013-03-08,29,5.8
7250,Utica,2013-03-15,29,5.8
7251,Utica,2013-03-22,29,5.8
7252,Utica,2013-03-28,29,5.8
7253,Utica,2013-04-05,32,6.4
7254,Utica,2013-04-12,34,6.8
7255,Utica,2013-04-19,33,6.6
7256,Utica,2013-04-26,34,6.8
7257,Utica,2013-05-03,35,7.0
7258,Utica,2013-05-10,35,7.0
7259,Utica,2013-05-17,35,7.0
7260,Utica,2013-05-24,33,6.6
7261,Utica,2013-05-31,33,6.6
7262,Utica,2013-06-07,34,6.8
7263,Utica,2013-06-14,33,6.6
7264,Utica,2013-06-21,31,6.2
7265,Utica,2013-06-28,34,6.8
7266,Utica,2013-07-03,35,7.0
7267,Utica,2013-07-12,37,7.4
7268,Utica,2013-07-19,36,7.2
7269,Utica,2013-07-26,36,7.2
7270,Utica,2013-08-02,37,7.4
7271,Utica,2013-08-09,37,7.4
7272,Utica,2013-08-16,38,7.6
7273,Utica,2013-08-23,35,7.0
7274,Utica,2013-08-30,35,7.0
7275,Utica,2013-09-06,35,7.0
7276,Utica,2013-09-13,35,7.0
7277,Utica,2013-09-20,36,7.2
7278,Utica,2013-09-27,36,7.2
7279,Utica,2013-10-04,36,7.2
7280,Utica,2013-10-11,38,7.6
7281,Utica,2013-10-18,35,7.0
7282,Utica,2013-10-25,36,7.2
7283,Utica,2013-11-01,36,7.2
7284,Utica,2013-11-08,36,7.2
7285,Utica,2013-11-15,36,7.2
7286,Utica,2013-11-22,35,7.0
7287,Utica,2013-11-27,37,7.4
7288,Utica,2013-12-06,37,7.4
7289,Utica,2013-12-13,38,7.6
7290,Utica,2013-12-20,38,7.6
7291,Utica,2013-12-27,38,7.6
7292,Utica,2014-01-03,38,7.6
7293,Utica,2014-01-10,38,7.6
7294,Utica,2014-01-17,39,7.8
7295,Utica,2014-01-24,38,7.6
7296,Utica,2014-01-31,40,8.0
7297,Utica,2014-02-07,41,8.2
7298,Utica,2014-02-14,43,8.6
7299,Utica,2014-02-21,41,8.2
7300,Utica,2014-02-28,41,8.2
7301,Utica,2014-03-07,42,8.4
7302,Utica,2014-03-14,42,8.4
7303,Utica,2014-03-21,40,8.0
7304,Utica,2014-03-28,39,7.8
7305,Utica,2014-04-04,39,7.8
7306,Utica,2014-04-11,35,7.0
7307,Utica,2014-04-17,37,7.4
7308,Utica,2014-04-25,36,7.2
7309,Utica,2014-05-02,36,7.2
7310,Utica,2014-05-09,36,7.2
7311,Utica,2014-05-16,41,8.2
7312,Utica,2014-05-23,41,8.2
7313,Utica,2014-05-30,40,8.0
7314,Utica,2014-06-06,41,8.2
7315,Utica,2014-06-13,40,8.0
7316,Utica,2014-06-20,42,8.4
7317,Utica,2014-06-27,43,8.6
7318,Utica,2014-07-03,43,8.6
7319,Utica,2014-07-11,44,8.8
7320,Utica,2014-07-18,46,9.2
7321,Utica,2014-07-25,45,9.0
7322,Utica,2014-08-01,45,9.0
7323,Utica,2014-08-08,45,9.0
7324,Utica,2014-08-15,44,8.8
7325,Utica,2014-08-22,44,8.8
7326,Utica,2014-08-29,43,8.6
7327,Utica,2014-09-05,43,8.6
7328,Utica,2014-09-12,44,8.8
7329,Utica,2014-09-19,44,8.8
7330,Utica,2014-09-26,44,8.8
7331,Utica,2014-10-03,43,8.6
7332,Utica,2014-10-10,46,9.2
7333,Utica,2014-10-17,47,9.4
7334,Utica,2014-10-24,49,9.8
7335,Utica,2014-10-31,46,9.2
7336,Utica,2014-11-07,45,9.0
7337,Utica,2014-11-14,50,10.0
7338,Utica,2014-11-21,49,9.8
7339,Utica,2014-11-26,48,9.6
7340,Utica,2014-12-05,48,9.6
7341,Utica,2014-12-12,50,10.0
7342,Utica,2014-12-19,48,9.6
7343,Utica,2014-12-26,50,10.0
7344,Utica,2015-01-02,49,9.8
7345,Utica,2015-01-09,48,9.6
7346,Utica,2015-01-16,49,9.8
7347,Utica,2015-01-23,46,9.2
7348,Utica,2015-01-30,43,8.6
7349,Utica,2015-02-06,41,8.2
7350,Utica,2015-02-13,39,7.8
7351,Utica,2015-02-20,39,7.8
